Date,Open,High,Low,Close,Volume
28-Apr-17,158.52,159.67,157.31,157.35,1450620
27-Apr-17,160.21,161.17,158.74,159.27,1152012
26-Apr-17,161.77,165.00,159.54,159.96,2074583
25-Apr-17,158.24,160.71,157.44,160.14,1989884
24-Apr-17,155.99,157.30,155.59,156.95,1366432
21-Apr-17,153.74,154.30,152.94,153.59,816623
20-Apr-17,150.43,154.15,149.88,153.82,1474912
19-Apr-17,150.82,152.58,148.89,149.58,840022
18-Apr-17,149.40,150.03,148.32,149.53,842820
17-Apr-17,148.72,150.71,148.31,150.52,885243
13-Apr-17,149.71,150.52,148.35,148.43,1333146
12-Apr-17,155.66,156.16,150.09,150.23,1886589
11-Apr-17,155.41,156.23,154.26,156.11,635865
10-Apr-17,155.59,157.48,155.51,156.05,548626
7-Apr-17,155.39,156.27,154.92,155.28,1375038
6-Apr-17,155.18,156.59,154.50,155.88,591836
5-Apr-17,156.76,159.78,155.01,155.18,1401947
4-Apr-17,155.08,158.00,154.34,155.96,981425
3-Apr-17,155.42,156.38,153.93,155.31,648969
31-Mar-17,155.23,156.70,155.18,155.71,799655
30-Mar-17,154.36,155.99,154.00,155.38,661874
29-Mar-17,154.76,155.57,154.21,154.47,541562
28-Mar-17,152.63,155.98,152.28,155.14,581825
27-Mar-17,151.97,153.38,149.39,152.85,816583
24-Mar-17,154.28,154.90,152.58,153.25,541405
23-Mar-17,154.64,155.52,153.58,154.08,864263
22-Mar-17,153.92,154.98,153.12,154.61,740957
21-Mar-17,156.94,157.26,153.56,154.15,979937
20-Mar-17,156.03,156.16,155.08,155.95,893916
17-Mar-17,156.36,156.98,155.56,155.99,910399
16-Mar-17,156.89,157.01,154.46,155.62,721068
15-Mar-17,152.82,157.30,152.13,156.47,1110019
14-Mar-17,153.42,153.46,151.07,152.45,852630
13-Mar-17,154.30,154.57,153.44,154.45,609573
10-Mar-17,153.46,154.63,153.00,154.31,848037
9-Mar-17,153.18,153.66,151.38,152.18,870367
8-Mar-17,154.12,154.84,152.97,153.03,760265
7-Mar-17,152.97,153.70,152.12,153.58,694741
6-Mar-17,152.49,153.47,151.10,153.19,665821
3-Mar-17,153.18,154.11,151.57,153.01,802000
2-Mar-17,155.35,155.72,153.00,153.05,916418
1-Mar-17,153.68,156.11,153.07,155.48,1541609
28-Feb-17,151.26,151.68,150.10,151.10,949726
27-Feb-17,151.26,151.73,150.66,151.26,765278
24-Feb-17,150.41,151.54,149.96,151.14,1005316
23-Feb-17,153.52,153.88,149.89,151.47,1163822
22-Feb-17,150.90,153.25,150.76,152.88,1022609
21-Feb-17,152.36,152.63,150.98,151.83,1292708
17-Feb-17,150.60,151.93,149.70,151.92,691558
16-Feb-17,151.92,152.38,151.00,151.88,859458
15-Feb-17,151.53,152.77,151.53,152.49,836632
14-Feb-17,151.51,152.44,151.22,152.21,1215331
13-Feb-17,151.69,153.68,151.69,152.01,1362322
10-Feb-17,151.22,151.78,150.11,151.45,1060954
9-Feb-17,149.17,150.60,148.29,150.35,950018
8-Feb-17,149.50,149.50,147.67,148.63,815092
7-Feb-17,150.49,152.62,149.23,149.41,902456
6-Feb-17,149.11,149.96,148.46,149.96,745585
3-Feb-17,148.13,150.20,147.55,149.73,1151355
2-Feb-17,146.87,148.35,146.37,147.65,918733
1-Feb-17,148.32,149.14,146.76,147.76,1343500
31-Jan-17,149.28,149.64,147.42,147.99,2036930
30-Jan-17,150.33,150.33,147.79,149.31,1964569
27-Jan-17,152.44,152.70,150.70,150.75,1636760
26-Jan-17,153.67,154.91,152.07,152.92,2337438
25-Jan-17,151.64,155.44,149.54,153.01,4675489
24-Jan-17,140.43,143.74,139.72,142.03,1678247
23-Jan-17,140.80,140.98,139.51,140.02,1058687
20-Jan-17,140.99,141.47,139.63,140.56,1754286
19-Jan-17,140.25,141.29,139.69,140.00,1154622
18-Jan-17,140.14,140.45,139.40,139.96,919349
17-Jan-17,141.33,141.33,139.38,139.64,1126886
13-Jan-17,140.95,142.24,140.84,141.99,559771
12-Jan-17,141.19,141.52,138.97,140.76,714587
11-Jan-17,140.02,142.54,139.74,141.66,1147955
10-Jan-17,139.00,140.08,138.28,139.53,883949
9-Jan-17,139.00,139.99,138.29,138.31,828136
6-Jan-17,138.36,139.61,137.69,138.51,659430
5-Jan-17,137.67,139.40,135.87,137.74,822555
4-Jan-17,138.77,139.49,137.29,137.96,850964
3-Jan-17,135.90,138.66,135.18,138.54,1329489
30-Dec-16,135.54,135.54,133.61,134.40,436079
29-Dec-16,134.74,135.49,134.28,134.85,355060
28-Dec-16,136.48,136.75,134.62,134.74,433477
27-Dec-16,136.48,136.81,135.73,136.03,410545
23-Dec-16,135.40,136.47,135.10,136.01,385989
22-Dec-16,135.59,136.07,134.80,135.57,631010
21-Dec-16,135.60,136.73,135.03,135.57,633630
20-Dec-16,135.03,135.76,134.47,135.57,1079018
19-Dec-16,135.56,136.16,134.02,134.83,896923
16-Dec-16,136.08,136.85,134.44,134.91,1545320
15-Dec-16,135.71,136.49,135.21,136.21,838035
14-Dec-16,136.78,137.98,135.40,135.57,903612
13-Dec-16,137.60,138.24,136.53,137.07,1098280
12-Dec-16,139.56,139.58,136.81,137.40,905888
9-Dec-16,137.81,139.64,137.72,139.56,710876
8-Dec-16,138.37,138.37,136.77,137.61,745562
7-Dec-16,136.33,139.16,135.88,138.93,734191
6-Dec-16,135.70,136.47,135.47,136.40,1001459
5-Dec-16,137.22,138.00,135.54,136.22,2048275
2-Dec-16,136.70,137.80,135.49,136.79,1274340
1-Dec-16,134.48,138.76,134.21,137.19,2044394
30-Nov-16,131.92,134.27,131.92,133.71,1183380
29-Nov-16,130.45,131.92,129.66,131.34,851937
28-Nov-16,132.34,132.89,130.40,130.50,843780
25-Nov-16,131.93,132.96,131.86,132.92,374597
23-Nov-16,131.13,132.03,131.13,131.86,684027
22-Nov-16,132.15,132.15,130.88,131.71,759218
21-Nov-16,131.99,132.50,131.49,131.71,660834
18-Nov-16,131.55,132.49,131.05,131.20,609015
17-Nov-16,133.50,133.68,131.83,131.95,730592
16-Nov-16,132.36,133.47,132.12,133.38,815266
15-Nov-16,131.99,133.54,129.69,133.48,988007
14-Nov-16,132.00,133.28,131.84,132.22,1525679
11-Nov-16,129.85,131.72,129.28,131.71,1021541
10-Nov-16,128.11,130.85,127.30,130.75,1572595
9-Nov-16,123.09,128.01,123.07,126.85,1419808
8-Nov-16,124.50,125.76,123.69,125.03,1080845
7-Nov-16,120.46,124.90,120.46,124.24,1863262
4-Nov-16,117.79,119.36,117.51,117.56,1143900
3-Nov-16,118.89,118.89,117.24,117.47,608748
2-Nov-16,118.83,119.42,118.00,118.31,626643
1-Nov-16,120.24,120.73,118.13,118.96,842760
31-Oct-16,119.48,120.37,118.52,119.72,790892
28-Oct-16,118.49,120.06,118.03,118.80,620405
27-Oct-16,120.50,121.02,117.88,118.21,847399
26-Oct-16,118.49,121.18,118.36,120.62,734181
25-Oct-16,118.72,119.45,117.90,118.62,884821
24-Oct-16,123.91,124.50,119.08,119.67,2482553
21-Oct-16,116.94,126.15,116.28,122.99,6596561
20-Oct-16,117.14,118.20,116.43,118.01,828269
19-Oct-16,116.07,118.30,115.66,117.45,646699
18-Oct-16,116.76,117.12,115.72,115.97,549055
17-Oct-16,116.37,116.96,115.36,115.52,758087
14-Oct-16,117.40,118.17,116.78,116.80,942942
13-Oct-16,115.48,116.88,115.09,116.30,931345
12-Oct-16,115.39,116.71,114.48,116.27,594981
11-Oct-16,116.45,116.63,114.46,115.20,882897
10-Oct-16,120.02,120.12,116.90,117.04,1696081
7-Oct-16,120.13,120.20,118.55,119.70,887225
6-Oct-16,121.20,121.20,119.95,120.67,340983
5-Oct-16,119.83,121.42,119.48,121.24,584607
4-Oct-16,120.99,123.48,119.01,119.19,958103
3-Oct-16,121.61,121.94,119.14,120.57,1096899
30-Sep-16,119.50,123.11,119.27,122.34,2568222
29-Sep-16,117.37,118.33,116.84,117.12,830307
28-Sep-16,116.04,117.82,116.04,117.70,738370
27-Sep-16,114.16,115.68,113.50,115.62,477617
26-Sep-16,115.41,116.07,114.49,114.59,501709
23-Sep-16,117.94,118.08,115.76,115.77,498575
22-Sep-16,118.11,119.19,117.67,118.58,786257
21-Sep-16,115.67,117.13,115.20,117.03,663560
20-Sep-16,115.62,116.75,114.98,115.04,683871
19-Sep-16,114.51,115.59,114.38,114.94,694837
16-Sep-16,114.59,114.59,113.27,113.89,1399934
15-Sep-16,114.74,115.65,114.33,115.45,736022
14-Sep-16,114.04,115.07,113.28,114.55,755830
13-Sep-16,113.36,114.71,113.31,114.18,882999
12-Sep-16,112.36,115.06,111.52,114.72,729217
9-Sep-16,115.28,115.49,112.50,112.50,719123
8-Sep-16,116.41,116.84,115.89,116.21,485773
7-Sep-16,116.50,116.95,116.14,116.44,594885
6-Sep-16,117.38,117.57,116.22,116.50,437917
2-Sep-16,117.16,117.76,116.62,117.08,434030
1-Sep-16,116.13,116.57,115.14,116.43,595303
31-Aug-16,117.12,117.25,115.48,115.93,510838
30-Aug-16,118.45,118.45,116.75,117.35,570416
29-Aug-16,117.96,118.76,117.76,118.30,341541
26-Aug-16,117.92,119.36,117.38,117.87,496149
25-Aug-16,117.57,118.20,117.25,117.69,446455
24-Aug-16,118.74,118.98,117.55,117.82,433627
23-Aug-16,118.80,119.34,118.48,118.84,456007
22-Aug-16,118.22,118.38,117.18,118.15,818858
19-Aug-16,117.25,118.76,116.99,118.43,1318902
18-Aug-16,119.00,119.33,118.68,119.31,500432
17-Aug-16,119.04,119.24,118.52,118.95,361418
16-Aug-16,118.78,119.26,118.25,118.94,526021
15-Aug-16,117.90,119.21,117.88,118.86,386764
12-Aug-16,118.99,118.99,117.42,117.64,534835
11-Aug-16,118.95,119.56,118.80,119.02,968621
10-Aug-16,118.70,119.36,118.13,119.33,963064
9-Aug-16,118.10,118.97,118.04,118.57,625031
8-Aug-16,117.70,118.44,117.54,117.99,799461
5-Aug-16,115.26,117.15,115.26,117.14,526093
4-Aug-16,114.58,116.47,114.42,115.05,634961
3-Aug-16,112.90,114.91,112.38,114.66,1268259
2-Aug-16,113.59,113.88,112.05,113.05,965103
1-Aug-16,114.21,114.54,112.87,113.97,907186
29-Jul-16,115.87,116.17,114.00,114.40,1190695
28-Jul-16,116.20,116.92,114.98,116.23,821522
27-Jul-16,118.46,118.67,116.29,116.93,1253180
26-Jul-16,118.29,120.74,118.29,120.64,969173
25-Jul-16,118.19,118.85,117.41,118.18,904853
22-Jul-16,118.18,118.57,117.38,118.53,571981
21-Jul-16,119.20,119.94,117.80,118.46,761973
20-Jul-16,119.18,119.67,118.55,119.51,309491
19-Jul-16,118.78,119.38,118.59,119.00,275146
18-Jul-16,119.65,119.65,118.36,119.33,357997
15-Jul-16,119.28,119.85,118.60,119.16,544317
14-Jul-16,119.95,120.75,118.47,118.73,848028
13-Jul-16,119.39,119.88,117.97,118.84,725886
12-Jul-16,118.15,119.27,117.83,119.03,987879
11-Jul-16,116.47,118.00,116.15,117.51,890315
8-Jul-16,114.27,115.95,113.76,115.70,691268
7-Jul-16,113.37,114.18,112.11,112.97,530756
6-Jul-16,112.35,112.98,110.89,112.85,1057417
5-Jul-16,114.84,115.08,112.03,112.68,1418494
1-Jul-16,114.53,116.80,114.02,115.89,942504
30-Jun-16,112.03,114.83,111.53,114.82,1008034
29-Jun-16,111.28,111.87,110.62,111.62,795093
28-Jun-16,109.19,110.35,108.60,109.86,1318739
27-Jun-16,110.34,110.64,107.16,108.11,1410570
24-Jun-16,115.37,117.00,112.08,112.37,2047196
23-Jun-16,119.59,120.60,119.15,120.52,981414
22-Jun-16,117.63,118.46,117.53,117.99,833860
21-Jun-16,118.03,118.08,116.51,117.22,676678
20-Jun-16,118.41,119.64,117.83,118.00,715819
17-Jun-16,116.11,117.23,115.53,116.70,1093999
16-Jun-16,114.75,116.25,113.87,115.89,842301
15-Jun-16,116.37,117.11,115.45,115.58,677141
14-Jun-16,115.48,116.90,115.00,116.12,441591
13-Jun-16,115.83,116.77,115.22,115.94,715609
10-Jun-16,117.34,117.88,115.92,116.70,779389
9-Jun-16,118.16,119.04,117.79,118.74,504964
8-Jun-16,119.30,119.99,118.66,119.02,700518
7-Jun-16,119.25,120.00,118.76,118.83,686718
6-Jun-16,118.60,119.59,117.99,118.91,967352
3-Jun-16,117.35,118.40,115.54,118.18,822031
2-Jun-16,116.00,117.47,115.43,117.47,695622
1-Jun-16,115.43,116.30,114.24,116.16,635075
31-May-16,116.69,116.99,115.32,116.05,788121
27-May-16,116.77,117.09,115.96,116.51,685798
26-May-16,116.03,117.21,115.59,116.77,1108866
25-May-16,114.40,115.93,114.13,115.75,958641
24-May-16,112.09,114.31,111.78,113.67,628365
23-May-16,110.96,112.28,110.40,111.79,650107
20-May-16,110.96,111.64,110.76,111.17,586956
19-May-16,111.22,111.37,109.32,110.23,1087043
18-May-16,112.96,114.24,111.66,112.25,762605
17-May-16,114.37,115.50,113.31,113.74,526226
16-May-16,113.38,115.10,112.75,114.58,613445
13-May-16,113.80,114.70,112.54,113.08,1176391
12-May-16,113.59,114.16,112.72,114.01,1119981
11-May-16,113.74,114.63,113.18,113.92,875628
10-May-16,111.59,113.98,111.32,113.80,994927
9-May-16,111.76,112.28,110.93,111.29,535533
6-May-16,111.44,112.27,110.76,112.19,496917
5-May-16,111.70,112.62,111.01,111.68,1091344
4-May-16,112.02,112.57,110.45,111.05,768639
3-May-16,112.51,112.54,111.66,112.36,693373
2-May-16,113.53,113.91,112.28,113.24,1120817
29-Apr-16,113.96,114.40,112.85,113.47,894614
28-Apr-16,114.86,115.96,113.86,114.24,739357
27-Apr-16,114.54,116.30,112.50,115.69,908610
26-Apr-16,115.52,116.09,114.87,115.92,803268
25-Apr-16,114.56,115.93,114.56,114.77,649107
22-Apr-16,115.26,115.74,114.52,115.11,963809
21-Apr-16,115.04,116.23,114.68,114.99,532681
20-Apr-16,116.65,116.75,115.34,115.62,656743
19-Apr-16,117.32,118.19,115.71,116.19,935461
18-Apr-16,115.63,117.26,115.63,117.06,606609
15-Apr-16,116.21,116.96,115.45,116.86,930850
14-Apr-16,115.41,116.73,113.79,116.41,1205064
13-Apr-16,114.00,115.80,113.55,115.55,962799
12-Apr-16,112.00,113.64,111.99,112.99,394925
11-Apr-16,111.81,113.49,111.68,111.98,575353
8-Apr-16,112.43,113.34,110.95,111.49,524429
7-Apr-16,110.83,111.89,110.40,110.98,565102
