Date,Open,High,Low,Close,Volume
28-Apr-17,218.00,225.57,217.58,218.70,1041717
27-Apr-17,215.72,217.88,215.00,217.63,709837
26-Apr-17,216.06,216.99,214.98,215.39,579603
25-Apr-17,214.49,217.14,214.00,216.36,613498
24-Apr-17,212.00,214.25,212.00,213.73,744820
21-Apr-17,209.31,210.37,208.54,209.75,495916
20-Apr-17,207.40,209.80,206.99,208.84,262134
19-Apr-17,208.33,208.58,206.16,206.60,416276
18-Apr-17,206.65,207.75,206.65,207.14,357529
17-Apr-17,205.90,207.44,205.20,207.44,368696
13-Apr-17,204.81,206.38,204.77,205.01,300401
12-Apr-17,205.80,206.74,204.88,205.47,397295
11-Apr-17,207.85,209.38,204.99,206.95,514995
10-Apr-17,208.21,210.65,207.64,208.90,352449
7-Apr-17,208.02,208.84,206.96,208.21,416902
6-Apr-17,207.23,208.75,205.72,208.11,428213
5-Apr-17,207.18,209.45,206.44,207.08,652979
4-Apr-17,206.32,207.10,205.46,206.83,372438
3-Apr-17,207.13,207.13,204.62,206.05,608904
31-Mar-17,208.25,209.08,206.45,206.49,729659
30-Mar-17,207.29,209.01,207.20,208.93,396899
29-Mar-17,206.89,208.18,206.65,207.53,315732
28-Mar-17,204.43,208.70,204.30,207.36,492540
27-Mar-17,204.44,205.39,203.50,204.99,706696
24-Mar-17,206.51,207.74,205.58,206.50,607695
23-Mar-17,208.83,209.03,207.01,207.46,673357
22-Mar-17,208.67,209.53,207.44,208.69,341264
21-Mar-17,211.21,211.21,207.98,208.00,491829
20-Mar-17,211.06,211.33,210.02,210.23,278995
17-Mar-17,211.16,211.66,209.99,210.94,742019
16-Mar-17,213.68,214.44,210.72,210.95,627551
15-Mar-17,211.50,214.41,211.14,213.93,526605
14-Mar-17,210.49,211.54,209.89,211.30,453332
13-Mar-17,211.01,211.74,210.09,211.16,699256
10-Mar-17,210.83,212.55,209.77,211.37,369222
9-Mar-17,210.52,211.69,210.12,210.62,443707
8-Mar-17,211.20,211.87,210.05,210.28,637251
7-Mar-17,211.86,212.96,211.32,211.75,598311
6-Mar-17,211.93,213.24,211.23,212.33,282215
3-Mar-17,211.43,213.05,211.26,212.85,290916
2-Mar-17,212.83,213.39,211.59,212.78,342412
1-Mar-17,211.68,213.33,210.67,212.96,506327
28-Feb-17,210.04,211.99,208.34,209.20,645330
27-Feb-17,209.83,210.56,208.73,210.04,845007
24-Feb-17,209.22,210.00,208.46,209.91,624931
23-Feb-17,209.83,210.16,207.33,209.45,557129
22-Feb-17,206.65,208.97,206.65,207.87,402418
21-Feb-17,207.62,207.87,205.97,207.38,497016
17-Feb-17,206.49,207.22,205.28,207.14,1076865
16-Feb-17,206.95,207.13,204.47,206.81,497831
15-Feb-17,204.21,207.60,203.84,206.74,413444
14-Feb-17,205.49,206.69,204.96,205.37,461508
13-Feb-17,205.91,207.38,204.63,205.74,573482
10-Feb-17,203.50,205.78,203.01,204.56,849322
9-Feb-17,195.08,205.69,194.03,202.20,1325002
8-Feb-17,192.49,193.11,191.22,193.01,483760
7-Feb-17,193.27,193.34,191.67,192.35,427997
6-Feb-17,192.29,192.99,191.32,192.70,376459
3-Feb-17,192.21,192.92,191.44,192.86,566244
2-Feb-17,190.36,191.90,189.74,191.76,352478
1-Feb-17,192.07,192.75,190.45,191.36,493027
31-Jan-17,190.16,191.94,189.58,191.85,739679
30-Jan-17,190.11,190.48,188.36,190.40,436155
27-Jan-17,191.12,191.12,189.52,190.75,289948
26-Jan-17,191.01,191.94,189.50,190.44,457091
25-Jan-17,188.55,190.90,188.20,190.58,602854
24-Jan-17,186.70,188.48,186.01,187.88,491182
23-Jan-17,185.85,186.71,185.12,186.36,668994
20-Jan-17,186.12,186.87,185.11,186.22,464140
19-Jan-17,187.65,188.22,185.10,185.42,341516
18-Jan-17,186.72,189.09,185.33,186.91,709590
17-Jan-17,188.05,188.39,185.43,186.02,381979
13-Jan-17,189.51,190.01,188.12,188.50,622466
12-Jan-17,188.76,188.76,185.63,187.66,446325
11-Jan-17,185.71,189.79,185.06,188.97,670536
10-Jan-17,185.63,186.43,184.55,186.00,500668
9-Jan-17,188.04,188.04,185.97,186.31,285264
6-Jan-17,187.15,189.19,186.42,187.87,647801
5-Jan-17,184.68,186.99,184.30,185.27,342690
4-Jan-17,185.31,186.43,184.45,185.29,436885
3-Jan-17,184.82,185.71,183.74,184.93,421459
30-Dec-16,184.09,184.14,182.03,183.08,372520
29-Dec-16,184.11,185.33,182.64,183.13,376445
28-Dec-16,186.46,187.03,183.74,183.81,312880
27-Dec-16,185.86,187.05,185.86,186.20,264807
23-Dec-16,186.43,186.59,185.62,185.93,190014
22-Dec-16,186.00,186.38,184.70,186.01,486569
21-Dec-16,186.28,186.63,185.79,185.81,376359
20-Dec-16,185.33,186.89,184.92,186.33,395459
19-Dec-16,185.09,185.85,183.86,184.43,410025
16-Dec-16,187.75,188.47,184.82,185.00,1113698
15-Dec-16,186.10,187.19,185.26,186.97,699314
14-Dec-16,187.74,188.82,186.33,186.66,868481
13-Dec-16,186.00,189.44,185.51,188.04,1369841
12-Dec-16,185.72,185.81,184.13,184.89,401031
9-Dec-16,183.12,185.93,182.96,185.80,792892
8-Dec-16,182.63,183.77,182.63,183.29,1462814
7-Dec-16,183.72,183.95,182.79,183.51,962074
6-Dec-16,183.78,185.36,182.01,183.05,924253
5-Dec-16,183.17,184.93,181.16,181.64,570215
2-Dec-16,181.66,182.69,181.32,182.32,518486
1-Dec-16,181.41,182.64,181.23,181.83,668377
30-Nov-16,181.69,182.31,180.94,181.11,740824
29-Nov-16,181.63,182.20,180.98,181.10,293275
28-Nov-16,182.80,183.35,181.16,182.08,415468
25-Nov-16,184.22,184.60,182.20,183.13,172323
23-Nov-16,183.25,184.43,183.25,184.20,377750
22-Nov-16,182.70,183.87,181.78,183.79,582367
21-Nov-16,181.15,182.04,180.78,182.04,574601
18-Nov-16,181.10,181.86,179.96,180.12,319099
17-Nov-16,181.49,182.25,180.75,181.42,955963
16-Nov-16,181.38,181.71,180.02,181.28,611293
15-Nov-16,179.45,181.78,178.19,181.65,832895
14-Nov-16,179.06,180.24,178.96,179.58,729467
11-Nov-16,179.57,180.31,178.01,178.95,713816
10-Nov-16,177.09,180.50,176.60,179.81,1157496
9-Nov-16,173.26,177.23,171.57,176.95,970729
8-Nov-16,173.12,174.89,172.14,174.04,756770
7-Nov-16,171.32,173.04,171.26,172.85,549972
4-Nov-16,170.81,171.32,169.42,169.47,1033675
