Date,Open,High,Low,Close,Volume
28-Apr-17,27.78,27.93,26.43,26.49,7576207
27-Apr-17,27.28,27.65,26.86,27.35,6693354
26-Apr-17,27.61,28.76,27.42,27.61,6799009
25-Apr-17,27.15,27.68,26.24,27.56,12785671
24-Apr-17,27.60,27.69,27.19,27.23,5516243
21-Apr-17,27.50,27.78,27.24,27.47,3772655
20-Apr-17,27.41,27.92,27.20,27.61,3418484
19-Apr-17,27.73,28.14,27.22,27.34,5306959
18-Apr-17,27.57,27.97,27.29,27.42,4301979
17-Apr-17,27.74,28.04,27.42,27.87,5868319
13-Apr-17,28.62,28.68,27.66,27.77,5942097
12-Apr-17,29.35,29.75,28.50,28.54,5038793
11-Apr-17,29.86,29.95,29.00,29.40,3311988
10-Apr-17,29.55,29.95,29.40,29.88,2659226
7-Apr-17,29.87,30.00,29.44,29.47,3442809
6-Apr-17,29.58,29.92,29.43,29.90,4323863
5-Apr-17,30.15,30.30,29.15,29.40,6734969
4-Apr-17,28.97,29.79,28.70,29.76,5869636
3-Apr-17,29.07,29.22,28.20,28.57,4863452
31-Mar-17,28.88,29.70,28.65,29.10,5958891
30-Mar-17,29.24,29.48,28.60,28.61,8423111
29-Mar-17,28.00,28.96,27.92,28.95,6163344
28-Mar-17,27.94,28.24,27.44,27.79,5676355
27-Mar-17,27.30,27.90,27.21,27.82,3410540
24-Mar-17,27.23,27.85,27.00,27.68,4379818
23-Mar-17,26.95,27.41,26.71,27.23,3771347
22-Mar-17,27.20,27.38,26.61,26.80,4102892
21-Mar-17,27.86,28.10,27.33,27.42,4646698
20-Mar-17,27.39,27.80,27.08,27.72,4970925
17-Mar-17,27.86,27.96,27.38,27.51,4841089
16-Mar-17,28.04,28.18,27.50,27.69,4205069
15-Mar-17,27.71,28.25,27.28,28.10,3707443
14-Mar-17,27.73,27.76,27.08,27.45,3953047
13-Mar-17,27.61,28.19,27.33,28.08,5311837
10-Mar-17,28.12,28.39,27.42,27.53,5972290
9-Mar-17,27.50,27.96,26.70,27.80,7608473
8-Mar-17,27.93,28.36,27.50,27.54,6630372
7-Mar-17,28.38,28.48,27.65,27.91,5950477
6-Mar-17,28.96,28.96,27.79,28.47,5742579
3-Mar-17,27.66,27.90,27.26,27.34,2986354
2-Mar-17,27.72,27.93,27.24,27.47,3830470
1-Mar-17,27.84,28.24,27.54,27.93,3850113
28-Feb-17,27.65,27.75,27.07,27.62,3751626
27-Feb-17,27.58,28.21,27.26,27.72,4424170
24-Feb-17,28.74,28.80,27.25,27.64,6974621
23-Feb-17,30.65,30.65,27.92,28.94,9226936
22-Feb-17,30.18,30.62,29.87,29.93,4833895
21-Feb-17,30.79,31.21,30.30,30.42,6028278
17-Feb-17,31.00,31.63,30.78,31.27,6475164
16-Feb-17,32.98,33.07,31.00,31.24,6373353
15-Feb-17,32.70,33.57,32.63,33.00,2831219
14-Feb-17,32.61,32.84,32.32,32.81,3763608
13-Feb-17,33.08,33.14,32.50,32.53,2905974
10-Feb-17,33.82,34.09,33.08,33.14,3026181
9-Feb-17,33.32,33.94,33.09,33.81,2343292
8-Feb-17,32.88,33.35,32.11,32.89,2414349
7-Feb-17,33.97,34.17,32.78,33.15,3213457
6-Feb-17,34.01,34.93,33.80,33.91,3961754
3-Feb-17,32.59,33.50,32.37,33.47,4602078
2-Feb-17,31.73,32.92,31.12,32.78,4969442
1-Feb-17,32.66,32.74,31.65,31.81,4763024
31-Jan-17,33.02,33.18,31.80,32.34,5044632
30-Jan-17,35.64,35.64,32.89,33.34,5939385
27-Jan-17,34.95,36.40,34.95,35.71,6948302
26-Jan-17,34.12,34.45,33.68,34.44,4387731
25-Jan-17,34.31,34.32,33.72,33.83,3511471
24-Jan-17,34.35,34.79,34.01,34.06,5581068
23-Jan-17,34.50,34.80,34.01,34.14,2566585
20-Jan-17,34.89,34.91,34.30,34.54,3334429
19-Jan-17,34.33,34.86,34.10,34.47,3719582
18-Jan-17,33.10,34.75,33.05,34.35,3135857
17-Jan-17,33.93,33.93,33.06,33.76,4122022
13-Jan-17,33.82,34.17,33.42,33.64,2922309
12-Jan-17,33.88,34.59,33.56,33.99,3769608
11-Jan-17,33.55,33.82,33.05,33.53,2583077
10-Jan-17,33.28,33.50,32.71,33.36,3359930
9-Jan-17,33.80,33.88,32.61,32.76,4131107
6-Jan-17,34.28,34.52,33.73,34.23,2500387
5-Jan-17,33.79,34.43,33.44,34.20,5195842
4-Jan-17,32.44,33.64,32.44,33.55,4448638
3-Jan-17,33.61,34.42,31.54,32.60,10678281
30-Dec-16,34.26,34.81,34.09,34.36,2965776
29-Dec-16,34.23,34.77,33.87,34.26,3033960
28-Dec-16,34.76,35.05,33.98,34.32,4115285
27-Dec-16,34.87,35.14,34.50,34.77,2798868
23-Dec-16,34.25,34.92,34.07,34.70,2140563
22-Dec-16,34.17,34.30,33.63,34.22,3538508
21-Dec-16,34.24,34.59,33.70,34.21,4224392
20-Dec-16,33.77,33.99,33.01,33.24,4092818
19-Dec-16,34.38,34.70,33.61,33.97,4900054
16-Dec-16,34.31,34.52,33.75,34.29,8813321
15-Dec-16,34.56,36.02,34.06,34.66,6392665
14-Dec-16,36.11,36.66,34.78,34.85,4208996
13-Dec-16,36.41,36.89,35.76,36.29,4687535
12-Dec-16,39.56,39.64,35.68,35.97,6334476
9-Dec-16,38.79,39.21,38.06,38.78,4043047
8-Dec-16,38.54,38.75,37.32,38.36,3412952
7-Dec-16,38.77,39.64,37.83,38.22,3541155
6-Dec-16,37.93,38.72,37.71,38.39,2886053
5-Dec-16,37.20,39.00,37.17,38.42,5939163
2-Dec-16,36.34,36.66,35.63,36.36,3669015
1-Dec-16,36.40,37.51,36.12,36.59,7328980
30-Nov-16,38.52,38.60,34.86,35.18,8806904
29-Nov-16,35.67,36.82,35.14,36.37,4623933
28-Nov-16,36.78,37.46,36.49,36.51,4513842
25-Nov-16,36.48,36.70,35.88,36.28,1766178
23-Nov-16,35.20,36.79,35.06,36.78,3040660
22-Nov-16,36.50,36.50,34.87,35.64,3885296
21-Nov-16,34.86,36.61,34.86,36.40,6186643
18-Nov-16,34.55,35.14,33.92,34.02,3318469
17-Nov-16,34.90,35.35,33.94,34.03,3382791
16-Nov-16,34.56,35.14,34.09,34.39,3253296
