Date,Open,High,Low,Close,Volume
28-Apr-17,62.84,63.55,62.58,62.99,1553802
27-Apr-17,63.48,63.88,63.18,63.34,1533848
26-Apr-17,63.85,64.01,63.14,63.23,1684956
25-Apr-17,64.04,64.11,63.83,63.89,1450100
24-Apr-17,63.95,64.05,63.68,64.02,1325737
21-Apr-17,63.05,63.55,63.04,63.38,1291735
20-Apr-17,63.20,63.22,62.99,63.01,1280593
19-Apr-17,62.97,63.09,62.84,63.05,856068
18-Apr-17,62.56,62.92,62.53,62.86,743817
17-Apr-17,62.37,62.79,62.34,62.77,997708
13-Apr-17,62.42,62.60,62.17,62.19,1291469
12-Apr-17,62.62,62.69,62.12,62.51,900732
11-Apr-17,62.66,62.89,62.47,62.89,830174
10-Apr-17,62.73,62.90,62.57,62.66,1069214
7-Apr-17,62.75,63.06,62.66,62.82,1500877
6-Apr-17,62.63,62.75,62.21,62.63,1027122
5-Apr-17,62.67,63.10,62.61,62.69,1275217
4-Apr-17,62.55,62.86,62.51,62.61,816341
3-Apr-17,62.89,63.00,62.44,62.48,1175311
31-Mar-17,62.68,63.02,62.65,62.81,904093
30-Mar-17,62.03,62.85,62.03,62.82,965964
29-Mar-17,62.20,62.47,62.08,62.32,1348314
28-Mar-17,61.93,62.51,61.93,62.42,1146659
27-Mar-17,62.22,62.31,61.91,62.10,1192751
24-Mar-17,62.73,62.84,62.36,62.49,1443173
23-Mar-17,62.70,63.09,62.59,62.63,1544775
22-Mar-17,62.77,62.97,62.64,62.75,1385023
21-Mar-17,63.49,63.51,62.42,62.58,1725818
20-Mar-17,63.31,63.46,63.22,63.22,777182
17-Mar-17,63.19,63.60,63.10,63.37,1771745
16-Mar-17,63.56,63.84,62.89,63.06,1418492
15-Mar-17,62.86,63.77,62.71,63.69,1429979
14-Mar-17,62.91,63.00,62.66,62.87,953317
13-Mar-17,62.65,62.99,62.49,62.99,1016560
10-Mar-17,62.57,62.81,62.33,62.77,1080436
9-Mar-17,62.13,62.36,62.01,62.30,1526022
8-Mar-17,61.94,62.36,61.81,62.11,956312
7-Mar-17,61.77,62.24,61.66,62.08,1011372
6-Mar-17,61.74,62.12,61.70,61.93,1429456
3-Mar-17,62.25,62.25,61.85,62.01,1322646
2-Mar-17,62.04,62.39,61.86,62.23,1184806
1-Mar-17,62.15,62.34,61.62,62.20,1396059
28-Feb-17,61.69,62.00,61.65,61.95,1314944
27-Feb-17,61.38,61.80,61.38,61.75,980862
24-Feb-17,61.55,61.64,61.16,61.35,1992917
23-Feb-17,61.84,61.98,61.25,61.57,1337847
22-Feb-17,61.35,61.72,61.20,61.68,1402102
21-Feb-17,60.50,61.53,60.47,61.22,1821657
17-Feb-17,59.22,60.79,58.60,60.75,2822494
16-Feb-17,58.92,59.12,58.68,59.05,1923111
15-Feb-17,58.09,59.19,58.06,59.11,1299787
14-Feb-17,58.21,58.58,58.15,58.43,989429
13-Feb-17,58.08,58.64,58.08,58.49,1114384
10-Feb-17,57.78,58.35,57.74,57.96,1154917
9-Feb-17,57.78,57.98,57.65,57.86,957521
8-Feb-17,57.60,57.79,57.53,57.74,1260289
7-Feb-17,57.40,57.92,57.37,57.65,1134901
6-Feb-17,57.67,57.76,57.31,57.36,903658
3-Feb-17,57.61,57.90,57.44,57.58,1736757
2-Feb-17,56.99,57.41,56.92,57.35,1638952
1-Feb-17,57.37,57.66,56.83,56.90,1877204
31-Jan-17,57.48,57.78,57.29,57.38,994829
30-Jan-17,57.60,57.60,57.34,57.45,748542
27-Jan-17,57.85,57.97,57.46,57.51,917999
26-Jan-17,57.91,58.08,57.58,57.65,1181846
25-Jan-17,57.60,58.08,57.55,57.82,2194621
24-Jan-17,57.26,57.59,57.14,57.54,968096
23-Jan-17,57.41,57.55,57.01,57.24,1278509
20-Jan-17,57.43,57.59,57.16,57.36,985396
19-Jan-17,56.99,57.46,56.99,57.31,1239418
18-Jan-17,56.93,57.38,56.88,57.36,943854
17-Jan-17,57.11,57.23,56.83,56.91,877449
13-Jan-17,57.15,57.48,57.08,57.24,962729
12-Jan-17,56.91,57.13,56.65,57.10,1081875
11-Jan-17,56.62,57.06,56.52,56.91,1261200
10-Jan-17,56.24,56.74,56.17,56.69,1210824
9-Jan-17,57.07,57.21,56.40,56.42,1374947
6-Jan-17,57.10,57.31,56.93,57.03,1147549
5-Jan-17,56.99,57.54,56.95,57.21,1113141
4-Jan-17,57.09,57.41,56.96,56.97,1348602
3-Jan-17,57.11,57.20,56.58,56.87,1174706
30-Dec-16,57.32,57.48,56.91,57.05,693575
29-Dec-16,57.07,57.23,57.05,57.15,632365
28-Dec-16,57.42,57.55,57.27,57.32,598174
27-Dec-16,57.48,57.56,57.29,57.41,543369
23-Dec-16,57.31,57.48,57.12,57.36,662489
22-Dec-16,57.26,57.45,57.12,57.32,942220
21-Dec-16,57.50,57.73,57.29,57.29,786595
20-Dec-16,57.49,58.00,57.35,57.50,1196639
19-Dec-16,56.87,57.55,56.87,57.41,978476
16-Dec-16,56.79,57.00,56.49,56.59,2404252
15-Dec-16,56.38,56.83,56.24,56.65,1073866
14-Dec-16,57.12,57.24,56.45,56.51,1265613
13-Dec-16,57.08,57.36,56.68,57.05,1412864
12-Dec-16,56.45,57.08,56.40,56.92,1293020
9-Dec-16,56.38,56.70,56.01,56.52,1413071
8-Dec-16,56.30,56.70,56.20,56.44,1593008
7-Dec-16,55.74,56.29,55.54,56.29,1274201
6-Dec-16,55.41,55.74,55.13,55.72,1268830
5-Dec-16,55.86,55.99,55.07,55.28,1535855
2-Dec-16,55.71,55.90,55.52,55.81,1033702
1-Dec-16,55.49,55.71,55.23,55.47,1007045
30-Nov-16,55.83,55.83,55.47,55.49,1317950
29-Nov-16,55.84,56.02,55.67,55.90,1125693
28-Nov-16,55.59,55.93,55.43,55.86,1236720
25-Nov-16,55.33,55.76,55.33,55.63,471851
23-Nov-16,55.38,55.66,55.04,55.18,1493419
22-Nov-16,55.54,55.69,55.27,55.43,1512384
21-Nov-16,55.01,55.38,54.82,55.35,1361969
18-Nov-16,54.65,54.93,54.47,54.61,1396644
17-Nov-16,54.48,54.74,54.38,54.67,1237842
16-Nov-16,54.96,55.31,54.37,54.57,2083777
15-Nov-16,54.29,54.92,54.14,54.91,1732087
14-Nov-16,53.65,54.28,53.30,54.10,1660201
11-Nov-16,52.88,53.74,52.84,53.67,1661623
10-Nov-16,52.80,53.05,52.28,52.90,1788948
9-Nov-16,51.74,52.93,51.59,52.76,1548611
8-Nov-16,52.03,52.34,51.92,52.24,1321958
7-Nov-16,51.76,52.02,51.66,52.01,1363270
4-Nov-16,51.18,51.55,51.15,51.23,1855619
3-Nov-16,51.18,51.37,50.89,51.03,1277711
2-Nov-16,51.34,51.60,51.09,51.15,1221104
1-Nov-16,52.30,52.38,51.15,51.29,2367500
31-Oct-16,52.14,52.77,52.14,52.63,2012955
28-Oct-16,51.90,52.27,51.22,51.98,3055387
27-Oct-16,51.27,51.57,50.75,50.97,1644142
