Date,Open,High,Low,Close,Volume
28-Apr-17,156.81,156.96,154.51,155.21,1610022
27-Apr-17,155.87,158.87,155.76,156.26,1863836
26-Apr-17,156.38,156.59,155.21,155.27,2933914
25-Apr-17,155.69,156.74,155.51,156.01,1492533
24-Apr-17,155.67,156.24,155.00,156.03,1178639
21-Apr-17,154.46,155.49,153.81,154.04,1362213
20-Apr-17,152.91,154.53,152.71,154.00,1228744
19-Apr-17,153.17,153.38,152.43,152.88,1393674
18-Apr-17,152.90,153.63,152.40,152.87,1325021
17-Apr-17,152.00,153.32,151.90,153.24,1176719
13-Apr-17,151.00,152.64,150.90,151.75,1451611
12-Apr-17,152.03,152.55,151.19,151.35,1093255
11-Apr-17,151.23,152.45,150.72,152.07,1187713
10-Apr-17,153.01,153.01,150.96,151.23,1805374
7-Apr-17,154.62,155.20,151.71,152.96,3646132
6-Apr-17,150.11,150.88,149.70,150.75,2252467
5-Apr-17,151.42,152.64,149.85,149.95,1600875
4-Apr-17,151.77,152.05,150.92,151.40,1409869
3-Apr-17,152.57,152.90,151.44,151.77,1383292
31-Mar-17,153.04,153.43,152.50,152.50,1387426
30-Mar-17,151.89,153.42,151.50,153.16,1194180
29-Mar-17,151.73,151.98,150.85,151.93,950825
28-Mar-17,150.58,152.96,150.24,152.07,1201228
27-Mar-17,150.08,151.26,148.65,151.15,1680408
24-Mar-17,152.64,152.82,150.83,151.02,1897404
23-Mar-17,154.26,154.80,152.97,153.16,1348542
22-Mar-17,154.03,154.56,152.90,154.29,1246988
21-Mar-17,156.35,156.50,153.43,153.60,1302165
20-Mar-17,157.08,157.59,155.79,155.92,1468193
17-Mar-17,154.20,156.97,154.02,156.97,2208224
16-Mar-17,154.97,155.18,152.89,153.66,1818373
15-Mar-17,154.56,155.16,154.02,154.73,1500522
14-Mar-17,154.21,154.75,153.70,154.40,960684
13-Mar-17,154.00,154.83,153.82,154.61,1007129
10-Mar-17,154.84,155.44,153.66,154.38,1106787
9-Mar-17,154.36,154.68,153.81,154.13,1454980
8-Mar-17,154.60,155.14,153.77,154.11,1224582
7-Mar-17,153.10,154.61,152.97,154.48,1779901
6-Mar-17,153.40,153.90,152.93,153.32,1348642
3-Mar-17,153.86,154.42,153.02,153.75,2125617
2-Mar-17,153.82,154.98,153.57,154.30,4187008
1-Mar-17,155.85,156.40,154.07,154.57,2014895
28-Feb-17,154.95,155.65,154.00,154.15,2091191
27-Feb-17,154.00,156.20,153.87,154.83,1699365
24-Feb-17,153.24,153.66,152.52,153.48,1001479
23-Feb-17,154.22,154.93,153.01,153.29,2067054
22-Feb-17,153.71,154.18,152.50,154.08,1155440
21-Feb-17,153.15,154.48,152.48,154.02,1742877
17-Feb-17,152.30,152.94,151.15,152.86,1529202
16-Feb-17,151.76,152.50,151.10,152.39,1441953
15-Feb-17,151.59,152.18,150.73,151.96,1766712
14-Feb-17,151.85,152.93,151.14,151.35,1795672
13-Feb-17,150.73,152.34,150.70,151.85,1165676
10-Feb-17,149.28,150.33,149.01,150.03,1281722
9-Feb-17,148.38,149.89,148.28,149.24,1351723
8-Feb-17,148.30,148.73,147.86,148.19,1182138
7-Feb-17,148.25,148.99,147.84,148.12,1631977
6-Feb-17,146.83,148.25,146.80,147.55,1666021
