Date,Open,High,Low,Close,Volume
28-Apr-17,67.20,67.22,66.03,66.31,1414408
27-Apr-17,66.96,67.87,66.92,67.24,1300812
26-Apr-17,66.80,67.47,66.73,66.96,1154607
25-Apr-17,66.49,66.99,66.21,66.85,1070529
24-Apr-17,66.27,66.76,65.84,66.75,960458
21-Apr-17,65.99,66.64,65.99,66.27,876373
20-Apr-17,66.52,66.52,65.72,66.04,1109696
19-Apr-17,66.58,66.82,66.34,66.61,884967
18-Apr-17,66.32,66.75,66.04,66.70,800059
17-Apr-17,66.00,66.35,65.88,66.30,658636
13-Apr-17,66.19,66.25,65.33,65.80,1075503
12-Apr-17,65.22,66.23,64.99,66.22,1536388
11-Apr-17,65.43,65.54,65.10,65.30,745245
10-Apr-17,65.46,65.66,65.14,65.52,658378
7-Apr-17,66.35,66.52,65.32,65.40,2051315
6-Apr-17,66.63,66.68,66.17,66.30,837538
5-Apr-17,66.14,66.89,65.92,66.75,2524190
4-Apr-17,65.85,66.52,65.59,66.12,1328261
3-Apr-17,65.35,65.99,64.79,65.84,1513825
31-Mar-17,65.55,65.68,65.30,65.35,1418722
30-Mar-17,65.48,65.69,64.94,65.55,1173558
29-Mar-17,65.97,65.98,64.20,65.66,3049678
28-Mar-17,66.50,66.76,65.93,66.14,1241730
27-Mar-17,67.15,67.31,66.16,66.46,1038543
24-Mar-17,66.80,67.47,66.38,66.91,1123686
23-Mar-17,67.54,67.81,66.39,66.71,1696889
22-Mar-17,68.57,68.84,67.40,67.74,1263501
21-Mar-17,67.62,68.54,67.19,68.27,972407
20-Mar-17,67.99,68.13,67.36,67.43,714960
17-Mar-17,67.87,68.33,67.65,67.88,1969159
16-Mar-17,68.62,68.73,67.46,67.68,746318
15-Mar-17,67.72,69.06,67.49,68.75,890483
14-Mar-17,67.60,67.88,67.20,67.45,923377
13-Mar-17,67.47,67.90,67.20,67.60,1813288
10-Mar-17,67.55,68.12,67.22,67.42,1136954
9-Mar-17,68.00,68.55,67.32,67.34,997497
8-Mar-17,68.50,69.02,67.77,67.98,966681
7-Mar-17,70.25,70.57,69.76,69.81,833064
6-Mar-17,70.42,70.70,70.03,70.42,633611
3-Mar-17,70.73,70.94,70.01,70.50,1452049
2-Mar-17,68.55,70.40,68.47,69.98,1019395
1-Mar-17,68.18,69.11,68.12,68.78,1033961
28-Feb-17,68.63,69.48,68.51,69.35,1040545
27-Feb-17,68.93,68.96,68.43,68.54,470916
24-Feb-17,69.28,69.34,68.46,68.92,880212
23-Feb-17,68.15,69.20,68.14,68.94,905208
22-Feb-17,67.00,68.08,66.71,67.94,1210656
21-Feb-17,65.58,67.06,65.12,66.96,1042606
17-Feb-17,67.41,67.55,65.13,65.65,1555081
16-Feb-17,67.01,68.07,66.20,67.32,1527917
15-Feb-17,66.15,67.50,65.08,67.47,1735880
14-Feb-17,68.19,68.80,66.50,66.86,1936821
13-Feb-17,69.16,70.09,69.00,70.03,1803082
10-Feb-17,69.06,69.40,68.87,69.27,902958
9-Feb-17,70.11,70.51,69.12,69.15,803402
8-Feb-17,69.61,70.32,69.61,70.25,525682
7-Feb-17,69.61,69.72,69.24,69.40,637505
6-Feb-17,69.90,70.09,69.21,69.49,500693
3-Feb-17,69.39,69.89,69.09,69.70,841458
2-Feb-17,68.42,69.34,68.08,69.17,736743
1-Feb-17,68.22,68.70,67.60,68.28,979239
31-Jan-17,68.24,68.74,67.98,68.70,1308935
30-Jan-17,68.80,68.80,67.71,68.13,892380
27-Jan-17,68.97,69.10,68.33,68.50,531724
26-Jan-17,69.30,69.72,68.45,68.91,963909
25-Jan-17,69.51,69.77,69.28,69.35,774053
24-Jan-17,69.82,70.46,69.41,69.72,865365
23-Jan-17,71.14,71.22,70.21,70.30,664956
20-Jan-17,71.16,71.35,70.47,70.85,586930
19-Jan-17,71.63,71.82,70.83,70.99,649303
18-Jan-17,72.37,72.70,72.16,72.36,512039
17-Jan-17,72.23,72.89,72.22,72.54,576011
13-Jan-17,71.93,72.20,71.45,72.06,507101
12-Jan-17,71.56,72.16,71.27,71.99,1115144
11-Jan-17,71.04,71.58,70.74,71.49,772841
10-Jan-17,70.69,71.09,70.10,71.02,1356981
9-Jan-17,72.05,72.08,70.63,70.93,1566578
6-Jan-17,72.25,72.40,71.54,71.90,1278834
5-Jan-17,73.25,73.42,72.21,72.40,1259703
4-Jan-17,73.49,73.81,73.03,73.28,790887
3-Jan-17,73.34,74.06,72.51,73.25,1157120
30-Dec-16,73.76,73.76,72.97,73.28,530561
29-Dec-16,73.09,73.78,72.89,73.61,922774
28-Dec-16,74.61,74.77,72.78,72.92,788363
27-Dec-16,74.60,74.72,73.97,74.43,331134
23-Dec-16,74.75,74.91,74.33,74.69,219807
22-Dec-16,74.17,74.58,73.86,74.50,331269
21-Dec-16,74.32,74.99,74.10,74.23,350140
20-Dec-16,74.16,74.80,73.92,74.43,434660
19-Dec-16,74.43,74.59,73.65,74.25,455277
16-Dec-16,73.11,74.36,73.11,74.03,1194212
15-Dec-16,72.31,73.12,72.00,72.94,644000
14-Dec-16,74.46,74.93,72.55,72.67,1051803
13-Dec-16,73.36,74.02,73.36,73.99,751301
12-Dec-16,72.20,73.41,72.20,73.18,669596
9-Dec-16,72.01,72.84,71.52,72.76,922474
8-Dec-16,71.91,72.29,71.12,72.13,807705
7-Dec-16,71.85,73.17,71.85,72.90,747963
6-Dec-16,71.53,71.79,71.09,71.61,713637
5-Dec-16,70.49,71.50,70.08,71.49,1010437
2-Dec-16,70.88,71.50,70.27,70.92,521246
1-Dec-16,70.08,70.29,69.71,70.10,1011214
30-Nov-16,71.39,71.80,70.52,70.53,956539
29-Nov-16,72.26,73.00,72.26,72.45,683349
28-Nov-16,71.21,72.69,71.21,72.49,569509
25-Nov-16,70.12,71.03,70.12,71.01,254312
23-Nov-16,70.11,70.90,69.82,69.87,567339
22-Nov-16,70.53,71.20,70.14,71.00,463204
21-Nov-16,69.93,70.45,69.80,70.38,474045
18-Nov-16,69.83,70.35,69.36,69.65,676982
17-Nov-16,69.29,70.10,69.29,69.88,492565
16-Nov-16,70.65,71.00,69.18,69.62,451786
15-Nov-16,69.72,71.33,69.72,70.61,902907
14-Nov-16,68.52,69.72,67.94,69.42,1038775
11-Nov-16,68.85,69.82,68.84,69.14,872086
10-Nov-16,69.68,69.94,67.31,68.93,1010987
9-Nov-16,70.94,71.39,69.89,69.97,921667
8-Nov-16,72.44,73.52,72.23,73.26,747452
7-Nov-16,71.45,72.27,70.49,72.24,612225
4-Nov-16,71.56,72.24,70.96,71.01,449311
3-Nov-16,70.78,71.44,70.60,71.01,635503
2-Nov-16,71.57,71.57,70.53,71.10,619175
1-Nov-16,73.31,73.31,71.67,71.72,799739
31-Oct-16,71.92,73.83,71.92,73.36,1174779
28-Oct-16,71.13,72.04,71.12,71.55,690288
