Date,Open,High,Low,Close,Volume
28-Apr-17,337.47,338.00,333.04,334.68,715807
27-Apr-17,331.24,336.38,330.00,335.57,589925
26-Apr-17,330.83,331.97,328.00,330.94,613738
25-Apr-17,330.00,331.43,328.02,331.18,534521
24-Apr-17,328.93,329.64,325.38,327.73,669379
21-Apr-17,323.44,325.17,322.09,324.60,769622
20-Apr-17,321.12,325.51,317.19,324.02,1621085
19-Apr-17,312.05,312.43,310.17,311.54,645815
18-Apr-17,309.80,311.55,309.65,311.07,431753
17-Apr-17,309.63,311.37,309.03,310.85,342347
13-Apr-17,311.97,312.95,308.30,308.35,435672
12-Apr-17,312.35,313.70,311.53,312.96,498483
11-Apr-17,310.58,312.56,309.50,312.40,345171
10-Apr-17,312.94,313.75,311.17,311.85,252993
7-Apr-17,310.86,313.38,310.49,313.07,456067
6-Apr-17,309.38,311.68,308.76,310.47,404902
5-Apr-17,308.38,312.23,307.28,309.28,518526
4-Apr-17,309.06,310.10,306.38,308.38,517263
3-Apr-17,309.90,311.77,306.05,308.61,519771
31-Mar-17,309.93,311.28,309.43,310.19,280126
30-Mar-17,310.09,311.68,309.30,310.21,384109
29-Mar-17,310.71,312.17,308.63,310.14,587853
28-Mar-17,309.21,311.97,309.03,310.94,327763
27-Mar-17,306.88,310.07,306.16,309.47,631771
24-Mar-17,310.95,312.16,308.34,309.45,342682
23-Mar-17,310.94,313.25,309.21,310.75,470881
22-Mar-17,308.37,311.99,305.70,311.66,591300
21-Mar-17,311.63,313.29,307.61,307.95,908652
20-Mar-17,313.50,313.50,310.60,312.13,383000
17-Mar-17,312.67,313.90,311.80,313.38,739374
16-Mar-17,312.76,313.73,310.37,311.33,448253
15-Mar-17,310.51,313.14,309.62,312.60,581799
14-Mar-17,310.27,311.26,308.26,310.14,429418
13-Mar-17,311.49,312.43,310.17,311.89,320482
10-Mar-17,311.50,313.30,310.66,311.90,398872
9-Mar-17,310.63,311.76,309.87,310.21,548398
8-Mar-17,310.00,315.49,309.43,311.00,681798
7-Mar-17,310.53,311.92,310.38,310.58,419569
6-Mar-17,311.19,312.79,310.38,311.31,408390
3-Mar-17,312.82,313.60,310.52,311.93,386863
2-Mar-17,314.54,314.70,312.32,312.97,435631
1-Mar-17,311.98,316.66,310.93,315.36,838249
28-Feb-17,309.27,310.28,307.50,308.54,612256
27-Feb-17,312.99,313.36,309.62,310.20,349447
24-Feb-17,308.77,312.65,308.77,312.65,488089
23-Feb-17,311.67,312.34,309.89,310.20,365180
22-Feb-17,311.85,313.33,310.89,312.46,408944
21-Feb-17,311.34,313.74,310.52,312.52,583154
17-Feb-17,311.25,312.17,310.57,311.35,474456
16-Feb-17,309.92,312.44,308.34,311.17,588858
15-Feb-17,309.22,310.10,307.32,309.91,570327
14-Feb-17,308.43,310.00,306.82,309.90,815645
13-Feb-17,307.00,309.68,306.00,309.62,743937
10-Feb-17,306.64,307.71,305.26,306.47,406804
9-Feb-17,305.76,306.97,305.10,306.49,525413
8-Feb-17,302.22,305.46,302.01,305.36,431634
7-Feb-17,302.82,303.98,301.51,302.05,477347
6-Feb-17,303.49,304.66,301.75,301.97,585555
3-Feb-17,306.74,306.74,303.00,304.00,587658
2-Feb-17,306.74,307.36,303.57,303.86,737904
1-Feb-17,302.20,306.58,301.69,306.18,770505
31-Jan-17,302.76,304.89,300.18,303.81,912695
30-Jan-17,304.65,306.75,302.31,304.83,1165154
27-Jan-17,304.82,310.00,303.60,305.20,1501385
26-Jan-17,301.56,308.93,298.50,305.00,3013917
25-Jan-17,282.46,283.42,280.14,283.42,2351631
24-Jan-17,284.41,285.90,280.54,280.77,1539544
23-Jan-17,283.63,285.13,282.98,284.00,1065197
20-Jan-17,284.29,284.92,281.79,283.62,915944
19-Jan-17,286.86,287.99,281.45,283.09,1152955
18-Jan-17,284.72,287.36,283.17,286.96,787786
17-Jan-17,284.57,285.72,282.46,284.36,740054
13-Jan-17,283.76,285.32,280.80,285.10,580121
12-Jan-17,281.94,284.23,280.16,283.54,649935
11-Jan-17,277.61,284.32,277.61,283.76,841087
10-Jan-17,277.46,279.22,276.14,278.88,877548
9-Jan-17,278.98,279.48,277.23,278.76,671233
6-Jan-17,275.98,280.34,275.66,278.99,777085
