Date,Open,High,Low,Close,Volume
28-Apr-17,170.49,170.98,166.79,167.53,780779
27-Apr-17,170.37,171.27,170.01,170.32,619622
26-Apr-17,175.12,175.12,170.10,170.23,1114506
25-Apr-17,176.19,176.92,174.70,174.90,522334
24-Apr-17,177.56,177.80,174.01,175.26,657253
21-Apr-17,173.02,176.26,173.02,175.21,838728
20-Apr-17,165.36,173.98,165.36,173.13,1732059
19-Apr-17,164.50,165.53,161.95,163.77,957061
18-Apr-17,162.63,163.62,159.91,163.31,808575
17-Apr-17,161.91,163.51,161.07,163.51,671140
13-Apr-17,162.38,162.94,161.37,161.39,489692
12-Apr-17,165.12,165.74,162.09,162.63,799095
11-Apr-17,164.10,165.23,163.22,165.19,530715
10-Apr-17,164.39,165.37,163.87,164.37,316781
7-Apr-17,164.20,165.76,164.09,164.38,522721
6-Apr-17,163.48,165.57,163.01,164.41,447420
5-Apr-17,165.18,166.49,162.90,163.14,455747
4-Apr-17,167.24,167.76,164.23,164.74,501889
3-Apr-17,168.67,169.15,165.62,167.22,454348
31-Mar-17,167.97,169.36,167.72,168.67,596985
30-Mar-17,167.19,168.93,166.70,168.31,260137
29-Mar-17,167.48,168.51,167.20,167.27,283161
28-Mar-17,164.68,168.24,164.17,167.75,326330
27-Mar-17,164.62,165.24,162.24,164.91,589404
24-Mar-17,166.85,167.36,164.70,165.52,588942
23-Mar-17,167.93,168.81,166.11,166.36,673505
22-Mar-17,169.00,169.00,165.87,167.18,816164
21-Mar-17,172.63,173.26,168.89,169.55,357827
20-Mar-17,172.88,173.00,171.57,171.74,224911
17-Mar-17,173.52,173.63,172.22,172.88,341196
16-Mar-17,172.72,173.75,172.42,172.89,338700
15-Mar-17,169.96,173.14,169.92,172.25,342959
14-Mar-17,169.80,170.51,168.90,169.45,297051
13-Mar-17,169.31,170.83,169.08,170.76,460751
10-Mar-17,168.49,170.19,168.47,169.84,310338
9-Mar-17,169.01,170.22,167.66,168.34,300437
8-Mar-17,168.70,170.06,168.45,169.01,269296
7-Mar-17,169.15,169.98,168.35,168.46,245651
6-Mar-17,169.57,170.10,168.61,169.01,369784
3-Mar-17,171.07,171.07,169.00,170.49,435273
2-Mar-17,173.37,173.50,170.73,171.08,350238
1-Mar-17,172.24,174.50,171.58,172.85,584893
28-Feb-17,170.65,171.05,168.90,169.67,372842
27-Feb-17,171.38,172.10,170.29,171.10,351859
24-Feb-17,170.00,171.36,168.66,171.36,494392
23-Feb-17,171.66,171.94,169.93,171.03,272905
22-Feb-17,171.49,172.09,170.21,170.99,568195
21-Feb-17,172.89,173.71,171.61,172.39,517179
17-Feb-17,172.72,173.66,172.00,172.57,480907
16-Feb-17,175.73,175.97,172.35,173.31,585933
15-Feb-17,172.50,175.78,172.24,175.35,553152
14-Feb-17,172.00,173.16,169.61,172.92,576779
13-Feb-17,171.00,172.60,170.73,171.86,404932
10-Feb-17,169.27,170.12,168.81,169.89,348978
9-Feb-17,166.67,169.92,166.25,168.70,838080
8-Feb-17,167.02,167.17,165.73,166.61,448354
7-Feb-17,168.23,168.46,166.41,166.82,565408
6-Feb-17,170.43,170.70,166.54,167.85,802643
3-Feb-17,169.95,173.42,168.02,169.78,1233834
2-Feb-17,175.75,178.42,164.27,166.98,2264402
1-Feb-17,181.73,181.73,178.05,180.30,898059
31-Jan-17,180.77,181.61,178.22,181.53,818942
30-Jan-17,181.24,181.56,179.46,181.48,495369
27-Jan-17,180.58,180.74,179.32,180.61,432684
26-Jan-17,178.96,180.46,177.76,180.02,465189
25-Jan-17,178.65,179.12,176.45,179.01,333041
24-Jan-17,174.27,177.97,174.27,177.38,316851
23-Jan-17,174.84,175.53,172.34,173.65,223739
20-Jan-17,175.63,175.97,173.84,174.84,235893
19-Jan-17,175.05,176.52,174.25,174.87,233450
18-Jan-17,174.91,176.20,174.37,175.20,241661
17-Jan-17,176.38,176.78,173.54,174.42,370144
13-Jan-17,177.91,178.57,176.39,177.13,231589
12-Jan-17,177.36,177.68,174.90,177.47,410886
11-Jan-17,176.36,177.62,175.62,177.41,396358
10-Jan-17,173.61,176.77,173.61,176.27,464172
9-Jan-17,173.50,174.28,173.08,173.99,338242
6-Jan-17,172.00,173.99,171.24,173.19,228884
5-Jan-17,172.31,173.54,169.80,171.70,228702
4-Jan-17,171.49,174.30,171.23,172.77,326415
3-Jan-17,171.78,173.20,170.06,171.15,342188
30-Dec-16,172.46,172.90,170.72,171.27,214240
29-Dec-16,171.97,173.11,171.22,172.15,188900
28-Dec-16,174.12,174.84,171.38,171.74,138525
27-Dec-16,173.74,174.10,173.02,173.98,155776
23-Dec-16,173.35,173.86,172.70,173.41,113937
22-Dec-16,173.49,174.41,171.62,172.84,300063
21-Dec-16,174.59,174.85,173.45,173.62,193169
20-Dec-16,172.74,174.79,172.27,174.41,327781
19-Dec-16,172.08,173.91,171.74,172.30,357458
16-Dec-16,174.40,174.46,171.80,171.98,623227
15-Dec-16,171.73,174.59,171.42,174.42,384911
14-Dec-16,173.31,174.57,171.31,171.60,383660
13-Dec-16,175.69,175.99,173.11,173.31,402183
12-Dec-16,176.45,177.17,174.25,174.89,562319
9-Dec-16,172.92,177.86,172.29,176.20,598489
8-Dec-16,172.32,173.50,171.97,173.21,439251
7-Dec-16,169.74,173.04,169.20,172.90,404793
6-Dec-16,169.52,170.44,167.83,169.61,333172
5-Dec-16,167.91,170.34,167.35,169.03,383624
2-Dec-16,167.25,168.11,166.25,167.27,386893
1-Dec-16,167.14,169.18,166.27,167.31,493691
30-Nov-16,168.63,169.30,167.04,167.20,463605
29-Nov-16,168.35,168.42,167.00,167.81,625875
28-Nov-16,170.39,170.61,168.32,168.38,384495
25-Nov-16,169.50,170.96,169.20,170.58,153832
23-Nov-16,172.00,172.01,169.15,169.18,378719
22-Nov-16,168.90,171.95,168.66,170.78,648873
21-Nov-16,168.51,169.70,167.10,168.55,351433
18-Nov-16,167.20,168.28,166.80,167.77,236543
17-Nov-16,166.86,168.38,164.82,167.55,191943
16-Nov-16,167.75,168.50,166.59,166.61,469028
15-Nov-16,167.77,168.54,166.48,168.51,703219
14-Nov-16,166.92,168.87,166.92,167.61,570105
11-Nov-16,166.40,168.40,165.53,166.47,750372
10-Nov-16,161.79,166.67,161.55,166.64,745118
9-Nov-16,155.74,161.58,155.74,160.43,545396
8-Nov-16,157.44,158.74,156.34,158.07,363526
7-Nov-16,156.45,157.90,155.88,157.76,431144
4-Nov-16,152.55,154.57,151.94,153.88,491533
3-Nov-16,152.36,152.99,151.77,152.75,282316
2-Nov-16,152.24,153.40,151.93,152.36,317477
1-Nov-16,154.58,154.58,151.67,152.10,343732
31-Oct-16,154.01,154.74,153.07,154.10,350727
28-Oct-16,154.49,155.11,153.04,153.21,340782
27-Oct-16,155.70,155.70,153.53,153.73,546131
26-Oct-16,156.00,156.81,154.74,154.98,817840
25-Oct-16,159.29,159.29,156.13,156.76,731007
24-Oct-16,159.07,160.96,157.66,159.72,868699
