Date,Open,High,Low,Close,Volume
28-Apr-17,73.69,73.77,73.34,73.70,1329773
27-Apr-17,73.35,74.04,73.35,73.66,737963
26-Apr-17,73.53,73.53,73.09,73.25,827203
25-Apr-17,73.97,74.16,73.28,73.34,1109667
24-Apr-17,73.24,74.22,73.15,73.85,1179702
21-Apr-17,72.51,72.69,72.30,72.60,677594
20-Apr-17,72.37,72.68,72.22,72.56,1084156
19-Apr-17,71.87,72.45,71.77,72.23,1002075
18-Apr-17,70.90,71.84,70.85,71.76,1208211
17-Apr-17,71.11,71.38,70.89,71.13,1283973
13-Apr-17,70.93,71.45,70.62,70.93,1032130
12-Apr-17,71.83,71.90,70.86,70.97,641729
11-Apr-17,71.25,71.44,70.97,71.44,1102706
10-Apr-17,71.38,71.77,71.20,71.34,886020
7-Apr-17,71.25,71.55,71.13,71.46,743455
6-Apr-17,71.57,71.88,71.20,71.34,1233063
5-Apr-17,71.93,72.37,71.34,71.45,807282
4-Apr-17,72.07,72.53,71.84,71.98,885490
3-Apr-17,72.43,72.74,71.57,72.20,1082391
31-Mar-17,72.06,72.42,71.93,72.13,611698
30-Mar-17,72.05,72.28,72.02,72.21,678034
29-Mar-17,71.71,72.35,71.71,72.25,1092521
28-Mar-17,71.29,72.21,71.26,71.96,1223164
27-Mar-17,70.77,71.61,70.37,71.36,594306
24-Mar-17,71.50,71.76,70.90,71.15,638903
23-Mar-17,71.26,71.65,71.04,71.22,789745
22-Mar-17,70.42,71.16,70.42,71.07,870282
21-Mar-17,71.52,72.14,70.42,70.61,1420224
20-Mar-17,71.13,71.75,70.96,71.52,998095
17-Mar-17,71.51,71.56,70.99,71.14,2542598
16-Mar-17,70.60,71.49,70.60,70.76,2182750
15-Mar-17,71.08,71.08,69.42,70.25,30294553
14-Mar-17,72.05,72.05,70.37,70.76,2214852
13-Mar-17,71.80,72.28,71.70,72.09,555590
10-Mar-17,71.64,71.89,71.30,71.83,411270
9-Mar-17,71.40,71.61,71.12,71.39,411630
8-Mar-17,70.94,71.72,70.92,71.35,581238
7-Mar-17,70.64,71.36,70.50,71.08,617507
6-Mar-17,70.70,71.11,70.60,70.75,884243
3-Mar-17,70.84,71.27,70.50,71.03,827153
2-Mar-17,71.87,71.92,70.85,71.01,1096158
1-Mar-17,71.44,72.37,71.42,72.24,961468
28-Feb-17,72.00,72.14,71.41,71.44,773379
27-Feb-17,71.82,72.63,71.82,72.26,912780
24-Feb-17,70.66,72.08,70.66,72.06,845561
23-Feb-17,71.49,71.72,70.75,71.22,984613
22-Feb-17,70.80,71.35,70.31,71.26,891575
21-Feb-17,70.05,71.04,68.79,70.98,1287050
17-Feb-17,70.03,70.86,69.18,70.51,1576848
16-Feb-17,71.73,73.08,70.18,70.66,2392110
15-Feb-17,65.64,66.47,65.56,66.26,896217
14-Feb-17,65.67,65.98,65.31,65.84,798537
13-Feb-17,65.57,66.19,65.36,65.98,724631
10-Feb-17,65.58,65.62,65.08,65.29,1168553
