Date,Open,High,Low,Close,Volume
28-Apr-17,167.65,167.82,164.83,165.26,1838254
27-Apr-17,167.50,170.00,167.00,167.87,2388165
26-Apr-17,167.62,167.73,164.88,165.04,2025564
25-Apr-17,169.32,169.55,167.42,168.04,1754639
24-Apr-17,173.02,173.16,167.54,168.94,2407284
21-Apr-17,174.60,174.98,171.30,171.98,2003829
20-Apr-17,174.76,174.97,173.13,174.73,1145928
19-Apr-17,174.40,175.82,173.76,174.43,1366994
18-Apr-17,173.82,174.83,173.39,174.73,1190754
17-Apr-17,174.37,176.17,173.83,174.57,1215671
13-Apr-17,173.32,174.23,172.79,173.84,1043257
12-Apr-17,172.82,174.83,172.15,173.28,1913915
11-Apr-17,171.41,173.97,171.29,173.35,1807632
10-Apr-17,169.67,171.60,169.17,171.49,1379352
7-Apr-17,169.62,170.91,168.95,169.81,1501108
6-Apr-17,170.08,170.63,169.04,169.80,1819829
5-Apr-17,171.00,171.60,170.06,170.29,1724952
4-Apr-17,174.05,175.71,170.43,170.56,2966357
3-Apr-17,172.28,174.88,171.81,174.06,2526482
31-Mar-17,170.36,172.49,170.22,172.03,2052014
30-Mar-17,169.18,171.00,167.35,170.04,1548114
29-Mar-17,167.82,169.89,167.07,169.86,1916540
28-Mar-17,166.15,168.12,165.24,168.05,1980609
27-Mar-17,166.92,168.36,165.57,166.15,1598198
24-Mar-17,167.90,168.35,166.50,167.95,1545860
23-Mar-17,165.60,169.59,165.48,167.56,1459674
22-Mar-17,168.71,169.00,163.55,165.40,2554701
21-Mar-17,168.57,169.72,166.92,168.96,2041963
20-Mar-17,168.45,169.22,167.76,168.11,1075960
17-Mar-17,168.93,169.72,167.01,168.02,2846803
16-Mar-17,170.00,170.58,169.00,169.40,1110151
15-Mar-17,168.01,172.98,167.50,170.00,2657127
14-Mar-17,168.11,169.39,166.65,167.23,2718928
13-Mar-17,169.00,169.76,166.89,168.69,2719616
10-Mar-17,170.55,171.80,167.59,168.17,3101197
9-Mar-17,174.66,174.77,169.17,169.32,4031589
8-Mar-17,176.54,176.90,173.66,174.69,3275729
7-Mar-17,178.49,179.09,175.92,177.29,1379653
6-Mar-17,178.73,180.13,177.52,178.80,1104229
3-Mar-17,181.51,181.72,178.81,179.40,1732025
2-Mar-17,181.99,182.56,179.60,181.14,1566503
1-Mar-17,184.27,184.88,182.22,182.52,1845940
28-Feb-17,185.67,186.37,182.79,184.40,1841808
27-Feb-17,185.04,187.35,184.30,186.33,1313752
24-Feb-17,184.69,184.70,181.90,184.29,1213072
23-Feb-17,184.70,185.79,183.62,184.99,1043707
22-Feb-17,184.83,185.69,183.60,184.70,1469191
21-Feb-17,181.53,185.62,181.04,185.16,1521200
17-Feb-17,179.36,182.05,178.39,181.09,1657816
16-Feb-17,178.88,180.86,178.55,179.18,1373065
15-Feb-17,180.43,180.83,176.84,178.54,1954942
14-Feb-17,181.08,182.39,179.85,180.94,1079669
13-Feb-17,182.83,183.79,180.53,181.67,1250551
10-Feb-17,180.37,182.68,180.05,182.10,1193506
9-Feb-17,181.01,182.87,180.79,181.99,1298499
8-Feb-17,179.26,181.14,178.66,180.62,1406110
7-Feb-17,182.13,183.36,178.52,179.06,1812945
6-Feb-17,184.24,185.50,181.75,182.07,1179405
3-Feb-17,184.10,185.41,183.77,185.33,1805307
2-Feb-17,181.31,183.52,181.31,182.96,1535135
1-Feb-17,185.38,186.00,181.49,181.53,2925130
31-Jan-17,179.01,184.07,179.01,183.77,3403230
30-Jan-17,179.96,179.98,176.62,177.74,1716136
27-Jan-17,182.57,182.68,178.53,179.51,2194028
26-Jan-17,182.91,183.42,181.87,182.09,1891267
25-Jan-17,183.90,184.22,182.09,182.40,2063823
24-Jan-17,185.19,185.37,183.42,184.14,2315194
23-Jan-17,184.38,185.20,183.81,185.00,2150161
20-Jan-17,182.83,185.04,181.10,184.53,2673598
19-Jan-17,185.52,185.66,182.72,182.92,1939683
18-Jan-17,185.00,187.17,184.72,186.57,1330267
17-Jan-17,184.37,186.76,184.14,185.33,1888496
13-Jan-17,182.87,184.97,182.48,184.01,1740392
12-Jan-17,181.61,183.22,181.11,183.09,1243227
11-Jan-17,183.70,184.48,181.57,181.99,2151684
10-Jan-17,185.12,185.90,183.65,184.19,2666132
9-Jan-17,186.49,187.79,185.29,185.91,1953957
6-Jan-17,183.55,188.10,182.60,186.83,2251406
5-Jan-17,179.68,184.73,178.17,184.40,2186382
4-Jan-17,182.91,184.13,181.54,184.08,1991723
3-Jan-17,179.09,182.62,176.87,182.62,2751178
30-Dec-16,176.61,178.80,175.61,177.67,2285095
29-Dec-16,174.78,176.41,173.40,175.98,1472932
28-Dec-16,176.41,176.56,173.11,174.20,1290071
27-Dec-16,175.96,176.36,175.29,175.96,1041497
23-Dec-16,176.90,176.90,174.51,175.95,974142
22-Dec-16,178.00,178.84,175.02,176.24,1617991
21-Dec-16,183.28,184.44,177.86,178.17,1617074
20-Dec-16,182.57,183.63,181.40,182.98,1295157
19-Dec-16,182.54,183.80,181.34,182.63,1171262
16-Dec-16,181.45,182.87,179.82,181.29,1975409
15-Dec-16,181.39,182.18,179.45,180.00,1533699
14-Dec-16,187.16,187.60,180.99,181.28,2093425
13-Dec-16,186.91,187.69,184.06,187.43,1565996
12-Dec-16,182.97,186.38,182.72,186.12,1066934
9-Dec-16,183.75,185.16,182.78,183.43,974792
8-Dec-16,182.40,185.14,180.45,183.66,1196067
7-Dec-16,180.70,183.76,180.51,183.75,1278363
6-Dec-16,180.78,182.14,179.13,180.11,1202041
5-Dec-16,179.51,180.81,178.03,180.76,1027269
2-Dec-16,177.57,180.79,177.42,179.36,1273895
1-Dec-16,178.92,179.38,175.87,176.82,2076510
30-Nov-16,180.38,181.61,178.42,179.65,2234481
