Date,Open,High,Low,Close,Volume
28-Apr-17,134.51,134.95,133.95,134.19,1422006
27-Apr-17,134.67,135.28,134.24,135.09,839384
26-Apr-17,135.97,136.00,134.17,134.23,1110748
25-Apr-17,134.39,136.75,132.81,135.61,2012912
24-Apr-17,133.29,134.57,132.66,133.90,2049153
21-Apr-17,131.90,132.83,131.39,131.52,1274221
20-Apr-17,130.84,132.19,130.84,131.87,985392
19-Apr-17,131.08,131.18,130.31,130.57,1002204
18-Apr-17,130.13,131.10,129.78,130.52,796738
17-Apr-17,129.42,130.86,129.19,130.76,820696
13-Apr-17,128.53,129.26,128.26,128.28,610390
12-Apr-17,129.91,129.91,128.42,128.93,650093
11-Apr-17,129.46,129.61,128.51,129.20,806624
10-Apr-17,130.05,130.34,128.85,129.59,821471
7-Apr-17,129.72,130.58,129.38,130.05,976925
6-Apr-17,130.05,130.66,129.17,129.96,895809
5-Apr-17,129.46,131.64,128.50,130.17,1494262
4-Apr-17,128.87,128.98,127.60,128.82,1365385
3-Apr-17,130.48,131.72,128.66,129.35,1628138
31-Mar-17,129.16,131.52,128.88,130.74,1408046
30-Mar-17,128.32,129.50,128.05,129.40,641943
29-Mar-17,128.61,128.68,127.75,128.31,774203
28-Mar-17,128.31,129.22,127.84,128.72,774961
27-Mar-17,128.54,129.08,127.97,128.45,1147761
24-Mar-17,129.48,130.80,128.89,129.69,982362
23-Mar-17,128.54,130.04,127.88,129.15,858652
22-Mar-17,128.25,128.69,127.28,128.49,2042672
21-Mar-17,130.51,130.99,127.77,128.20,1063631
20-Mar-17,129.92,130.23,129.21,129.69,1261416
17-Mar-17,131.30,131.63,129.87,129.99,2153129
16-Mar-17,130.53,131.84,130.53,131.74,1035691
15-Mar-17,131.75,132.25,128.92,130.35,2640596
14-Mar-17,132.34,133.08,131.57,132.17,619261
13-Mar-17,132.00,132.95,131.95,132.59,871887
10-Mar-17,131.50,132.08,130.65,131.69,1166533
9-Mar-17,130.74,131.52,130.50,131.06,705320
8-Mar-17,131.06,131.29,130.34,130.58,655630
7-Mar-17,130.26,131.20,130.26,130.69,773605
6-Mar-17,129.12,130.83,129.12,130.43,796810
3-Mar-17,130.11,130.54,129.46,129.64,1239226
2-Mar-17,130.15,130.69,129.70,130.00,2024651
1-Mar-17,131.10,131.20,129.82,130.00,2468476
28-Feb-17,130.00,130.16,129.22,129.47,1432736
27-Feb-17,130.43,130.74,129.75,129.99,946656
24-Feb-17,130.02,130.96,129.50,130.82,971038
23-Feb-17,130.38,131.26,129.39,130.78,713414
22-Feb-17,129.99,130.84,129.93,130.78,906394
21-Feb-17,130.32,131.25,129.93,130.76,1273529
17-Feb-17,128.38,130.42,128.06,130.39,1339162
16-Feb-17,128.24,128.96,127.45,128.61,832139
15-Feb-17,126.52,128.68,126.30,128.33,908024
14-Feb-17,126.36,127.42,126.20,126.92,1254885
13-Feb-17,126.94,127.37,126.07,126.53,1016643
10-Feb-17,126.21,126.56,125.46,126.29,1056246
9-Feb-17,125.21,126.46,125.02,126.21,850334
8-Feb-17,126.00,126.75,124.64,125.08,917887
7-Feb-17,125.25,128.49,125.00,125.84,2341737
6-Feb-17,122.12,123.17,121.89,122.88,1164616
3-Feb-17,121.59,122.96,121.11,122.60,1118404
2-Feb-17,119.16,120.55,118.80,120.42,782877
1-Feb-17,120.67,120.81,119.07,119.57,764477
31-Jan-17,120.37,121.28,119.66,120.18,1283185
30-Jan-17,120.97,120.97,119.05,120.62,754208
27-Jan-17,121.04,121.11,120.42,120.69,718552
26-Jan-17,120.64,122.21,120.64,121.12,1495942
25-Jan-17,117.42,120.54,117.00,120.43,1502653
24-Jan-17,116.38,117.22,115.56,116.92,1100997
23-Jan-17,115.90,116.35,114.90,116.11,902982
20-Jan-17,114.85,116.16,114.41,116.00,1450517
19-Jan-17,114.24,115.27,114.23,114.40,1027572
18-Jan-17,114.42,114.62,112.94,114.40,1706817
17-Jan-17,111.94,114.40,111.94,113.94,1649427
13-Jan-17,112.92,113.61,111.96,112.42,838213
12-Jan-17,111.89,113.06,110.91,112.59,1155332
11-Jan-17,111.47,112.09,110.54,111.97,1296628
10-Jan-17,112.98,112.98,110.83,111.35,1572841
9-Jan-17,114.30,114.41,112.81,113.28,1491704
6-Jan-17,112.66,115.96,112.66,114.60,2203850
5-Jan-17,111.24,113.67,111.02,112.59,1816692
