Date,Open,High,Low,Close,Volume
28-Apr-17,85.49,85.92,84.78,85.34,797974
27-Apr-17,86.57,87.33,85.46,85.63,498254
26-Apr-17,86.71,87.35,86.29,86.54,583386
25-Apr-17,86.45,86.88,86.00,86.79,693213
24-Apr-17,86.30,86.94,85.70,86.20,1116148
21-Apr-17,85.25,85.88,85.11,85.56,727966
20-Apr-17,84.32,85.24,83.87,85.12,790629
19-Apr-17,83.54,84.12,83.22,83.82,621763
18-Apr-17,82.49,83.40,82.21,83.26,471883
17-Apr-17,82.30,83.05,81.67,82.95,514564
13-Apr-17,81.72,83.11,81.31,81.92,856037
12-Apr-17,81.62,81.76,80.85,81.27,433084
11-Apr-17,82.24,82.55,81.19,81.82,350358
10-Apr-17,81.95,82.69,81.90,82.57,417527
7-Apr-17,82.47,82.99,81.65,81.87,628894
6-Apr-17,82.41,82.99,81.83,82.51,658876
5-Apr-17,81.16,83.32,80.97,82.30,839770
4-Apr-17,81.98,82.64,80.95,81.07,470809
3-Apr-17,82.93,83.25,81.35,81.85,1022169
31-Mar-17,81.43,83.22,81.39,82.89,754850
30-Mar-17,80.43,81.47,80.35,81.36,676645
29-Mar-17,80.90,81.00,80.29,80.65,670183
28-Mar-17,81.75,81.75,80.51,81.13,550520
27-Mar-17,81.67,82.22,81.11,81.61,589739
24-Mar-17,82.24,82.44,81.70,82.05,536712
23-Mar-17,82.25,83.36,81.64,82.04,1226835
22-Mar-17,81.00,82.69,81.00,82.09,864983
21-Mar-17,83.70,83.70,81.96,82.38,1230011
20-Mar-17,84.53,84.86,83.39,83.51,866378
17-Mar-17,83.38,84.68,83.05,84.15,1067864
16-Mar-17,82.98,83.46,82.79,83.28,512462
15-Mar-17,82.25,83.51,82.00,83.03,598066
14-Mar-17,82.06,82.56,81.98,82.31,546863
13-Mar-17,81.92,82.35,81.49,82.23,806256
10-Mar-17,81.94,82.36,81.49,81.82,546254
9-Mar-17,81.74,81.92,80.88,81.76,637046
8-Mar-17,80.64,81.85,80.51,81.64,839572
7-Mar-17,81.19,82.24,80.49,80.86,1125052
6-Mar-17,80.75,80.79,79.26,79.85,785306
3-Mar-17,81.90,82.29,80.10,80.73,886794
2-Mar-17,82.53,83.11,81.65,82.13,1026427
1-Mar-17,83.30,83.44,82.57,82.64,512885
28-Feb-17,83.64,83.98,82.76,82.88,711619
27-Feb-17,83.25,83.79,82.96,83.42,753109
24-Feb-17,84.40,84.40,82.10,82.93,1021898
23-Feb-17,85.25,85.80,84.36,84.69,1111691
22-Feb-17,85.85,86.75,84.97,85.41,808928
21-Feb-17,84.79,85.89,84.50,85.76,1241613
17-Feb-17,83.18,85.29,82.79,85.15,2140505
16-Feb-17,81.46,86.77,80.87,83.35,4370541
15-Feb-17,77.25,78.31,76.80,77.39,861458
14-Feb-17,78.12,78.36,77.46,77.56,696656
13-Feb-17,76.85,78.32,76.23,78.19,986757
10-Feb-17,76.23,77.05,75.56,76.77,483274
9-Feb-17,75.71,76.56,75.40,76.18,563642
8-Feb-17,74.80,75.72,74.37,75.45,565001
7-Feb-17,75.29,76.56,74.48,74.84,898208
6-Feb-17,73.83,75.98,73.35,75.31,1539570
3-Feb-17,76.91,77.03,72.00,73.71,3443433
2-Feb-17,76.45,76.90,75.91,76.80,519146
1-Feb-17,77.11,77.59,76.06,76.48,772475
31-Jan-17,76.10,77.16,76.00,77.14,872867
30-Jan-17,77.15,78.43,76.06,76.30,1088154
27-Jan-17,80.65,80.65,77.42,77.58,1844283
26-Jan-17,81.63,81.85,80.19,80.99,590581
25-Jan-17,81.12,81.82,81.08,81.51,669217
24-Jan-17,79.99,80.94,79.64,80.90,638297
23-Jan-17,79.56,80.00,79.28,79.92,844665
20-Jan-17,79.63,80.43,79.53,80.35,696064
19-Jan-17,80.74,80.98,79.75,79.96,999738
18-Jan-17,80.49,81.16,80.08,80.51,637057
17-Jan-17,79.69,80.80,79.04,80.63,895243
13-Jan-17,79.45,80.23,79.01,79.66,440550
12-Jan-17,79.56,79.82,78.22,79.53,539069
11-Jan-17,78.19,80.34,78.05,80.16,1318437
10-Jan-17,78.85,79.27,77.71,78.04,979240
9-Jan-17,80.39,81.10,78.53,78.84,1252628
6-Jan-17,77.91,80.33,77.83,79.38,1556280
5-Jan-17,77.88,78.08,77.24,77.65,777339
4-Jan-17,75.69,78.16,75.65,77.84,1136088
3-Jan-17,77.40,77.40,75.72,75.84,917110
30-Dec-16,77.13,77.84,76.78,77.04,703338
29-Dec-16,76.20,77.04,76.17,76.86,501284
28-Dec-16,77.09,77.60,76.05,76.11,629640
27-Dec-16,77.49,77.73,77.06,77.17,741341
23-Dec-16,77.26,77.50,76.83,77.46,643591
22-Dec-16,76.54,77.45,75.87,77.28,1079561
21-Dec-16,76.64,76.99,76.20,76.51,474301
20-Dec-16,77.21,77.74,76.40,76.88,625147
19-Dec-16,77.42,77.79,76.93,77.12,1373578
16-Dec-16,77.51,77.58,76.05,77.16,4039658
15-Dec-16,75.40,77.93,75.33,77.50,1287754
14-Dec-16,76.31,76.71,75.13,75.43,910241
13-Dec-16,75.34,76.77,75.05,76.28,1203923
12-Dec-16,74.56,75.04,74.07,74.92,1148794
9-Dec-16,73.58,74.55,73.40,74.37,1453468
8-Dec-16,71.99,73.88,71.93,73.49,1650626
7-Dec-16,71.63,72.39,71.52,72.00,1719666
6-Dec-16,71.94,72.20,71.65,71.82,944175
5-Dec-16,72.62,72.85,71.59,71.61,1113887
2-Dec-16,73.51,74.07,72.13,72.49,1249527
1-Dec-16,72.97,73.60,72.96,73.44,1130628
30-Nov-16,75.63,75.63,72.97,72.97,1284246
29-Nov-16,76.07,76.54,75.42,75.83,793824
28-Nov-16,76.45,76.98,75.87,76.07,995259
25-Nov-16,75.78,76.87,75.43,76.77,450970
23-Nov-16,75.70,76.60,75.30,75.59,712365
22-Nov-16,75.72,76.12,74.66,75.63,953952
21-Nov-16,76.18,76.97,75.67,75.81,883080
18-Nov-16,75.21,76.42,74.90,76.09,1027188
17-Nov-16,74.73,75.41,74.27,75.27,720804
16-Nov-16,75.31,75.65,74.47,74.89,731475
15-Nov-16,75.05,75.35,74.02,75.21,1368657
14-Nov-16,74.91,75.70,74.57,74.88,1010989
11-Nov-16,74.66,75.24,74.55,75.00,1160562
10-Nov-16,74.20,76.06,73.50,74.72,1606555
9-Nov-16,73.09,74.48,72.20,74.08,1441944
8-Nov-16,74.26,74.63,73.38,74.23,1042559
7-Nov-16,74.02,75.00,73.30,73.91,1422252
4-Nov-16,72.85,74.10,72.59,72.64,1366221
3-Nov-16,74.33,75.35,72.89,73.05,2319210
2-Nov-16,78.04,78.25,75.92,76.03,1347297
1-Nov-16,79.92,79.95,76.88,77.87,2791028
31-Oct-16,80.30,81.24,79.16,80.09,1792981
28-Oct-16,79.80,83.10,77.08,79.73,5090734
27-Oct-16,76.73,77.30,73.54,73.96,2135918
26-Oct-16,76.04,77.61,75.75,76.57,1599186
25-Oct-16,74.16,76.02,74.03,75.90,1034141
24-Oct-16,74.78,75.39,74.00,74.47,1327711
21-Oct-16,74.37,75.09,73.78,74.78,1187737
20-Oct-16,75.40,75.40,74.12,74.68,1012210
19-Oct-16,75.00,75.46,74.69,75.05,662253
18-Oct-16,74.98,75.85,74.50,74.85,988250
17-Oct-16,75.01,75.43,73.98,74.19,1071370
14-Oct-16,74.83,75.88,74.46,75.47,977444
13-Oct-16,74.64,74.98,72.89,74.38,1839842
12-Oct-16,76.10,76.30,75.12,75.13,971655
11-Oct-16,77.18,77.26,76.00,76.16,1106796
10-Oct-16,75.36,76.99,75.36,76.86,1204008
7-Oct-16,76.52,76.52,74.95,75.10,1574872
6-Oct-16,76.91,77.12,75.31,76.40,2045763
5-Oct-16,77.45,77.96,76.50,76.58,935963
4-Oct-16,79.87,79.96,77.10,77.34,1370591
