Date,Open,High,Low,Close,Volume
28-Apr-17,135.10,136.47,135.10,136.37,1533394
27-Apr-17,136.37,136.60,135.26,135.37,995341
26-Apr-17,134.65,136.41,131.67,136.19,2316841
25-Apr-17,134.93,136.04,134.46,135.59,1481705
24-Apr-17,133.96,134.79,133.73,134.45,1300338
21-Apr-17,132.60,133.43,132.27,132.94,943088
20-Apr-17,131.81,133.03,131.20,132.76,972801
19-Apr-17,131.56,132.27,130.99,131.82,1019085
18-Apr-17,130.55,131.16,130.06,130.91,792759
17-Apr-17,130.27,131.20,130.19,130.97,1606851
13-Apr-17,130.18,130.66,129.84,129.93,758716
12-Apr-17,130.44,130.84,129.82,130.41,998502
11-Apr-17,130.45,131.18,129.94,130.59,774525
10-Apr-17,130.67,131.33,130.55,130.73,761175
7-Apr-17,130.89,131.33,130.53,130.84,867898
6-Apr-17,131.30,131.30,130.26,130.84,752546
5-Apr-17,131.21,132.26,130.94,131.18,669361
4-Apr-17,131.92,132.13,130.63,131.41,711126
3-Apr-17,131.65,132.42,130.59,131.93,998384
31-Mar-17,131.54,132.20,131.47,131.65,753836
30-Mar-17,131.70,132.51,131.51,131.95,607818
29-Mar-17,131.92,132.24,131.14,131.90,1359789
28-Mar-17,132.22,132.89,131.44,132.70,750885
27-Mar-17,132.00,132.62,131.73,132.49,698186
24-Mar-17,131.83,133.16,131.54,132.51,1236950
23-Mar-17,132.38,132.77,131.28,131.59,1247889
22-Mar-17,132.71,133.24,131.61,132.45,789748
21-Mar-17,132.78,133.59,131.41,132.38,966911
20-Mar-17,132.62,132.91,132.14,132.59,714862
17-Mar-17,131.56,133.02,131.00,132.66,2050705
16-Mar-17,132.62,132.62,130.51,131.50,1675128
15-Mar-17,131.31,132.99,131.00,132.83,1110737
14-Mar-17,130.82,131.35,130.48,130.97,1487209
13-Mar-17,130.21,131.46,129.59,131.38,1334335
10-Mar-17,130.30,130.69,129.29,130.00,1642317
9-Mar-17,129.17,130.15,129.03,129.81,1023280
8-Mar-17,129.54,129.87,128.95,129.34,651004
7-Mar-17,129.35,129.81,128.79,129.14,1724918
6-Mar-17,129.54,130.16,129.19,129.69,1373343
3-Mar-17,130.51,130.85,129.65,130.20,1133782
2-Mar-17,130.94,131.31,129.86,130.79,940446
1-Mar-17,129.35,131.36,128.78,131.05,1271982
28-Feb-17,128.74,129.20,127.19,128.56,1196762
27-Feb-17,129.00,129.66,128.41,128.58,1005613
24-Feb-17,128.56,129.30,128.29,129.27,770746
23-Feb-17,127.50,128.72,127.01,128.67,1082819
22-Feb-17,127.05,127.96,126.84,127.29,805991
21-Feb-17,126.01,127.79,126.00,127.16,1358184
17-Feb-17,125.65,126.37,125.12,126.34,863137
