Date,Open,High,Low,Close,Volume
28-Apr-17,53.28,53.28,52.67,52.87,2810104
27-Apr-17,53.22,53.71,53.15,53.43,1708850
26-Apr-17,53.20,53.46,53.08,53.21,2191906
25-Apr-17,52.95,53.20,52.82,53.13,1809023
24-Apr-17,52.58,52.92,52.47,52.86,1921521
21-Apr-17,52.42,52.59,52.20,52.20,2332155
20-Apr-17,52.12,52.56,52.00,52.45,2015255
19-Apr-17,52.48,52.60,52.10,52.11,2150472
18-Apr-17,52.02,52.61,51.96,52.40,2279002
17-Apr-17,51.96,52.20,51.88,52.12,1870653
13-Apr-17,52.18,52.32,51.90,51.90,1503882
12-Apr-17,51.79,52.30,51.66,52.21,2385912
11-Apr-17,52.00,52.19,51.88,52.08,2709870
10-Apr-17,51.70,52.29,51.59,52.03,1956990
7-Apr-17,51.66,51.88,51.55,51.79,2242063
6-Apr-17,51.58,51.83,51.47,51.64,2371399
5-Apr-17,51.54,51.98,51.46,51.56,3046999
4-Apr-17,51.60,51.70,51.40,51.61,2688627
3-Apr-17,52.06,52.11,51.49,51.69,2185902
31-Mar-17,51.94,52.17,51.91,51.92,2105992
30-Mar-17,51.70,52.26,51.63,52.02,1921531
29-Mar-17,52.06,52.08,51.61,51.81,2822700
28-Mar-17,51.92,52.32,51.67,52.20,2255327
27-Mar-17,52.58,52.69,51.78,52.04,2706846
24-Mar-17,52.65,52.93,52.42,52.81,2941903
23-Mar-17,52.43,53.01,52.23,52.65,2928855
22-Mar-17,51.84,52.56,51.67,52.53,2363873
21-Mar-17,52.05,52.24,51.76,51.80,2914516
20-Mar-17,52.69,52.84,51.97,52.12,3730365
17-Mar-17,52.45,53.02,52.14,52.74,8964737
16-Mar-17,52.43,52.56,52.09,52.31,2495935
15-Mar-17,52.02,52.69,51.89,52.58,3069169
14-Mar-17,51.87,51.90,51.42,51.87,2548510
13-Mar-17,52.05,52.20,51.50,51.88,2934086
10-Mar-17,52.73,52.80,52.09,52.16,2339020
9-Mar-17,52.35,52.64,52.13,52.42,2839040
8-Mar-17,52.12,52.55,52.10,52.33,2829209
7-Mar-17,52.15,52.53,52.14,52.30,2367548
6-Mar-17,51.87,52.21,51.78,52.16,3191105
3-Mar-17,52.62,52.70,51.87,52.19,3480792
2-Mar-17,52.88,53.17,52.69,52.78,2593507
1-Mar-17,53.11,53.30,52.60,53.15,3935790
28-Feb-17,52.76,52.98,52.62,52.72,3764065
27-Feb-17,53.05,53.22,52.76,52.85,2091111
24-Feb-17,52.86,53.39,52.83,53.20,2482177
23-Feb-17,52.84,53.02,52.62,52.89,2233169
22-Feb-17,52.60,52.79,52.53,52.75,2677372
21-Feb-17,52.51,52.87,52.51,52.81,2977188
17-Feb-17,52.37,52.61,52.04,52.35,3766874
16-Feb-17,52.74,52.79,52.42,52.63,3569573
15-Feb-17,52.61,52.86,52.22,52.75,4361148
14-Feb-17,52.70,52.82,52.43,52.73,3867358
13-Feb-17,52.62,52.94,52.54,52.81,5567075
10-Feb-17,52.19,52.70,52.02,52.62,3475869
9-Feb-17,51.75,52.26,51.75,52.25,3741782
8-Feb-17,52.05,52.13,51.67,51.83,3457911
7-Feb-17,52.20,53.02,51.83,52.23,7421343
6-Feb-17,53.20,53.21,49.90,51.20,9488311
3-Feb-17,52.59,52.86,52.21,52.54,4546646
2-Feb-17,52.47,52.70,52.18,52.38,3898465
1-Feb-17,52.18,52.63,52.04,52.05,3448755
31-Jan-17,52.73,52.96,52.41,52.46,4758170
30-Jan-17,52.69,52.92,52.45,52.74,3992394
