Date,Open,High,Low,Close,Volume
28-Apr-17,95.76,96.05,95.17,95.89,958499
27-Apr-17,96.20,96.65,95.56,95.78,1319759
26-Apr-17,96.43,96.77,95.79,95.83,972039
25-Apr-17,96.34,96.97,96.32,96.52,1215874
24-Apr-17,95.62,96.41,95.49,96.04,1185048
21-Apr-17,94.98,95.20,94.58,94.86,1807561
20-Apr-17,95.48,95.59,94.60,95.05,1607301
19-Apr-17,96.32,96.62,95.76,96.16,1473911
18-Apr-17,94.98,96.60,94.72,96.32,1176139
17-Apr-17,94.78,95.18,94.47,95.13,676050
13-Apr-17,95.50,95.61,94.56,94.56,855934
12-Apr-17,95.53,95.72,95.17,95.56,835178
11-Apr-17,95.77,95.77,94.71,95.58,1092248
10-Apr-17,95.26,96.10,95.06,95.89,827382
7-Apr-17,95.86,96.23,95.18,95.37,995676
6-Apr-17,95.62,97.00,95.60,96.00,1449565
5-Apr-17,95.46,96.24,95.11,95.46,1446521
4-Apr-17,95.28,95.75,94.60,95.59,1538493
3-Apr-17,95.98,96.27,95.18,95.46,1328255
31-Mar-17,95.35,96.18,95.20,95.71,1453659
30-Mar-17,96.21,96.56,95.50,95.57,1307644
29-Mar-17,96.17,96.74,95.74,96.66,1115744
28-Mar-17,96.25,96.57,95.49,96.30,1392545
27-Mar-17,96.59,96.98,96.14,96.46,1032123
24-Mar-17,97.29,97.73,96.74,97.02,586677
23-Mar-17,97.09,97.92,97.06,97.25,872850
22-Mar-17,98.25,98.45,97.36,97.51,887145
21-Mar-17,98.75,99.65,97.98,98.03,1820668
20-Mar-17,98.60,98.87,97.98,98.64,1303656
17-Mar-17,98.75,99.37,97.02,98.38,1612338
16-Mar-17,97.98,98.49,97.63,98.23,980333
15-Mar-17,97.14,98.33,97.00,97.90,981482
14-Mar-17,97.55,98.12,97.00,97.11,735826
13-Mar-17,96.82,97.55,96.65,97.49,1494259
10-Mar-17,97.37,97.50,96.47,97.10,854361
9-Mar-17,96.63,97.13,96.22,96.79,1298885
8-Mar-17,96.76,97.18,96.25,96.77,1952768
7-Mar-17,98.23,98.37,96.78,96.99,1546043
6-Mar-17,99.50,99.65,98.15,98.23,987212
3-Mar-17,98.35,99.86,98.26,99.85,1912114
2-Mar-17,98.97,99.54,98.41,98.49,1430743
1-Mar-17,100.47,100.89,99.61,99.66,1325826
28-Feb-17,99.79,100.70,99.05,100.39,1657121
27-Feb-17,100.70,100.85,99.32,99.52,1634084
24-Feb-17,99.80,101.17,98.92,101.02,1729522
23-Feb-17,100.00,101.18,99.86,100.05,1036330
22-Feb-17,100.15,100.81,99.76,100.22,1062457
21-Feb-17,101.14,101.91,100.29,100.53,2355679
17-Feb-17,99.92,102.14,99.63,101.59,2856531
16-Feb-17,98.81,100.33,98.52,99.80,1864863
15-Feb-17,99.00,99.35,98.32,99.03,2634823
14-Feb-17,97.17,100.10,94.12,99.50,4140293
13-Feb-17,96.39,96.56,95.67,96.21,1653209
10-Feb-17,96.67,96.94,95.87,95.95,1562382
9-Feb-17,95.71,96.92,95.34,96.67,1655168
8-Feb-17,94.91,96.72,94.65,95.62,2693851
7-Feb-17,96.40,96.62,94.51,94.89,3250780
6-Feb-17,97.13,97.13,96.21,96.48,1904311
