Date,Open,High,Low,Close,Volume
28-Apr-17,29.41,29.48,28.82,29.18,2865684
27-Apr-17,29.36,30.88,28.68,29.37,6400722
26-Apr-17,31.44,32.20,31.44,32.00,2348113
25-Apr-17,31.58,31.61,31.19,31.57,1938484
24-Apr-17,31.61,31.65,31.24,31.41,1470655
21-Apr-17,31.88,31.96,31.04,31.06,1605340
20-Apr-17,31.45,32.13,31.23,31.94,2314001
19-Apr-17,31.15,31.48,31.10,31.32,1212633
18-Apr-17,30.82,31.20,30.76,30.97,1285530
17-Apr-17,30.60,31.14,30.53,31.04,1340942
13-Apr-17,30.28,30.60,30.16,30.44,998967
12-Apr-17,30.46,30.46,30.19,30.31,911842
11-Apr-17,30.25,30.51,30.04,30.44,801680
10-Apr-17,30.29,30.51,30.20,30.41,944427
7-Apr-17,30.16,30.37,30.07,30.29,1302100
6-Apr-17,30.10,30.30,29.90,30.24,1189521
5-Apr-17,30.53,30.76,30.04,30.08,866603
4-Apr-17,30.41,30.63,30.29,30.38,640931
3-Apr-17,31.09,31.38,30.34,30.46,1055809
31-Mar-17,31.27,31.56,31.12,31.12,1221187
30-Mar-17,31.02,31.27,31.00,31.27,903717
29-Mar-17,30.67,31.02,30.53,31.02,970091
28-Mar-17,30.41,30.90,30.25,30.80,1015300
27-Mar-17,29.99,30.53,29.73,30.41,879726
24-Mar-17,30.58,30.63,30.28,30.30,2502689
23-Mar-17,30.36,30.58,30.24,30.44,770663
22-Mar-17,30.25,30.38,30.02,30.38,901415
21-Mar-17,31.16,31.36,30.23,30.27,1480711
20-Mar-17,30.80,30.99,30.62,30.94,1220793
17-Mar-17,31.37,31.40,30.76,30.76,1070212
16-Mar-17,31.27,31.51,31.07,31.20,1354605
15-Mar-17,31.11,31.20,30.76,31.07,1965996
14-Mar-17,30.95,31.15,30.58,30.97,2898593
13-Mar-17,31.35,31.46,30.94,30.99,1714720
10-Mar-17,31.44,31.57,31.12,31.38,1196283
9-Mar-17,31.15,31.15,30.92,31.11,1016592
8-Mar-17,31.13,31.23,30.97,31.00,1149910
7-Mar-17,31.12,31.41,31.04,31.09,1371753
6-Mar-17,31.19,31.40,31.02,31.26,1298803
3-Mar-17,31.14,31.64,30.97,31.46,1561609
2-Mar-17,31.27,31.46,31.03,31.09,1869719
1-Mar-17,31.47,31.68,31.32,31.43,1681177
28-Feb-17,31.27,31.41,30.84,31.10,1589661
27-Feb-17,31.20,31.44,31.13,31.36,1270939
24-Feb-17,31.11,31.34,30.93,31.28,865956
23-Feb-17,31.91,31.91,31.18,31.36,1108254
22-Feb-17,31.71,31.73,31.34,31.40,1786041
21-Feb-17,31.00,31.81,30.90,31.73,2850316
17-Feb-17,30.95,31.21,30.70,31.07,2123980
16-Feb-17,31.62,32.08,31.00,31.07,2171097
15-Feb-17,31.51,31.66,31.28,31.59,1281637
14-Feb-17,31.58,31.71,31.24,31.56,1679461
13-Feb-17,31.80,32.03,31.61,31.87,1651134
10-Feb-17,32.33,32.54,31.48,31.68,4870937
9-Feb-17,30.16,33.32,30.12,32.74,5322269
8-Feb-17,30.00,30.43,29.73,30.17,2178103
7-Feb-17,29.91,30.01,29.68,29.94,839750
6-Feb-17,29.87,30.17,29.76,29.92,880769
3-Feb-17,30.00,30.26,29.88,30.20,1382505
2-Feb-17,29.41,29.83,29.20,29.77,1422165
1-Feb-17,29.57,29.71,29.09,29.53,1189088
31-Jan-17,28.92,29.46,28.88,29.36,1829203
30-Jan-17,28.95,29.07,28.59,29.03,1429104
27-Jan-17,28.90,29.12,28.74,29.12,1132868
26-Jan-17,28.99,29.25,28.90,28.92,955892
25-Jan-17,28.87,29.18,28.57,29.16,1258424
24-Jan-17,28.54,28.91,28.42,28.64,995946
23-Jan-17,28.41,28.53,28.11,28.40,1174046
20-Jan-17,28.52,28.62,28.35,28.47,1199570
19-Jan-17,28.76,28.86,28.30,28.42,1286588
18-Jan-17,28.15,28.83,28.02,28.72,1942135
17-Jan-17,28.52,28.64,28.10,28.20,826193
13-Jan-17,28.45,28.66,28.44,28.51,628153
12-Jan-17,28.33,28.48,27.90,28.45,1199743
11-Jan-17,27.95,28.48,27.81,28.47,1303025
10-Jan-17,28.53,28.60,28.17,28.31,938144
9-Jan-17,28.90,28.90,28.44,28.53,1238788
6-Jan-17,28.48,28.76,28.29,28.75,1002555
5-Jan-17,28.42,28.78,28.16,28.34,1447976
4-Jan-17,27.67,28.66,27.62,28.64,1645616
3-Jan-17,27.33,27.91,27.14,27.58,1507592
30-Dec-16,27.30,27.30,27.08,27.17,1215353
29-Dec-16,27.06,27.26,26.92,27.25,849590
28-Dec-16,27.40,27.50,26.99,27.09,809876
27-Dec-16,27.02,27.38,27.02,27.33,542220
23-Dec-16,26.55,26.97,26.55,26.97,574939
22-Dec-16,27.32,27.38,26.64,26.70,1315665
21-Dec-16,27.60,27.66,27.16,27.32,1395189
20-Dec-16,28.14,28.26,27.46,27.57,1295122
19-Dec-16,28.30,28.40,28.01,28.04,1005314
16-Dec-16,28.15,28.54,28.10,28.23,2328771
15-Dec-16,28.51,28.72,28.14,28.15,1100227
14-Dec-16,28.51,29.00,28.34,28.54,3544845
13-Dec-16,28.32,28.68,28.18,28.62,1157452
12-Dec-16,28.49,28.65,28.09,28.29,1296527
9-Dec-16,28.73,28.80,28.34,28.60,1452035
8-Dec-16,27.89,29.07,27.72,28.75,2301422
7-Dec-16,27.39,27.94,27.04,27.89,2003899
6-Dec-16,27.20,27.56,26.87,27.41,2169345
5-Dec-16,26.66,27.33,26.50,27.23,2141131
2-Dec-16,26.32,26.77,26.27,26.45,2063759
1-Dec-16,26.91,26.91,26.37,26.42,2192188
30-Nov-16,27.42,27.49,26.85,26.85,1559353
29-Nov-16,27.48,27.52,27.11,27.20,1503081
28-Nov-16,27.23,27.63,27.23,27.54,2057656
25-Nov-16,27.39,27.45,27.14,27.35,376659
23-Nov-16,27.29,27.47,27.10,27.35,1192981
22-Nov-16,27.54,27.56,27.04,27.42,1346110
21-Nov-16,27.45,27.45,27.07,27.45,2379669
18-Nov-16,27.31,27.43,26.78,27.07,3221728
17-Nov-16,28.44,28.71,27.86,28.02,4007349
16-Nov-16,28.97,29.00,28.30,28.39,1679075
15-Nov-16,28.97,29.09,28.73,29.04,1576661
14-Nov-16,28.94,29.32,28.74,29.04,1354500
11-Nov-16,28.26,28.65,28.11,28.61,1352999
10-Nov-16,28.28,28.60,27.86,28.42,2192991
9-Nov-16,26.98,28.08,26.96,28.02,2618273
8-Nov-16,27.03,27.57,26.92,27.50,1325648
7-Nov-16,26.85,27.16,26.85,27.11,1521735
4-Nov-16,26.55,26.87,26.40,26.42,2671097
3-Nov-16,26.78,26.96,26.49,26.53,2410540
2-Nov-16,26.98,27.36,26.66,26.73,2563700
1-Nov-16,27.12,27.18,26.56,27.10,2802425
31-Oct-16,26.95,27.08,26.64,26.96,2296273
28-Oct-16,27.45,27.50,26.85,26.95,3510381
27-Oct-16,27.70,28.07,27.11,27.66,6605099
26-Oct-16,29.64,30.23,29.54,30.09,2572430
25-Oct-16,29.75,29.94,29.37,29.80,1417093
24-Oct-16,29.67,29.92,29.45,29.83,848673
21-Oct-16,29.38,29.56,29.24,29.34,1506705
20-Oct-16,29.94,30.19,29.57,29.69,1198668
19-Oct-16,29.63,30.20,29.55,30.09,991100
18-Oct-16,29.71,29.75,29.25,29.50,1276680
17-Oct-16,29.52,29.67,29.21,29.29,1025962
14-Oct-16,29.62,30.04,29.24,29.52,1590704
13-Oct-16,29.33,29.66,29.04,29.31,945705
12-Oct-16,29.68,30.05,29.46,30.00,1026129
11-Oct-16,30.39,30.49,29.63,29.79,1686755
10-Oct-16,30.50,30.76,30.50,30.63,930205
7-Oct-16,30.36,30.54,30.18,30.29,1301650
6-Oct-16,29.77,30.55,29.69,30.36,1326483
5-Oct-16,29.86,30.50,29.68,30.16,1787480
4-Oct-16,29.35,29.84,29.19,29.55,1671080
3-Oct-16,30.08,30.28,28.90,29.44,3640612
30-Sep-16,30.24,31.13,30.22,31.00,1864029
29-Sep-16,30.96,31.06,30.07,30.11,1461525
28-Sep-16,30.47,30.99,30.12,30.96,1313099
27-Sep-16,30.15,30.73,30.15,30.40,921033
26-Sep-16,30.50,30.75,30.39,30.48,856626
23-Sep-16,30.42,31.13,30.41,30.72,1302510
22-Sep-16,30.80,30.80,30.51,30.56,659163
21-Sep-16,30.16,30.41,29.97,30.34,1174526
20-Sep-16,30.30,30.46,29.87,29.88,920380
19-Sep-16,29.90,30.33,29.90,30.07,1120073
16-Sep-16,29.82,29.89,29.37,29.63,2333546
15-Sep-16,29.56,30.27,29.35,30.03,1322862
14-Sep-16,29.64,29.78,29.21,29.57,1435175
13-Sep-16,30.21,30.35,29.31,29.46,1559256
12-Sep-16,29.47,30.43,29.40,30.37,1756593
9-Sep-16,30.81,31.10,29.79,29.79,2078918
8-Sep-16,31.13,31.44,31.00,31.11,1441599
