Date,Open,High,Low,Close,Volume
28-Apr-17,77.22,77.72,76.67,77.37,1416409
27-Apr-17,77.42,77.91,76.75,76.99,1729985
26-Apr-17,79.21,79.69,76.17,76.65,2649485
25-Apr-17,74.77,75.80,74.75,75.60,2928688
24-Apr-17,74.82,75.25,74.47,75.21,1898748
21-Apr-17,73.54,73.84,72.95,73.61,2348244
20-Apr-17,73.51,74.34,73.14,74.12,978334
19-Apr-17,73.49,73.98,73.01,73.18,1060095
18-Apr-17,72.52,73.21,72.44,73.08,1007419
17-Apr-17,72.22,72.78,72.06,72.77,1096840
13-Apr-17,72.27,72.74,71.93,71.93,782394
12-Apr-17,73.00,73.15,72.21,72.42,1236145
11-Apr-17,73.39,73.50,72.44,73.29,1189472
10-Apr-17,72.93,73.86,72.91,73.50,1674150
7-Apr-17,72.95,73.22,72.64,72.99,1254688
6-Apr-17,72.92,73.52,72.51,73.11,1260185
5-Apr-17,73.89,74.36,72.73,72.86,1537784
4-Apr-17,73.61,73.86,73.10,73.45,1873175
3-Apr-17,74.67,74.87,73.06,73.67,2065557
31-Mar-17,74.64,74.87,74.44,74.55,1627623
30-Mar-17,74.48,74.99,74.35,74.87,1427495
29-Mar-17,74.88,75.12,74.53,74.57,989362
28-Mar-17,74.34,75.37,74.05,75.03,1321667
27-Mar-17,73.45,74.72,73.14,74.46,1417466
24-Mar-17,74.74,75.20,74.03,74.32,963770
23-Mar-17,74.40,75.20,74.04,74.42,2144432
22-Mar-17,73.64,74.60,73.46,74.49,3167557
21-Mar-17,76.02,76.19,73.51,73.60,2233348
20-Mar-17,76.23,76.23,75.66,75.73,1489965
17-Mar-17,76.38,76.38,75.75,76.13,1716957
16-Mar-17,76.77,76.77,76.02,76.11,1041738
15-Mar-17,75.50,76.73,75.33,76.53,1835323
14-Mar-17,74.80,74.96,74.09,74.83,903940
13-Mar-17,74.64,75.33,74.45,75.14,2137623
10-Mar-17,74.12,75.11,74.12,74.61,1427878
9-Mar-17,74.39,74.78,74.00,74.29,1091651
8-Mar-17,74.46,74.81,74.30,74.55,1073063
7-Mar-17,74.38,74.59,73.64,74.36,1553373
6-Mar-17,74.74,74.79,73.48,74.16,2120382
3-Mar-17,75.56,75.60,75.07,75.52,1362446
2-Mar-17,76.00,76.27,75.36,75.53,1210702
1-Mar-17,74.68,76.30,74.68,76.13,1825470
28-Feb-17,74.74,74.86,74.17,74.47,1958467
27-Feb-17,74.30,74.83,74.12,74.79,1112232
24-Feb-17,74.00,74.30,73.64,74.30,2099045
23-Feb-17,75.46,75.56,73.96,74.21,2011068
22-Feb-17,75.38,75.55,74.74,75.27,1780126
21-Feb-17,75.50,75.88,75.33,75.73,1386328
17-Feb-17,75.03,75.21,74.47,75.21,1547593
16-Feb-17,75.63,76.00,74.91,75.23,1461359
15-Feb-17,75.51,76.14,75.24,75.58,1553857
14-Feb-17,75.20,75.47,74.98,75.42,1302109
13-Feb-17,75.29,75.76,75.22,75.44,1268763
10-Feb-17,75.46,75.77,74.89,75.11,1914501
9-Feb-17,75.21,75.69,75.14,75.31,2247196
8-Feb-17,75.41,75.61,74.73,74.88,1654680
7-Feb-17,75.95,76.49,75.62,75.71,2229407
6-Feb-17,75.29,75.70,74.94,75.51,1860576
3-Feb-17,74.65,75.48,74.65,75.38,1637775
2-Feb-17,74.30,74.68,73.90,74.51,1333072
1-Feb-17,74.91,75.13,73.65,74.62,1613900
31-Jan-17,74.26,74.44,73.44,74.35,1455310
30-Jan-17,74.12,74.28,72.72,74.26,1312392
27-Jan-17,74.13,74.93,74.01,74.50,1379949
26-Jan-17,75.29,75.55,74.59,74.73,2554235
25-Jan-17,74.18,76.46,74.18,75.17,2854523
24-Jan-17,70.78,72.71,70.58,71.68,3670944
23-Jan-17,69.72,70.68,69.43,70.52,2798375
20-Jan-17,69.84,70.26,69.41,69.92,1528355
19-Jan-17,69.82,70.33,69.30,69.60,1050221
18-Jan-17,69.41,69.97,69.22,69.82,1130029
17-Jan-17,69.10,69.78,68.82,69.13,1224889
13-Jan-17,69.13,69.85,69.13,69.61,931765
12-Jan-17,68.66,69.21,67.80,69.15,1582338
11-Jan-17,67.51,68.53,67.47,68.52,2437522
10-Jan-17,67.47,68.00,67.46,67.60,1258793
9-Jan-17,68.26,68.39,66.20,67.31,2795561
6-Jan-17,68.11,68.61,67.72,68.30,1178469
5-Jan-17,68.72,68.97,67.76,67.84,1491317
4-Jan-17,67.80,69.14,67.71,68.67,2208860
3-Jan-17,69.60,69.90,68.46,68.96,1942009
30-Dec-16,70.27,70.52,69.00,69.28,1146257
29-Dec-16,69.99,70.44,69.69,70.05,566430
28-Dec-16,70.75,70.78,69.89,70.00,888956
27-Dec-16,70.84,71.03,70.38,70.55,886716
23-Dec-16,70.72,70.79,70.32,70.62,506166
22-Dec-16,70.59,70.76,69.97,70.60,979493
21-Dec-16,70.87,71.21,70.65,70.66,633651
20-Dec-16,70.74,70.97,70.12,70.83,756364
19-Dec-16,69.98,70.58,69.82,70.44,1099381
16-Dec-16,70.86,70.89,69.66,69.74,1954107
15-Dec-16,70.48,71.08,69.98,70.69,954134
14-Dec-16,71.44,71.87,70.50,70.62,1074634
13-Dec-16,71.18,71.82,70.91,71.60,1281658
12-Dec-16,70.74,71.23,70.50,70.87,967893
9-Dec-16,70.74,70.98,70.29,70.75,819379
8-Dec-16,70.41,70.74,70.21,70.60,1192071
7-Dec-16,69.05,70.55,68.84,70.46,1732894
6-Dec-16,69.59,69.88,68.75,69.04,3723520
5-Dec-16,68.16,69.64,67.90,69.39,2999238
2-Dec-16,66.98,67.69,66.88,67.58,924081
1-Dec-16,67.52,67.88,66.53,66.85,1555168
30-Nov-16,67.83,69.40,67.34,67.64,1780315
29-Nov-16,67.64,67.93,67.13,67.22,1355852
28-Nov-16,67.63,68.14,67.60,67.70,1123539
25-Nov-16,67.66,68.00,67.32,68.00,434483
23-Nov-16,66.81,67.37,66.67,67.35,1112829
22-Nov-16,66.17,67.00,66.14,66.92,1258110
21-Nov-16,67.00,67.31,66.54,66.75,1092380
18-Nov-16,67.07,67.08,66.51,66.67,1077324
17-Nov-16,66.81,67.30,66.46,67.17,1169402
16-Nov-16,66.90,67.35,66.48,66.82,1360151
15-Nov-16,66.87,67.43,66.47,67.25,1705133
14-Nov-16,67.10,67.50,66.45,66.74,2098334
11-Nov-16,66.41,67.01,66.13,66.90,1428561
10-Nov-16,66.37,67.44,66.11,66.77,1678237
9-Nov-16,64.32,66.24,63.43,65.95,1829764
8-Nov-16,64.50,65.61,64.46,65.35,1134420
7-Nov-16,63.38,64.74,63.32,64.71,1194719
4-Nov-16,62.41,63.12,62.22,62.63,808687
3-Nov-16,62.92,63.44,62.29,62.41,1477445
2-Nov-16,64.24,65.48,62.87,62.92,2704277
1-Nov-16,63.05,63.50,62.54,63.29,2895729
31-Oct-16,62.64,62.96,62.25,62.87,1517296
28-Oct-16,62.26,62.86,62.05,62.36,931046
27-Oct-16,62.91,63.20,62.03,62.14,1022774
26-Oct-16,61.73,63.27,61.54,62.79,1263107
25-Oct-16,62.64,62.76,61.30,61.90,1487130
24-Oct-16,62.32,62.88,62.32,62.82,1220773
21-Oct-16,61.55,62.04,61.07,61.78,933624
20-Oct-16,61.90,62.15,61.54,62.05,831424
19-Oct-16,61.45,62.17,61.04,61.97,950918
18-Oct-16,61.68,61.79,61.08,61.29,1180313
17-Oct-16,61.14,61.35,60.88,61.03,1020780
14-Oct-16,61.79,62.10,61.07,61.11,968462
13-Oct-16,61.64,61.78,60.59,61.35,1047726
12-Oct-16,62.68,62.93,62.07,62.19,904349
11-Oct-16,63.65,63.92,62.50,62.75,1159284
10-Oct-16,64.24,64.63,63.73,63.76,578489
7-Oct-16,64.66,64.74,63.63,63.92,1285497
6-Oct-16,64.44,64.92,63.97,64.79,1270899
5-Oct-16,64.11,64.98,63.83,64.65,1266819
4-Oct-16,63.67,64.46,63.39,63.75,1089207
3-Oct-16,64.17,64.35,63.48,63.59,1173350
30-Sep-16,63.68,64.60,63.53,64.38,1601957
29-Sep-16,63.94,64.44,63.19,63.31,1025543
28-Sep-16,64.69,64.86,63.94,64.31,961821
27-Sep-16,63.48,64.55,63.14,64.54,1179422
26-Sep-16,63.52,63.87,63.33,63.49,906235
23-Sep-16,64.17,64.21,63.80,63.88,1235641
22-Sep-16,64.07,64.54,63.99,64.41,1944037
21-Sep-16,63.30,64.00,62.93,63.91,1851185
20-Sep-16,62.59,63.12,62.43,62.95,2476912
19-Sep-16,61.91,62.68,61.80,62.29,1730822
16-Sep-16,61.54,61.70,60.96,61.50,1927278
15-Sep-16,60.81,62.00,60.77,61.89,1220758
14-Sep-16,60.81,61.33,60.60,60.82,1258646
13-Sep-16,61.21,61.67,60.60,60.86,1283815
12-Sep-16,60.61,61.86,60.38,61.62,1243269
9-Sep-16,62.24,62.42,60.78,60.98,1498158
8-Sep-16,62.99,63.05,62.67,62.77,1359372
7-Sep-16,62.80,63.25,62.75,63.25,1429532
6-Sep-16,63.56,63.56,62.57,62.72,1632422
2-Sep-16,63.50,63.75,63.28,63.64,943793
1-Sep-16,63.28,63.75,62.79,63.18,1242842
31-Aug-16,63.36,63.64,63.18,63.57,1768084
30-Aug-16,63.49,64.02,63.30,63.44,1713255
29-Aug-16,63.46,63.90,63.25,63.40,1193760
26-Aug-16,63.50,64.15,63.28,63.54,1644490
25-Aug-16,62.93,63.41,62.75,63.33,1663827
24-Aug-16,62.96,63.39,62.91,63.10,2296966
23-Aug-16,63.20,63.50,63.10,63.28,1629490
22-Aug-16,62.49,62.93,62.23,62.90,1934846
19-Aug-16,61.55,62.91,61.46,62.86,2042330
18-Aug-16,61.43,61.84,61.22,61.82,1481316
17-Aug-16,60.83,61.56,60.52,61.43,1465603
16-Aug-16,61.22,61.22,60.60,60.71,1161872
15-Aug-16,60.08,61.46,60.08,61.21,1197690
12-Aug-16,60.02,60.15,59.62,59.99,778935
11-Aug-16,59.85,60.28,59.73,60.07,1493302
10-Aug-16,59.60,59.83,59.37,59.73,1518844
9-Aug-16,59.25,59.52,59.04,59.46,1353895
8-Aug-16,59.21,59.51,58.91,59.14,978557
5-Aug-16,58.49,59.05,58.33,58.98,1693420
4-Aug-16,58.33,58.57,58.00,58.13,988242
3-Aug-16,58.14,58.56,58.06,58.30,1789511
2-Aug-16,60.03,60.11,57.85,58.05,2210919
1-Aug-16,60.36,60.64,60.02,60.12,1161918
29-Jul-16,60.56,60.76,60.00,60.28,2034870
28-Jul-16,61.15,61.32,60.28,60.55,1255076
27-Jul-16,61.68,61.96,61.06,61.29,1205825
26-Jul-16,61.44,61.70,61.07,61.41,1493985
25-Jul-16,61.29,61.62,61.17,61.33,1465388
22-Jul-16,61.51,61.65,61.03,61.27,1584085
21-Jul-16,61.71,62.17,61.24,61.54,1916995
20-Jul-16,59.03,62.14,59.03,61.87,2489324
19-Jul-16,59.64,59.98,59.34,59.59,2226749
18-Jul-16,59.84,60.37,59.66,59.71,1691205
15-Jul-16,60.05,60.16,59.57,60.06,1294215
14-Jul-16,59.61,59.79,59.16,59.58,1598933
13-Jul-16,59.37,59.41,58.75,59.00,1707002
12-Jul-16,58.56,59.36,58.48,59.19,1389721
11-Jul-16,57.83,58.41,57.63,58.21,1242479
8-Jul-16,56.68,57.75,56.53,57.53,1496000
7-Jul-16,55.60,56.64,55.60,56.42,1490706
6-Jul-16,55.47,55.72,54.78,55.52,1641480
5-Jul-16,56.42,56.49,55.46,55.75,1551088
1-Jul-16,57.11,57.51,56.76,56.82,1631648
30-Jun-16,56.20,57.11,55.90,57.11,2122013
29-Jun-16,55.80,56.40,55.33,56.09,2040370
28-Jun-16,55.45,55.68,54.89,55.31,2071540
27-Jun-16,56.67,56.74,54.54,54.83,3375149
24-Jun-16,59.96,60.71,57.27,57.32,4832131
23-Jun-16,62.61,63.00,62.30,63.00,1056988
22-Jun-16,61.71,62.33,61.52,61.94,1300683
21-Jun-16,61.58,61.83,61.25,61.77,1374193
20-Jun-16,61.44,62.22,61.30,61.49,1326992
17-Jun-16,60.35,60.72,60.03,60.62,3253531
16-Jun-16,59.72,60.39,59.37,60.28,1251427
15-Jun-16,60.55,60.74,60.10,60.14,1188878
14-Jun-16,60.28,60.67,60.12,60.40,1184602
13-Jun-16,61.26,61.54,60.51,60.53,1260084
10-Jun-16,61.68,61.84,61.17,61.37,1133969
9-Jun-16,62.20,62.62,61.99,62.27,1324396
8-Jun-16,62.04,62.60,61.78,62.47,1678923
7-Jun-16,61.09,62.17,61.00,62.07,2292319
6-Jun-16,60.50,61.04,60.11,60.94,1485853
3-Jun-16,59.96,60.38,59.58,60.26,1430354
2-Jun-16,59.56,60.22,59.56,60.17,1184075
1-Jun-16,59.75,60.17,58.83,59.61,2448192
31-May-16,59.57,60.09,59.46,60.00,2299908
27-May-16,59.35,59.65,58.97,59.64,957401
26-May-16,58.96,59.31,58.72,59.16,1194503
25-May-16,58.82,59.18,58.45,59.03,1399559
24-May-16,58.18,59.14,57.80,59.05,1522917
23-May-16,57.99,58.02,57.59,57.92,1633567
20-May-16,57.94,58.34,57.68,57.83,2110853
19-May-16,57.84,58.32,57.44,57.75,1395711
18-May-16,58.19,58.77,57.83,58.20,1208211
17-May-16,58.28,58.66,57.90,58.29,1931494
16-May-16,57.67,58.73,57.52,58.38,1495512
13-May-16,58.61,59.09,57.70,57.74,1326155
12-May-16,59.25,59.27,58.29,58.72,1669648
11-May-16,59.13,59.62,58.91,58.96,997211
10-May-16,59.22,59.70,58.96,59.40,1509199
9-May-16,58.43,59.44,58.43,58.94,1523774
6-May-16,59.02,59.48,58.64,59.33,1969868
5-May-16,59.42,59.85,58.98,59.39,1676340
4-May-16,59.43,60.03,59.00,59.34,3433615
3-May-16,59.49,60.13,59.12,59.75,2183594
2-May-16,59.47,59.89,59.07,59.80,1251322
29-Apr-16,60.00,60.00,58.96,59.48,1587329
28-Apr-16,60.47,60.86,59.97,60.12,1337702
27-Apr-16,60.57,61.17,60.45,60.95,1486214
