Date,Open,High,Low,Close,Volume
28-Apr-17,56.08,56.08,55.36,55.85,8427968
27-Apr-17,55.98,56.17,55.68,56.09,3881204
26-Apr-17,55.37,56.29,55.21,55.98,6273452
25-Apr-17,54.90,55.16,54.80,55.15,4096700
24-Apr-17,55.16,55.29,54.42,54.82,5717874
21-Apr-17,54.54,55.12,54.54,54.78,5948272
20-Apr-17,54.21,54.88,54.11,54.64,5843205
19-Apr-17,53.79,54.38,53.71,53.89,5419567
18-Apr-17,53.60,53.82,53.42,53.60,4371044
17-Apr-17,53.36,53.68,53.10,53.68,4702403
13-Apr-17,53.49,53.64,53.29,53.39,5087402
12-Apr-17,53.36,53.53,53.19,53.40,4534822
11-Apr-17,53.81,53.90,53.14,53.71,4917545
10-Apr-17,53.48,54.34,53.40,53.79,4978139
7-Apr-17,53.47,53.79,52.97,53.24,5782100
6-Apr-17,53.16,54.13,53.07,53.57,8672416
5-Apr-17,53.55,53.84,52.72,52.75,6810845
4-Apr-17,53.82,53.99,52.98,53.43,6578316
3-Apr-17,55.22,55.23,53.85,54.03,6970903
31-Mar-17,55.20,55.77,55.13,55.19,7457846
30-Mar-17,55.06,55.41,54.87,55.25,4870217
29-Mar-17,53.65,55.58,53.55,55.15,9848633
28-Mar-17,53.19,53.68,53.18,53.60,4395777
27-Mar-17,53.00,53.74,52.85,53.33,7644406
24-Mar-17,53.25,53.34,52.91,53.12,4351791
23-Mar-17,53.48,53.64,53.05,53.14,5722368
22-Mar-17,53.35,53.67,52.77,53.58,5868981
21-Mar-17,54.41,54.46,53.22,53.39,9146733
20-Mar-17,54.55,54.64,53.94,54.37,9163965
17-Mar-17,54.70,54.78,54.29,54.29,14193773
16-Mar-17,54.40,54.95,54.25,54.59,6354148
15-Mar-17,54.60,54.71,54.12,54.57,8525531
14-Mar-17,55.20,55.37,54.68,54.75,6000109
13-Mar-17,55.38,55.61,54.84,55.19,7522155
10-Mar-17,55.35,55.88,55.05,55.36,7591344
9-Mar-17,55.00,55.35,54.41,55.20,10878125
8-Mar-17,55.44,55.55,55.00,55.02,9417328
7-Mar-17,56.10,56.43,55.05,55.14,13236473
6-Mar-17,57.30,57.35,56.00,56.10,11313404
3-Mar-17,58.24,58.28,57.09,57.35,9081381
2-Mar-17,58.00,58.52,57.75,57.95,10976567
1-Mar-17,58.78,59.33,57.35,57.83,22807965
28-Feb-17,57.41,59.67,57.30,58.77,45305358
27-Feb-17,66.39,67.08,66.23,66.91,6839214
24-Feb-17,65.26,66.64,64.93,66.51,6909008
23-Feb-17,66.04,66.15,64.87,64.98,4867949
22-Feb-17,66.06,66.28,65.60,65.94,3029411
21-Feb-17,66.26,66.39,65.79,66.21,4838643
17-Feb-17,65.24,65.90,64.92,65.79,4235409
16-Feb-17,65.77,65.85,65.03,65.20,3324994
15-Feb-17,65.50,65.95,65.24,65.75,3974019
14-Feb-17,64.52,65.66,64.52,65.65,5117112
13-Feb-17,65.62,65.70,64.53,64.81,4218239
10-Feb-17,66.51,66.96,65.22,65.73,5520829
9-Feb-17,64.75,66.54,64.61,66.41,7754811
8-Feb-17,63.51,64.91,63.38,64.77,4510987
7-Feb-17,63.88,64.16,63.45,63.57,4256011
6-Feb-17,63.77,63.95,63.36,63.42,6003260
3-Feb-17,63.86,64.35,63.52,63.75,4965670
2-Feb-17,63.91,64.17,63.66,63.68,5518350
1-Feb-17,63.98,64.16,63.46,63.67,5307383
31-Jan-17,63.80,64.50,63.45,64.48,5735135
30-Jan-17,63.70,64.14,63.49,64.12,5220543
27-Jan-17,64.55,64.77,62.94,63.70,7471961
26-Jan-17,64.85,64.91,64.12,64.17,4393109
25-Jan-17,64.73,65.16,64.66,65.00,5702524
24-Jan-17,63.85,64.42,63.60,64.41,6084409
23-Jan-17,64.07,64.55,63.55,63.85,7908974
20-Jan-17,65.39,65.41,63.78,64.10,12983487
19-Jan-17,66.33,66.88,65.06,65.39,12274917
18-Jan-17,68.00,68.00,66.35,66.85,19063189
