Date,Open,High,Low,Close,Volume
28-Apr-17,78.93,78.95,78.06,78.64,2709615
27-Apr-17,78.95,79.10,78.48,78.97,2299233
26-Apr-17,78.96,79.48,78.66,78.92,2202043
25-Apr-17,78.71,78.96,78.27,78.78,2272592
24-Apr-17,79.13,79.24,78.20,78.62,2414661
21-Apr-17,78.13,78.59,77.93,78.56,3052180
20-Apr-17,77.17,78.33,77.16,78.17,3154177
19-Apr-17,77.14,77.24,76.74,76.90,2017688
18-Apr-17,76.50,77.19,76.26,76.84,2172298
17-Apr-17,77.08,77.18,76.19,76.48,2530132
13-Apr-17,77.02,77.37,76.77,76.81,2853470
12-Apr-17,77.21,77.21,76.61,77.09,3941093
11-Apr-17,75.97,77.01,75.81,76.99,4275029
10-Apr-17,76.10,76.82,75.80,76.02,3126029
7-Apr-17,76.62,76.79,76.08,76.09,3594877
6-Apr-17,76.40,77.38,76.35,76.80,3772170
5-Apr-17,76.80,77.06,75.81,75.93,4776422
4-Apr-17,78.31,78.33,76.62,76.71,5425019
3-Apr-17,79.29,79.36,78.13,78.33,3539936
31-Mar-17,79.64,79.97,79.02,79.08,2715696
30-Mar-17,79.45,79.84,79.34,79.77,1881093
29-Mar-17,78.81,79.96,78.54,79.68,3238322
28-Mar-17,78.27,78.89,78.16,78.71,4676548
27-Mar-17,77.84,78.49,77.64,78.35,3102691
24-Mar-17,78.27,78.62,77.91,78.43,2806106
23-Mar-17,78.73,79.08,78.28,78.43,2752222
22-Mar-17,78.05,78.74,77.69,78.64,2501667
21-Mar-17,78.50,78.72,77.67,78.09,2943831
20-Mar-17,79.21,79.22,77.92,78.18,3952654
17-Mar-17,79.61,79.64,78.76,79.22,5111731
16-Mar-17,79.50,79.65,78.96,79.22,3839726
15-Mar-17,78.25,79.32,78.17,79.18,3269054
14-Mar-17,78.26,78.64,78.02,78.28,2383810
13-Mar-17,77.99,78.47,77.61,78.06,2469176
10-Mar-17,78.29,78.42,77.06,78.18,2967991
9-Mar-17,78.36,78.55,77.84,77.94,2829815
8-Mar-17,78.22,78.86,78.13,78.45,3188949
7-Mar-17,78.37,79.00,78.22,78.30,3182172
6-Mar-17,78.51,78.96,78.36,78.60,2836186
3-Mar-17,79.10,79.27,78.41,78.82,2925907
2-Mar-17,78.28,79.72,78.11,79.39,3925739
1-Mar-17,78.98,79.00,77.88,78.45,6436549
28-Feb-17,78.23,78.67,77.54,78.45,6259358
27-Feb-17,78.25,78.87,78.16,78.62,4433089
