Date,Open,High,Low,Close,Volume
28-Apr-17,70.54,70.92,70.17,70.89,2921311
27-Apr-17,70.51,70.68,70.01,70.52,1228539
26-Apr-17,69.50,70.68,69.44,70.16,2231578
25-Apr-17,71.00,71.01,69.08,69.59,4254258
24-Apr-17,72.97,73.09,72.49,72.63,1901315
21-Apr-17,72.38,72.51,71.56,71.79,1145070
20-Apr-17,72.31,72.51,71.65,72.30,2112488
19-Apr-17,71.59,72.15,71.39,71.80,1973123
18-Apr-17,70.99,72.02,70.94,71.26,1308046
17-Apr-17,70.49,71.51,70.30,71.47,1581587
13-Apr-17,70.31,71.04,69.88,70.26,1744344
12-Apr-17,69.70,71.17,69.70,70.45,2266364
11-Apr-17,70.00,70.16,69.01,69.99,2722649
10-Apr-17,69.78,70.82,69.50,70.26,4491836
7-Apr-17,69.18,70.05,68.84,69.70,1695269
6-Apr-17,68.96,69.66,68.52,69.33,1931106
5-Apr-17,68.70,69.65,68.44,68.85,2181382
4-Apr-17,67.86,68.29,67.69,68.26,1582671
3-Apr-17,68.25,68.58,67.60,68.20,3137644
31-Mar-17,68.06,68.30,67.77,68.15,3138292
30-Mar-17,67.96,68.58,67.81,68.21,3177294
29-Mar-17,68.07,68.27,67.37,67.92,1835480
28-Mar-17,67.49,68.79,67.32,68.39,2055995
27-Mar-17,67.17,67.94,66.70,67.63,1211386
24-Mar-17,68.42,68.56,67.59,67.83,1358227
23-Mar-17,68.71,69.29,68.14,68.20,1724850
22-Mar-17,68.40,68.91,67.87,68.79,1748566
21-Mar-17,69.73,69.76,68.01,68.60,2082301
20-Mar-17,69.36,69.60,68.81,69.26,1458382
17-Mar-17,71.31,71.50,69.33,69.36,4421453
16-Mar-17,71.96,72.42,71.81,71.94,1557817
15-Mar-17,71.39,71.98,71.27,71.75,1696770
14-Mar-17,71.01,71.45,70.69,71.18,1296300
13-Mar-17,71.35,72.08,71.23,71.90,1200230
10-Mar-17,71.22,71.56,70.99,71.35,1272763
9-Mar-17,71.59,71.79,70.64,70.72,1729262
8-Mar-17,71.25,71.92,71.21,71.30,1018286
7-Mar-17,71.05,71.25,70.71,70.90,896507
6-Mar-17,71.09,71.57,70.78,71.07,1064867
3-Mar-17,71.83,72.30,71.01,71.31,1523160
2-Mar-17,72.55,72.60,71.71,71.71,1633363
1-Mar-17,72.00,72.66,71.63,72.53,2321957
28-Feb-17,71.89,72.30,70.77,71.21,2616627
27-Feb-17,71.95,72.50,71.86,72.08,1089541
24-Feb-17,71.56,71.96,71.24,71.95,1018776
23-Feb-17,71.75,71.97,71.43,71.96,1667989
22-Feb-17,70.81,71.48,70.81,71.46,1202785
21-Feb-17,71.43,71.65,70.90,71.20,1415143
17-Feb-17,70.75,71.11,70.31,71.10,1261032
16-Feb-17,71.00,71.78,71.00,71.32,1419464
15-Feb-17,69.91,71.65,69.70,71.55,2266420
14-Feb-17,69.65,70.08,69.44,69.86,1780211
13-Feb-17,69.71,70.00,69.01,69.82,2018137
10-Feb-17,68.63,69.40,68.50,69.40,2106574
9-Feb-17,68.03,68.68,67.58,68.45,1744563
8-Feb-17,67.50,67.89,67.32,67.57,1912878
7-Feb-17,67.56,67.84,67.18,67.55,1446298
6-Feb-17,66.70,68.00,66.70,67.33,1867728
3-Feb-17,67.23,68.27,67.01,67.71,2869393
2-Feb-17,66.60,66.80,65.33,66.45,3702355
1-Feb-17,68.09,68.43,66.59,66.77,2988044
31-Jan-17,67.64,68.04,67.17,67.44,3669229
30-Jan-17,69.15,69.28,67.70,67.96,3038561
27-Jan-17,69.82,69.90,67.81,69.39,4582104
26-Jan-17,71.91,72.61,68.09,70.26,7648931
25-Jan-17,74.36,74.56,73.52,74.18,1894336
24-Jan-17,73.49,74.08,73.11,73.84,1196467
23-Jan-17,73.35,73.62,72.83,73.45,1342677
20-Jan-17,72.87,73.70,72.39,73.70,1782593
19-Jan-17,73.49,73.49,72.42,72.75,1665166
18-Jan-17,73.23,73.34,72.60,73.29,1825221
17-Jan-17,73.15,73.43,72.64,73.05,1764236
13-Jan-17,73.83,74.43,73.47,73.68,876183
12-Jan-17,73.64,73.85,72.40,73.53,1195120
11-Jan-17,73.51,74.02,73.09,74.02,1438578
10-Jan-17,72.88,73.93,72.03,73.48,2469172
9-Jan-17,75.29,75.66,72.59,72.83,3979390
6-Jan-17,76.49,76.76,75.37,75.62,1667142
5-Jan-17,76.87,76.87,75.23,76.37,1033820
4-Jan-17,76.20,77.08,75.85,76.97,1281912
3-Jan-17,76.34,76.77,75.46,75.84,1664410
30-Dec-16,75.95,76.08,74.93,75.26,1309986
29-Dec-16,76.05,76.46,75.38,75.54,869899
28-Dec-16,77.10,77.10,76.00,76.07,557337
27-Dec-16,76.89,77.00,76.50,76.90,499406
23-Dec-16,76.45,76.78,76.03,76.59,765242
22-Dec-16,77.53,77.70,76.51,76.57,1752831
21-Dec-16,77.47,77.70,77.13,77.42,1042540
20-Dec-16,77.20,77.71,76.76,77.67,1473705
19-Dec-16,76.56,76.78,75.88,76.63,1267256
16-Dec-16,76.01,76.90,75.97,76.76,3524561
15-Dec-16,76.08,76.80,75.57,76.00,1052840
14-Dec-16,76.19,77.00,75.60,75.71,1603725
