Date,Open,High,Low,Close,Volume
28-Apr-17,122.17,122.36,121.51,121.66,1290210
27-Apr-17,122.11,122.44,121.62,122.16,1658222
26-Apr-17,121.46,122.99,121.40,122.01,2433209
25-Apr-17,121.13,121.70,120.92,121.32,1763313
24-Apr-17,120.96,121.38,119.76,120.57,1957578
21-Apr-17,119.55,119.55,118.52,119.10,2100677
20-Apr-17,118.06,119.41,117.34,118.88,3559875
19-Apr-17,121.26,121.41,119.95,120.40,1051487
18-Apr-17,121.43,121.63,120.51,120.75,1086510
17-Apr-17,121.22,121.94,120.74,121.92,874413
13-Apr-17,121.15,121.44,120.36,120.53,1062320
12-Apr-17,121.07,121.63,120.52,121.46,1352865
11-Apr-17,120.67,121.37,120.38,121.19,1262552
10-Apr-17,120.03,121.42,120.01,121.11,997568
7-Apr-17,120.00,120.78,119.80,120.15,1063596
6-Apr-17,121.00,121.07,120.19,120.54,1226491
5-Apr-17,120.98,121.54,120.55,120.91,1284644
4-Apr-17,120.64,120.79,120.20,120.61,901835
3-Apr-17,120.57,120.80,119.80,120.38,1135511
31-Mar-17,120.93,121.00,120.17,120.54,1114709
30-Mar-17,120.36,121.26,120.36,121.03,1093148
29-Mar-17,121.51,121.58,120.50,120.53,1133677
28-Mar-17,120.76,121.89,120.44,121.80,1187291
27-Mar-17,120.17,121.11,120.01,121.01,1087729
24-Mar-17,121.38,121.41,120.24,120.77,1334242
23-Mar-17,121.64,122.28,121.13,121.29,1054211
22-Mar-17,121.92,122.18,121.17,122.03,996369
21-Mar-17,122.79,122.85,121.40,121.69,1240214
20-Mar-17,122.98,122.98,122.01,122.36,1485856
17-Mar-17,122.95,123.17,122.17,123.14,3103637
16-Mar-17,122.98,123.52,122.28,122.74,1166606
15-Mar-17,123.00,123.15,122.31,122.99,1117836
14-Mar-17,121.77,122.85,121.75,122.62,903619
13-Mar-17,122.54,122.92,121.81,122.15,1069149
10-Mar-17,122.32,122.86,121.75,122.83,1281900
9-Mar-17,121.65,122.30,121.36,121.90,1707311
8-Mar-17,122.35,122.76,121.05,121.24,2193455
7-Mar-17,122.63,122.63,121.68,122.14,1773937
6-Mar-17,124.03,124.28,122.29,122.32,2417939
3-Mar-17,124.79,125.16,123.99,124.13,1519150
2-Mar-17,125.49,125.49,124.47,124.52,1531378
1-Mar-17,123.81,125.16,122.98,124.99,2619558
28-Feb-17,122.05,122.96,121.79,122.24,1966038
27-Feb-17,121.86,122.76,121.61,122.04,914370
24-Feb-17,122.36,122.68,121.74,122.27,1698631
23-Feb-17,122.41,123.08,121.71,122.36,1134121
22-Feb-17,121.42,122.42,121.27,121.90,1184887
21-Feb-17,121.81,122.45,121.06,121.55,1245572
17-Feb-17,121.72,122.00,121.08,121.95,1334680
16-Feb-17,121.05,121.79,120.73,121.79,1502915
15-Feb-17,120.65,120.99,120.11,120.98,1416088
14-Feb-17,119.71,120.32,119.49,120.24,1397061
13-Feb-17,117.37,120.10,117.29,119.71,1519190
10-Feb-17,119.00,120.21,118.99,119.73,1203168
9-Feb-17,117.89,119.17,117.85,118.78,1099914
8-Feb-17,117.49,117.98,117.36,117.81,905125
7-Feb-17,118.10,118.22,117.40,117.76,1161710
6-Feb-17,116.46,117.94,116.46,117.67,987950
3-Feb-17,118.42,118.65,117.60,117.78,1355201
2-Feb-17,116.55,117.81,116.55,117.63,1081967
1-Feb-17,117.69,118.24,116.25,116.54,1402592
31-Jan-17,117.54,117.81,117.01,117.78,1478048
30-Jan-17,118.02,118.02,117.16,117.51,1200979
27-Jan-17,118.40,118.43,117.43,118.10,961452
26-Jan-17,117.65,118.43,117.65,118.13,1360824
25-Jan-17,117.33,118.65,117.33,117.67,1536121
24-Jan-17,118.55,119.15,116.16,116.84,3038258
23-Jan-17,118.16,118.26,117.43,118.04,1593340
20-Jan-17,118.57,118.89,117.63,118.02,1222280
19-Jan-17,118.91,118.95,117.42,117.99,994748
18-Jan-17,118.08,118.59,117.14,118.54,1486815
17-Jan-17,117.01,118.16,116.62,117.46,1607915
13-Jan-17,117.27,117.85,116.70,117.05,1543846
12-Jan-17,117.25,117.27,115.88,116.75,1679167
11-Jan-17,117.22,118.15,117.19,117.65,1433626
10-Jan-17,116.69,117.72,116.45,117.18,1758807
9-Jan-17,118.15,118.25,117.30,117.32,1526223
6-Jan-17,117.83,118.71,117.62,118.27,1532295
5-Jan-17,119.29,119.50,117.28,118.33,2696487
4-Jan-17,120.87,121.74,120.22,120.25,1780156
3-Jan-17,123.07,123.07,120.26,120.90,1955430
30-Dec-16,122.79,122.84,122.05,122.42,1014278
29-Dec-16,122.07,122.60,121.91,122.29,767790
28-Dec-16,122.40,122.77,121.97,122.08,867610
27-Dec-16,122.27,122.27,121.65,121.98,607790
23-Dec-16,122.13,122.44,121.68,122.12,885747
22-Dec-16,122.25,122.87,121.62,122.12,1443190
21-Dec-16,121.94,123.09,121.94,122.57,1575872
20-Dec-16,122.15,122.82,121.86,122.44,1132664
19-Dec-16,121.61,122.20,121.38,121.75,1399792
16-Dec-16,121.04,121.93,120.60,121.60,3221971
15-Dec-16,120.93,121.71,120.20,120.40,1856405
14-Dec-16,121.34,121.44,119.89,120.37,2393531
13-Dec-16,121.08,122.47,120.94,121.43,2383656
12-Dec-16,119.87,120.99,119.56,120.91,1890890
9-Dec-16,118.70,119.19,117.87,119.19,2138835
8-Dec-16,118.38,119.26,118.17,118.38,2046154
7-Dec-16,116.48,118.36,116.22,117.99,2316808
6-Dec-16,116.39,116.87,115.80,116.83,1785849
5-Dec-16,116.05,116.12,114.80,115.87,2041512
2-Dec-16,114.95,115.96,114.86,115.65,1885339
1-Dec-16,114.22,115.52,113.85,115.41,2347458
30-Nov-16,113.61,114.01,113.18,113.35,2756400
29-Nov-16,113.90,114.12,113.50,113.70,1783451
28-Nov-16,113.35,114.24,113.35,113.81,1467312
25-Nov-16,113.47,113.88,113.10,113.45,686329
23-Nov-16,112.67,113.23,112.44,113.07,1004781
22-Nov-16,111.94,112.62,111.83,112.40,1647657
21-Nov-16,112.01,112.34,111.25,111.84,1388161
18-Nov-16,111.25,112.12,110.82,111.82,1718010
17-Nov-16,110.97,111.48,110.40,111.18,1505601
16-Nov-16,111.45,111.56,110.70,111.35,1717250
15-Nov-16,111.98,112.03,111.36,111.85,1823890
14-Nov-16,110.77,112.25,110.65,112.18,3220149
11-Nov-16,109.48,110.58,109.10,110.28,1962328
10-Nov-16,107.30,109.79,106.64,109.62,2748905
9-Nov-16,103.45,107.52,103.45,106.94,3662179
8-Nov-16,105.43,108.16,105.16,108.01,2082597
7-Nov-16,106.22,106.22,104.92,105.36,1804175
4-Nov-16,106.07,106.07,104.57,104.67,1864913
3-Nov-16,106.02,106.47,105.53,105.72,1691778
2-Nov-16,106.28,106.59,105.35,105.62,1718577
1-Nov-16,108.60,108.60,106.02,106.24,2564616
31-Oct-16,108.93,109.02,107.88,108.18,2162143
28-Oct-16,108.60,109.03,107.59,108.43,2245084
27-Oct-16,109.32,109.32,107.97,108.02,2545986
26-Oct-16,108.73,109.33,108.04,108.82,2644584
25-Oct-16,109.36,109.90,108.77,109.03,2569774
24-Oct-16,109.10,109.48,108.83,109.07,2524826
21-Oct-16,108.53,109.22,106.86,108.35,3768289
20-Oct-16,112.83,113.51,109.25,109.52,4606513
19-Oct-16,115.66,116.91,115.12,116.23,2728791
18-Oct-16,116.14,116.19,114.99,115.18,1454045
17-Oct-16,115.00,115.43,114.72,114.98,1349961
14-Oct-16,115.84,116.20,115.08,115.08,1350619
13-Oct-16,114.99,115.31,114.15,115.06,1237549
12-Oct-16,113.92,115.53,113.73,115.35,1468104
11-Oct-16,114.48,114.87,113.67,114.00,1180736
10-Oct-16,114.94,115.47,114.63,115.14,803592
7-Oct-16,113.77,114.85,113.52,114.53,1604520
6-Oct-16,113.19,113.43,112.11,113.18,1336523
5-Oct-16,112.94,113.51,112.49,113.10,1098659
4-Oct-16,113.31,113.31,111.27,112.32,1532680
3-Oct-16,114.27,114.42,112.60,113.00,1234620
30-Sep-16,114.18,115.06,114.18,114.55,1361208
29-Sep-16,114.81,115.06,113.64,113.87,1212640
28-Sep-16,114.70,115.09,114.18,115.01,862025
27-Sep-16,113.89,114.80,113.74,114.41,1758557
26-Sep-16,115.07,115.07,113.77,113.94,1617972
23-Sep-16,116.63,116.68,115.31,115.31,1141120
22-Sep-16,116.42,116.98,116.13,116.73,1107009
21-Sep-16,114.89,115.98,114.60,115.93,1496573
20-Sep-16,115.87,115.92,114.72,114.79,1080903
19-Sep-16,115.13,116.00,114.42,115.09,1227540
16-Sep-16,114.51,115.10,113.60,114.67,3499756
15-Sep-16,113.47,115.22,113.47,114.94,1391921
14-Sep-16,114.39,114.50,113.48,113.71,1612085
13-Sep-16,114.36,114.81,113.95,114.26,1664137
12-Sep-16,114.13,115.75,113.70,115.52,2343772
9-Sep-16,116.38,116.38,114.42,114.44,2010893
8-Sep-16,118.04,118.34,116.89,116.90,1584956
7-Sep-16,118.49,118.87,118.25,118.68,1149599
6-Sep-16,118.52,119.31,118.39,119.29,1156408
2-Sep-16,118.06,119.32,118.06,118.84,1090336
1-Sep-16,118.90,118.90,117.67,118.35,1462458
31-Aug-16,118.21,119.05,118.02,118.71,1589647
30-Aug-16,117.16,119.10,117.16,118.47,1482418
29-Aug-16,117.63,118.72,117.49,118.48,1277833
26-Aug-16,118.07,118.80,116.64,117.14,1578970
25-Aug-16,117.13,118.05,116.98,117.75,823103
24-Aug-16,116.66,117.24,115.97,117.11,1013986
23-Aug-16,117.28,117.70,116.61,116.63,870964
