Date,Open,High,Low,Close,Volume
28-Apr-17,62.23,62.30,61.36,61.91,3230281
27-Apr-17,64.23,64.49,61.12,62.17,6486490
26-Apr-17,65.27,65.77,65.13,65.30,2446703
25-Apr-17,65.50,65.57,64.61,64.96,2031448
24-Apr-17,66.16,67.00,65.52,65.56,2398284
21-Apr-17,65.19,65.70,64.97,65.60,2076725
20-Apr-17,64.46,65.28,64.46,64.91,1997600
19-Apr-17,63.81,64.43,63.76,64.05,1644418
18-Apr-17,63.53,64.40,63.23,63.71,2174171
17-Apr-17,63.86,63.97,63.06,63.55,2322051
13-Apr-17,64.35,65.29,63.51,63.54,3469869
12-Apr-17,67.11,67.40,64.57,64.61,9102440
11-Apr-17,70.17,71.42,69.44,70.47,1694723
10-Apr-17,70.00,71.53,69.94,70.41,3230941
7-Apr-17,69.52,70.11,69.21,69.94,1515657
6-Apr-17,68.47,69.90,68.28,69.53,2452823
5-Apr-17,69.19,69.97,68.20,68.25,2063252
4-Apr-17,67.99,69.23,67.54,68.99,2920957
3-Apr-17,68.93,69.25,68.09,68.18,2117331
31-Mar-17,68.54,69.27,68.50,68.97,1159330
30-Mar-17,68.38,68.82,68.20,68.65,1074156
29-Mar-17,68.02,68.71,67.77,68.47,1592763
28-Mar-17,68.33,68.55,67.70,67.97,2083218
27-Mar-17,68.52,68.99,68.18,68.42,1724486
24-Mar-17,69.30,69.75,68.90,69.02,1504531
23-Mar-17,69.15,69.64,68.75,69.30,1374203
22-Mar-17,68.10,68.90,67.73,68.78,1700960
21-Mar-17,70.98,71.16,68.08,68.17,3916847
20-Mar-17,71.29,71.62,70.48,70.92,1994933
17-Mar-17,72.42,72.86,71.19,71.37,2148520
16-Mar-17,72.25,73.13,71.83,71.91,1822224
15-Mar-17,72.18,72.52,71.42,72.26,1509378
14-Mar-17,70.81,72.26,70.81,71.74,1312211
13-Mar-17,72.51,72.76,70.22,71.70,2330170
10-Mar-17,72.02,72.63,71.89,72.51,1066792
9-Mar-17,72.59,72.78,71.95,71.97,1597799
8-Mar-17,71.55,73.08,71.40,72.70,1448153
7-Mar-17,71.58,71.87,71.26,71.43,1067721
6-Mar-17,72.39,72.39,71.08,71.78,1522315
3-Mar-17,72.40,72.52,71.64,72.39,1502010
2-Mar-17,72.01,73.00,71.78,72.59,2209373
1-Mar-17,71.67,72.28,71.03,71.92,2517611
28-Feb-17,71.36,71.74,70.12,70.91,2128432
27-Feb-17,71.23,72.26,70.53,71.32,2696996
24-Feb-17,71.37,71.90,70.72,71.17,2849376
23-Feb-17,72.50,72.86,70.91,71.00,1637397
22-Feb-17,73.00,73.43,72.23,72.30,1561999
21-Feb-17,72.90,73.00,71.61,72.92,2529768
17-Feb-17,70.80,72.29,70.49,72.18,3440232
16-Feb-17,72.88,73.06,70.49,70.85,3179855
15-Feb-17,73.36,73.67,72.65,72.73,1892373
14-Feb-17,73.14,73.70,73.11,73.40,894984
13-Feb-17,74.48,74.55,73.06,73.16,1050285
10-Feb-17,73.57,74.62,73.32,74.25,1593616
9-Feb-17,73.00,74.15,72.56,73.54,3385279
8-Feb-17,73.13,73.66,72.01,73.03,2955495
7-Feb-17,73.35,73.91,72.81,73.18,1254365
6-Feb-17,73.17,73.93,72.54,73.28,1459360
3-Feb-17,73.46,73.75,72.00,73.28,2283663
2-Feb-17,75.12,76.00,73.02,73.71,6506603
1-Feb-17,73.27,74.06,71.61,72.37,4076846
31-Jan-17,74.13,74.39,72.71,73.67,2112525
30-Jan-17,74.20,74.54,73.27,74.48,1715535
27-Jan-17,75.18,75.19,74.10,74.36,853471
26-Jan-17,75.27,75.81,74.46,74.99,899795
25-Jan-17,75.66,76.12,74.38,75.23,1171952
24-Jan-17,75.00,75.28,74.11,75.16,1650446
23-Jan-17,74.85,75.14,74.05,74.71,1090569
20-Jan-17,75.00,75.35,74.26,75.22,1265747
19-Jan-17,76.19,76.72,74.26,74.79,1465518
18-Jan-17,77.36,77.74,75.65,76.41,1154797
17-Jan-17,76.03,78.25,76.03,77.36,1062618
13-Jan-17,77.13,77.37,75.89,76.05,1299121
12-Jan-17,76.50,76.67,75.32,75.95,608002
11-Jan-17,76.59,76.94,75.66,76.50,715499
10-Jan-17,75.20,76.84,75.12,76.35,962614
9-Jan-17,75.21,75.63,74.68,75.37,877730
6-Jan-17,75.81,76.03,75.08,75.16,1464486
5-Jan-17,76.33,77.13,74.94,75.63,1514973
4-Jan-17,75.81,77.16,75.41,76.79,1415042
3-Jan-17,76.90,77.25,75.73,75.90,1253422
30-Dec-16,76.26,76.77,75.36,75.81,570377
29-Dec-16,75.86,76.52,75.57,76.02,722081
28-Dec-16,76.60,76.88,75.54,75.73,517668
27-Dec-16,76.45,77.16,76.08,76.53,587637
23-Dec-16,76.38,76.95,76.03,76.13,574230
22-Dec-16,77.65,77.74,75.87,76.21,1074181
21-Dec-16,78.17,78.17,77.48,77.65,761431
20-Dec-16,76.60,78.13,76.23,78.11,1054639
19-Dec-16,76.25,77.10,76.03,76.52,913685
16-Dec-16,76.47,76.64,75.61,76.34,2492132
15-Dec-16,75.74,76.79,75.22,76.25,1678836
14-Dec-16,76.93,76.94,75.46,75.49,1707299
13-Dec-16,76.09,77.21,75.70,76.72,1705535
12-Dec-16,76.76,77.44,75.98,76.52,1622304
9-Dec-16,76.72,77.76,76.03,77.44,1345990
8-Dec-16,77.49,77.49,76.27,76.57,1733913
7-Dec-16,76.34,77.48,75.93,77.39,1286630
6-Dec-16,76.66,76.75,75.72,76.34,968753
5-Dec-16,76.01,76.70,75.55,76.66,1688930
2-Dec-16,76.23,77.12,75.52,75.59,1162615
1-Dec-16,75.24,77.31,75.06,76.05,1718717
30-Nov-16,74.90,75.36,74.61,75.07,1322718
29-Nov-16,76.04,76.14,74.43,74.75,1499509
28-Nov-16,74.52,75.48,74.52,74.92,1254001
25-Nov-16,75.11,75.20,74.52,74.61,364775
23-Nov-16,74.53,75.46,74.00,75.04,1357588
22-Nov-16,74.55,75.32,74.20,74.37,2031990
21-Nov-16,73.24,74.46,72.88,74.38,1811071
18-Nov-16,72.89,73.39,72.04,72.91,1669758
17-Nov-16,71.90,73.19,71.54,73.16,1529413
16-Nov-16,71.25,72.22,71.10,72.11,1662399
15-Nov-16,72.05,72.66,70.86,71.71,2468975
14-Nov-16,71.55,72.80,70.79,72.05,3089731
11-Nov-16,68.63,71.20,68.35,71.10,3288825
10-Nov-16,67.48,68.89,67.31,68.67,2195841
9-Nov-16,63.81,67.34,63.51,66.99,2395510
8-Nov-16,65.81,65.99,64.98,65.73,1661807
7-Nov-16,66.35,66.52,65.56,65.76,1617792
4-Nov-16,65.85,67.07,65.37,65.44,2333247
3-Nov-16,66.05,66.78,65.52,65.61,2489144
2-Nov-16,64.54,65.99,64.54,65.65,2724783
1-Nov-16,62.75,64.93,62.65,64.46,2662397
31-Oct-16,61.95,62.77,61.50,62.63,1516729
28-Oct-16,61.68,62.39,61.62,61.92,1099946
27-Oct-16,63.23,63.45,61.84,62.07,1034789
26-Oct-16,63.11,63.74,62.96,63.17,1021162
25-Oct-16,64.21,64.27,62.78,63.14,1687477
24-Oct-16,65.04,65.39,64.25,64.50,1665870
21-Oct-16,64.73,65.20,63.71,64.93,2498387
20-Oct-16,65.99,66.66,63.22,64.99,6081103
19-Oct-16,65.59,67.39,65.47,67.37,2920774
18-Oct-16,65.73,66.34,65.22,65.27,2260917
17-Oct-16,67.23,67.40,65.39,65.54,2371298
14-Oct-16,68.14,68.34,66.78,67.26,1803506
13-Oct-16,68.03,68.20,67.27,67.38,1922575
12-Oct-16,68.41,68.71,68.01,68.27,1627105
11-Oct-16,68.19,68.78,67.80,68.26,2165811
10-Oct-16,68.30,68.92,68.24,68.51,1498275
7-Oct-16,68.13,68.40,67.57,67.88,1183727
6-Oct-16,67.24,68.34,67.15,68.16,1502238
5-Oct-16,67.30,67.75,67.14,67.24,1794057
4-Oct-16,67.38,68.06,66.92,66.95,1472052
3-Oct-16,67.02,67.33,66.43,67.03,2245842
30-Sep-16,68.51,68.79,67.22,67.35,3242439
29-Sep-16,68.53,69.33,68.22,68.24,1735755
28-Sep-16,68.85,69.16,68.41,68.75,1275321
27-Sep-16,68.88,69.46,68.87,68.99,1935331
