Date,Open,High,Low,Close,Volume
28-Apr-17,64.36,64.55,64.01,64.26,2511742
27-Apr-17,64.66,65.08,64.43,64.61,1492440
26-Apr-17,65.12,65.14,64.47,64.53,2108662
25-Apr-17,66.44,66.87,64.79,65.13,4976512
24-Apr-17,65.66,65.78,64.93,65.39,2436704
21-Apr-17,65.14,65.52,64.68,65.14,3073440
20-Apr-17,64.67,65.45,64.60,65.04,2431556
19-Apr-17,65.19,65.34,64.55,64.63,2171132
18-Apr-17,64.41,65.60,64.21,65.24,4011303
17-Apr-17,63.64,64.81,63.40,64.46,2509606
13-Apr-17,64.38,64.44,63.44,63.47,2100238
12-Apr-17,62.67,64.39,62.54,64.26,3886834
11-Apr-17,62.47,62.86,62.37,62.86,1643997
10-Apr-17,62.26,62.88,62.02,62.65,1726289
7-Apr-17,62.60,62.71,62.07,62.16,2473612
6-Apr-17,61.91,62.73,61.78,62.62,2277260
5-Apr-17,62.08,62.59,61.72,61.95,2159192
4-Apr-17,61.93,62.11,61.50,62.07,2837140
3-Apr-17,61.96,62.35,61.70,61.98,1562077
31-Mar-17,61.63,62.10,61.58,61.71,2473859
30-Mar-17,61.87,62.07,61.58,61.64,1557008
29-Mar-17,61.88,62.21,61.61,61.88,1699448
28-Mar-17,61.73,61.98,61.26,61.82,2129733
27-Mar-17,62.09,62.87,61.73,61.84,1892052
24-Mar-17,62.51,62.79,62.31,62.57,1664179
23-Mar-17,62.51,63.05,62.23,62.33,1695877
22-Mar-17,62.27,62.82,61.69,62.72,1999946
21-Mar-17,62.29,62.34,61.56,62.26,2470302
20-Mar-17,61.84,62.48,61.55,62.36,2123989
17-Mar-17,62.06,62.28,61.62,61.84,4124965
16-Mar-17,62.90,62.90,61.21,62.00,4253602
15-Mar-17,62.89,63.46,62.31,63.10,2005224
14-Mar-17,63.61,63.73,62.25,62.67,2060754
13-Mar-17,63.69,63.93,63.27,63.60,3591857
10-Mar-17,62.39,63.66,62.39,63.55,2478460
9-Mar-17,62.14,62.39,61.94,62.29,1495896
8-Mar-17,62.02,62.80,61.70,61.92,2702435
