Date,Open,High,Low,Close,Volume
28-Apr-17,99.99,100.07,99.26,99.27,4599515
27-Apr-17,100.25,100.38,99.79,99.90,3018459
26-Apr-17,100.25,100.49,100.10,100.20,5166067
25-Apr-17,99.84,100.60,99.79,100.04,3528423
24-Apr-17,100.03,100.35,99.78,99.96,1766325
21-Apr-17,99.78,100.00,99.47,99.84,3565180
20-Apr-17,100.00,100.45,99.66,100.00,3911328
19-Apr-17,99.83,100.00,99.69,100.00,3664300
18-Apr-17,99.04,99.84,98.98,99.65,3527255
17-Apr-17,98.44,99.19,98.26,99.17,2990207
13-Apr-17,98.79,98.97,98.08,98.26,1792427
12-Apr-17,98.93,98.97,98.44,98.75,1928563
11-Apr-17,98.53,98.74,98.25,98.72,2150326
10-Apr-17,98.49,98.90,98.45,98.69,2285994
7-Apr-17,98.19,98.76,98.03,98.46,2495598
6-Apr-17,98.44,98.58,98.06,98.30,2975559
5-Apr-17,98.42,98.87,98.18,98.37,2928174
4-Apr-17,98.00,98.34,97.92,98.28,3023048
3-Apr-17,97.93,98.22,97.73,98.00,3251645
31-Mar-17,97.79,98.22,97.51,97.71,3509511
30-Mar-17,97.40,98.08,97.21,98.04,2447444
29-Mar-17,97.22,97.70,97.10,97.47,2194793
28-Mar-17,97.18,97.50,96.88,97.32,2711788
27-Mar-17,97.45,97.49,96.92,97.36,1938571
24-Mar-17,97.22,97.77,97.00,97.51,1602162
23-Mar-17,96.93,97.61,96.66,97.18,2228002
22-Mar-17,97.59,97.82,96.57,96.84,2742264
21-Mar-17,98.44,98.50,97.31,97.47,3714428
20-Mar-17,98.52,98.66,98.13,98.28,2426880
17-Mar-17,98.49,98.63,98.16,98.56,4519965
16-Mar-17,98.46,99.11,98.33,98.46,3612276
15-Mar-17,98.59,98.82,98.26,98.74,2821633
14-Mar-17,98.65,98.69,98.29,98.36,1657330
13-Mar-17,98.66,98.78,98.42,98.62,2412859
10-Mar-17,98.63,98.85,98.46,98.60,3551023
9-Mar-17,98.71,98.77,98.42,98.45,2931669
8-Mar-17,98.21,98.83,98.14,98.51,3038838
7-Mar-17,98.07,98.47,97.89,98.24,3561122
6-Mar-17,98.31,98.58,97.97,98.09,3454756
3-Mar-17,99.00,99.07,98.54,98.73,2428393
2-Mar-17,98.87,99.14,98.55,98.96,2252340
1-Mar-17,98.62,99.29,98.42,98.90,3911693
28-Feb-17,97.86,98.56,97.86,98.21,3367614
27-Feb-17,96.92,98.47,96.75,98.20,4704540
24-Feb-17,96.27,97.28,96.20,97.28,2487811
23-Feb-17,96.18,97.07,95.98,97.06,4129415
22-Feb-17,96.27,96.60,96.22,96.32,4322471
21-Feb-17,96.31,96.59,96.00,96.42,4721117
17-Feb-17,96.11,96.48,96.09,96.48,3991667
16-Feb-17,96.26,96.43,96.00,96.39,3309888
15-Feb-17,96.12,96.41,95.96,96.32,3965391
14-Feb-17,96.01,96.55,95.92,96.39,4239687
13-Feb-17,96.45,96.55,95.90,96.07,3629381
10-Feb-17,96.29,96.61,96.20,96.58,2224721
9-Feb-17,96.60,96.70,96.20,96.37,2376111
8-Feb-17,96.89,96.98,96.14,96.60,3879815
7-Feb-17,96.37,96.49,96.00,96.22,3877367
6-Feb-17,95.65,96.44,95.65,96.36,2529080
3-Feb-17,95.72,96.10,95.65,95.87,2476202
2-Feb-17,96.65,96.84,95.49,95.63,4148028
1-Feb-17,96.75,97.35,96.35,96.72,5611044
31-Jan-17,96.45,96.99,96.24,96.85,2589116
30-Jan-17,96.39,96.95,95.96,96.62,3907012
27-Jan-17,96.00,96.38,95.77,96.38,2720719
26-Jan-17,95.70,96.12,95.40,96.08,4131846
25-Jan-17,96.22,96.45,95.65,95.72,3320899
24-Jan-17,96.79,96.90,95.94,96.35,3164537
23-Jan-17,96.07,96.97,95.82,96.77,2878767
20-Jan-17,95.89,96.49,95.24,96.11,4965250
19-Jan-17,95.02,95.77,94.86,95.69,4867412
18-Jan-17,94.75,95.47,94.31,95.11,6251468
17-Jan-17,93.91,94.91,93.55,94.87,5095804
13-Jan-17,93.68,94.41,93.50,94.14,3162407
12-Jan-17,93.98,94.40,93.45,93.85,5780808
11-Jan-17,93.09,94.25,92.65,93.68,5259395
10-Jan-17,93.69,94.23,93.04,93.40,5295804
9-Jan-17,94.40,94.95,93.32,93.55,5041928
6-Jan-17,94.95,95.72,94.59,94.75,7442782
5-Jan-17,96.51,96.79,93.05,95.09,12929235
4-Jan-17,96.98,97.21,96.52,96.71,3569068
3-Jan-17,96.90,97.19,96.13,96.76,4093903
30-Dec-16,96.98,97.10,96.02,96.53,2632712
29-Dec-16,96.30,96.70,96.10,96.69,1372601
28-Dec-16,96.76,96.86,96.15,96.22,1792029
27-Dec-16,96.43,96.88,96.18,96.74,1547379
23-Dec-16,96.08,96.52,95.86,96.41,1668284
22-Dec-16,95.83,96.57,95.67,96.46,2838192
21-Dec-16,95.56,96.20,95.30,95.99,3088761
20-Dec-16,95.19,95.86,95.10,95.73,3150056
19-Dec-16,94.49,95.30,94.01,95.08,3470138
16-Dec-16,95.38,95.45,94.75,94.80,8372061
15-Dec-16,94.48,95.68,94.48,95.32,3263448
14-Dec-16,94.58,95.08,94.51,94.65,2300794
13-Dec-16,94.88,95.29,94.62,94.67,2854752
12-Dec-16,95.35,95.35,94.44,94.67,5360570
9-Dec-16,94.30,95.26,94.24,95.23,5134033
8-Dec-16,93.64,94.64,93.55,94.55,5523157
7-Dec-16,93.83,94.17,93.38,93.98,7436883
6-Dec-16,93.32,94.10,93.30,93.90,5861723
5-Dec-16,94.08,94.26,93.30,93.34,4145501
2-Dec-16,94.18,94.58,93.42,93.80,3837971
1-Dec-16,91.94,94.44,91.71,94.14,6739119
30-Nov-16,92.50,92.75,91.82,91.82,4476474
29-Nov-16,92.74,93.42,92.63,92.91,2977401
28-Nov-16,92.36,93.26,92.34,92.90,5318104
25-Nov-16,92.68,93.30,92.61,93.20,1249303
23-Nov-16,92.12,92.85,92.06,92.78,3390067
