Date,Open,High,Low,Close,Volume
28-Apr-17,81.04,81.04,78.65,79.18,10522503
27-Apr-17,80.75,81.27,80.36,80.80,5762688
26-Apr-17,82.17,82.92,80.79,81.11,6763868
25-Apr-17,81.30,82.43,81.12,82.36,7604096
24-Apr-17,81.02,81.51,80.85,81.08,5129198
21-Apr-17,79.58,80.41,79.24,79.81,6314436
20-Apr-17,79.72,80.89,79.51,80.76,3586302
19-Apr-17,79.96,80.66,79.28,79.37,4673843
18-Apr-17,78.51,79.84,78.35,79.61,4529140
17-Apr-17,78.30,78.75,78.12,78.72,4462363
13-Apr-17,78.47,79.33,77.83,77.84,4658269
12-Apr-17,79.48,79.68,78.20,78.48,6335001
11-Apr-17,79.88,79.88,78.20,79.41,5321309
10-Apr-17,80.42,80.76,79.92,80.13,3314725
7-Apr-17,80.30,80.92,80.08,80.53,2686868
6-Apr-17,79.98,80.37,79.40,80.10,4178252
5-Apr-17,80.60,81.18,79.98,80.08,3548745
4-Apr-17,80.11,80.67,80.11,80.60,2761956
3-Apr-17,80.87,81.50,79.79,80.36,4564216
31-Mar-17,80.79,81.15,80.54,80.56,3761404
30-Mar-17,80.23,81.08,80.23,81.04,3372836
29-Mar-17,80.35,80.66,80.26,80.49,2811614
28-Mar-17,80.30,80.99,80.22,80.61,3578125
27-Mar-17,79.95,80.82,79.71,80.53,3260892
24-Mar-17,81.92,82.05,80.43,80.59,4100261
23-Mar-17,80.69,81.04,80.23,80.67,3335343
22-Mar-17,80.09,80.79,79.58,80.69,4307268
21-Mar-17,81.93,82.08,79.67,79.75,6221003
20-Mar-17,81.99,82.27,81.54,81.59,4383020
17-Mar-17,82.24,82.44,81.44,82.20,9232193
16-Mar-17,81.99,82.18,81.38,81.71,4195617
15-Mar-17,81.42,81.95,80.96,81.82,3668808
14-Mar-17,80.95,81.20,80.62,81.09,4271542
13-Mar-17,80.32,81.09,80.18,81.02,6082583
10-Mar-17,79.72,80.63,79.30,80.33,5118433
9-Mar-17,79.49,79.78,78.80,79.13,4255437
8-Mar-17,79.44,79.94,79.16,79.34,5386547
7-Mar-17,78.35,80.37,78.21,79.12,10556762
6-Mar-17,77.69,78.46,77.40,78.31,4066406
3-Mar-17,78.20,78.20,77.46,77.86,3994816
2-Mar-17,78.36,78.76,77.94,78.08,7605753
1-Mar-17,77.13,78.18,76.68,78.15,5332504
28-Feb-17,77.06,77.17,76.46,76.62,4770485
27-Feb-17,77.31,77.34,76.76,77.19,3055990
24-Feb-17,76.94,77.24,76.40,77.24,3516648
23-Feb-17,77.23,77.38,76.69,77.14,4921742
22-Feb-17,77.20,77.28,76.80,77.23,4057056
21-Feb-17,76.79,77.13,76.59,77.08,5104736
17-Feb-17,76.11,76.44,75.66,76.44,3955507
16-Feb-17,75.80,76.32,75.52,76.25,4882048
15-Feb-17,75.65,75.81,74.93,75.67,5731485
14-Feb-17,75.46,75.64,75.30,75.64,4000042
13-Feb-17,75.53,75.74,75.39,75.52,5466207
10-Feb-17,75.62,75.66,74.52,75.16,6289845
9-Feb-17,76.30,76.35,75.27,75.30,6950510
8-Feb-17,76.49,76.55,75.92,75.95,5864697
7-Feb-17,76.37,76.74,76.04,76.18,4500917
6-Feb-17,76.38,76.48,75.85,76.22,4632971
3-Feb-17,76.29,76.56,76.03,76.50,4546974
2-Feb-17,75.61,76.10,75.34,75.89,4434547
1-Feb-17,76.06,76.87,75.86,76.27,7815792
31-Jan-17,77.40,77.54,75.25,75.54,11129400
30-Jan-17,77.52,78.08,77.35,77.90,8355246
27-Jan-17,79.06,79.45,77.74,78.03,9737561
26-Jan-17,78.02,79.47,78.01,79.26,8991521
25-Jan-17,77.72,78.72,77.19,78.58,8119910
24-Jan-17,76.19,77.32,75.91,77.08,8561560
23-Jan-17,74.80,75.74,74.64,75.73,6895107
20-Jan-17,74.16,74.89,74.16,74.75,6661449
19-Jan-17,74.22,74.81,73.87,73.88,4468534
18-Jan-17,74.73,74.84,74.25,74.38,5531370
17-Jan-17,74.67,74.95,74.29,74.49,4413082
13-Jan-17,74.83,75.30,74.73,75.00,3372528
12-Jan-17,75.00,75.14,74.09,74.85,4408340
11-Jan-17,74.64,75.20,74.46,75.20,4361427
10-Jan-17,74.62,74.83,74.06,74.60,3712482
9-Jan-17,74.51,75.22,74.16,74.34,4782977
6-Jan-17,72.88,74.28,72.47,74.15,5244559
5-Jan-17,73.29,73.70,72.89,72.92,4301121
4-Jan-17,73.65,73.97,73.25,73.49,4507084
3-Jan-17,73.53,74.31,73.05,73.58,4847913
30-Dec-16,74.43,74.46,72.77,72.97,4311767
29-Dec-16,73.84,74.40,73.80,74.15,3292572
28-Dec-16,74.96,75.05,73.98,74.05,2683395
27-Dec-16,74.42,75.15,74.16,74.87,2037175
23-Dec-16,74.11,74.39,74.00,74.38,1690787
22-Dec-16,74.25,74.32,73.75,74.20,3470787
21-Dec-16,74.22,74.72,74.14,74.17,4272192
20-Dec-16,73.93,74.19,73.60,74.04,3181963
19-Dec-16,73.11,74.08,72.96,73.57,3817950
16-Dec-16,73.36,73.75,72.68,72.89,6478666
15-Dec-16,72.73,73.59,72.45,73.45,5079458
14-Dec-16,73.55,73.70,72.40,72.50,6474082
13-Dec-16,71.95,73.60,71.77,73.20,6950888
12-Dec-16,71.89,71.93,71.19,71.73,3340561
9-Dec-16,72.35,72.65,71.56,71.99,6101234
8-Dec-16,72.32,72.58,71.88,72.13,5473578
7-Dec-16,71.50,72.43,71.12,72.20,6045939
6-Dec-16,71.11,71.39,70.61,71.37,7039805
5-Dec-16,71.34,71.53,70.38,70.51,6405080
2-Dec-16,69.99,71.16,69.92,70.72,5946393
1-Dec-16,73.88,73.91,69.96,70.41,9631119
30-Nov-16,74.67,74.69,73.93,73.93,6768174
29-Nov-16,74.66,75.25,74.23,74.40,6347037
28-Nov-16,74.29,74.89,74.04,74.53,4512018
25-Nov-16,73.87,74.61,73.73,74.43,1978800
23-Nov-16,74.38,74.55,73.92,74.06,3995498
22-Nov-16,74.09,74.64,74.03,74.40,6824105
21-Nov-16,72.75,73.73,72.70,73.68,5447043
18-Nov-16,71.84,73.15,71.75,72.60,5484164
17-Nov-16,71.17,72.28,70.63,72.08,3761089
16-Nov-16,71.01,71.30,70.56,71.20,4880387
15-Nov-16,70.20,71.36,70.05,71.03,4736520
14-Nov-16,70.14,70.35,69.64,70.02,6492956
11-Nov-16,69.02,70.06,69.00,69.85,4974866
10-Nov-16,70.00,70.72,68.13,69.14,7190568
9-Nov-16,67.80,69.95,67.60,69.79,5698213
8-Nov-16,69.01,69.97,68.95,69.83,5409619
7-Nov-16,68.83,69.48,68.29,69.01,5751076
4-Nov-16,66.88,68.00,66.80,67.60,6056310
3-Nov-16,68.70,68.72,67.53,67.90,6723573
2-Nov-16,69.57,69.95,68.72,68.84,6516774
1-Nov-16,71.13,71.13,68.92,69.44,7375307
31-Oct-16,71.31,71.44,70.80,70.85,5411394
28-Oct-16,70.96,71.69,70.52,70.80,6360131
27-Oct-16,71.40,72.18,70.41,70.73,9627039
26-Oct-16,71.00,71.94,70.77,71.71,8150975
25-Oct-16,71.57,71.85,71.08,71.20,4614234
24-Oct-16,70.26,71.74,70.23,71.68,5887988
21-Oct-16,69.41,70.04,68.80,69.97,7027512
20-Oct-16,69.42,70.05,68.77,69.75,3850423
19-Oct-16,68.89,69.61,68.60,69.49,5530750
18-Oct-16,69.86,69.93,69.17,69.25,3590718
17-Oct-16,68.50,68.99,68.37,68.42,2620850
14-Oct-16,68.27,69.22,68.21,68.49,4329253
13-Oct-16,67.91,67.96,67.06,67.77,3897658
12-Oct-16,68.83,68.83,67.99,68.46,3563930
11-Oct-16,69.93,69.97,68.06,68.76,5204371
10-Oct-16,71.08,71.33,69.90,69.93,4893217
7-Oct-16,71.00,71.06,70.45,70.87,3673887
6-Oct-16,70.44,71.00,70.03,70.96,4061513
5-Oct-16,69.85,70.84,69.01,70.60,4789572
4-Oct-16,69.66,69.91,69.10,69.59,4089515
3-Oct-16,70.08,70.26,69.47,69.66,3627810
30-Sep-16,69.95,70.58,69.84,70.18,5071022
29-Sep-16,69.63,70.28,69.22,69.84,4337901
28-Sep-16,69.40,69.78,69.22,69.74,3241333
27-Sep-16,68.39,69.47,68.08,69.45,4560225
26-Sep-16,68.55,68.77,68.13,68.42,3475623
23-Sep-16,70.00,70.00,68.98,68.98,3088066
22-Sep-16,70.01,70.13,69.46,69.76,3566304
21-Sep-16,69.41,69.71,68.83,69.56,4202113
20-Sep-16,69.77,69.90,69.01,69.18,3026685
19-Sep-16,69.83,70.29,69.29,69.54,4100559
16-Sep-16,69.97,69.97,68.48,69.36,6506189
15-Sep-16,67.80,69.36,67.60,69.22,6276714
14-Sep-16,67.46,68.07,67.22,67.79,4038810
13-Sep-16,68.01,68.55,67.27,67.45,5472626
12-Sep-16,66.31,68.02,66.30,67.94,6049884
9-Sep-16,68.19,68.42,66.67,66.67,6995646
8-Sep-16,69.24,69.41,68.70,68.99,4151570
7-Sep-16,69.75,70.00,69.26,69.49,4214091
6-Sep-16,69.93,70.03,69.26,69.79,3870271
2-Sep-16,70.02,70.10,69.26,69.68,4584212
1-Sep-16,68.78,69.79,68.30,69.70,4535987
31-Aug-16,69.36,69.61,69.23,69.54,3870221
30-Aug-16,70.00,70.20,69.09,69.31,4382751
29-Aug-16,69.90,70.37,69.85,69.98,3669145
26-Aug-16,69.99,70.34,69.40,69.75,4160926
25-Aug-16,69.90,70.06,69.70,69.82,3044871
24-Aug-16,70.11,70.22,69.71,69.90,3749507
23-Aug-16,70.42,70.54,69.93,69.98,4779204
22-Aug-16,70.35,70.61,69.84,70.00,4361411
19-Aug-16,70.12,70.54,69.94,70.27,3481961
18-Aug-16,69.98,70.17,69.79,70.13,3816685
17-Aug-16,69.92,70.02,69.54,69.82,5914651
16-Aug-16,70.09,70.33,69.82,69.82,3682612
15-Aug-16,70.19,70.70,69.93,70.33,4148801
12-Aug-16,70.00,70.22,69.78,69.84,3444978
11-Aug-16,70.00,70.20,69.77,70.00,3003555
10-Aug-16,70.23,70.31,69.81,69.89,5012531
9-Aug-16,70.42,70.85,70.17,70.25,3434443
8-Aug-16,70.03,70.32,69.99,70.14,4865939
5-Aug-16,70.00,70.21,69.71,70.15,4547408
4-Aug-16,69.50,69.71,68.54,69.61,4382084
3-Aug-16,68.84,69.09,68.51,68.88,4231764
2-Aug-16,69.69,69.88,68.44,68.85,6391252
1-Aug-16,69.83,70.26,69.52,69.88,5982956
29-Jul-16,70.32,70.46,69.63,69.75,7963050
28-Jul-16,70.63,70.81,69.83,70.23,9143223
27-Jul-16,70.98,71.57,70.16,71.27,13973426
26-Jul-16,70.65,72.58,69.93,71.42,22033149
25-Jul-16,65.50,66.22,65.32,66.22,9945901
22-Jul-16,65.13,65.67,64.74,65.49,5555904
21-Jul-16,65.39,65.50,64.80,64.91,5391653
20-Jul-16,65.32,65.68,65.00,65.45,4744093
19-Jul-16,64.89,65.26,64.76,64.94,3065932
18-Jul-16,64.85,65.52,64.85,65.19,3452479
15-Jul-16,65.26,65.26,64.54,64.85,5952307
14-Jul-16,65.00,65.22,64.73,64.81,4000223
13-Jul-16,64.54,64.80,64.34,64.54,4068468
12-Jul-16,63.77,64.41,63.73,64.38,5405131
11-Jul-16,63.50,63.88,63.26,63.40,4533872
8-Jul-16,62.29,63.28,62.05,63.27,5345295
7-Jul-16,61.07,61.94,61.04,61.77,6876833
