Date,Open,High,Low,Close,Volume
28-Apr-17,37.02,37.35,36.81,37.34,2004672
27-Apr-17,37.26,37.42,36.83,37.03,1552926
26-Apr-17,36.98,37.54,36.74,37.18,2726709
25-Apr-17,36.08,37.13,35.89,37.06,2470281
24-Apr-17,36.46,36.51,35.43,35.97,1636345
21-Apr-17,36.19,36.39,36.05,36.21,891535
20-Apr-17,36.47,36.48,36.08,36.26,1146939
19-Apr-17,36.72,36.81,36.46,36.52,918001
18-Apr-17,36.62,36.90,36.53,36.75,824376
17-Apr-17,36.19,36.66,36.09,36.66,1263560
13-Apr-17,36.20,36.30,35.99,36.03,1029510
12-Apr-17,36.50,36.62,36.18,36.20,1315570
11-Apr-17,36.35,36.62,36.24,36.52,917130
10-Apr-17,36.12,36.43,36.01,36.36,808637
7-Apr-17,36.10,36.26,35.98,36.15,952315
6-Apr-17,35.75,36.14,35.63,36.04,919056
5-Apr-17,36.17,36.26,35.65,36.14,1205785
4-Apr-17,36.00,36.59,35.90,36.19,874854
3-Apr-17,36.26,36.38,35.85,36.05,890762
31-Mar-17,36.11,36.38,36.03,36.26,1425808
30-Mar-17,36.02,36.20,35.68,36.15,950197
29-Mar-17,36.18,36.23,35.81,36.10,1410969
28-Mar-17,36.03,36.31,35.63,36.26,1265094
27-Mar-17,36.32,36.49,35.82,36.08,1414232
24-Mar-17,36.52,36.72,36.36,36.41,981339
23-Mar-17,36.04,36.62,35.94,36.39,1314107
22-Mar-17,36.34,36.34,35.82,36.11,1962763
21-Mar-17,36.17,36.32,36.09,36.17,1139361
20-Mar-17,36.20,36.28,36.00,36.10,995497
17-Mar-17,36.07,36.33,35.95,36.17,1996048
16-Mar-17,35.92,36.34,35.90,36.07,1505827
15-Mar-17,35.19,36.23,34.98,36.07,1347367
14-Mar-17,35.24,35.24,34.96,35.09,1043800
13-Mar-17,35.01,35.28,34.93,35.14,1203122
10-Mar-17,35.51,35.93,34.73,34.89,1416631
9-Mar-17,35.95,36.10,35.16,35.17,1601974
8-Mar-17,36.36,36.40,35.84,35.92,1328206
7-Mar-17,36.10,36.23,35.81,36.23,1080856
6-Mar-17,35.77,36.19,35.69,36.14,1189592
3-Mar-17,36.22,36.22,35.45,35.90,1751530
2-Mar-17,36.43,36.57,36.20,36.38,1286443
1-Mar-17,36.21,36.64,36.00,36.44,1500333
28-Feb-17,36.38,36.58,36.14,36.50,1577950
27-Feb-17,36.28,36.57,36.22,36.36,796133
24-Feb-17,36.16,36.24,35.94,36.20,765929
23-Feb-17,35.82,36.27,35.76,36.19,1367501
