Date,Open,High,Low,Close,Volume
28-Apr-17,174.61,175.00,173.91,174.88,2010757
27-Apr-17,174.07,176.07,174.02,174.63,2438545
26-Apr-17,174.09,175.65,173.98,174.38,2817457
25-Apr-17,173.50,174.74,173.19,174.04,3394671
24-Apr-17,172.66,173.16,171.70,172.33,2830275
21-Apr-17,172.13,172.62,170.47,171.16,2982272
20-Apr-17,169.52,172.19,168.37,171.54,3652173
19-Apr-17,169.59,171.19,168.69,169.25,4703352
18-Apr-17,170.06,170.23,167.70,168.59,5526173
17-Apr-17,164.99,167.42,164.96,167.18,4396665
13-Apr-17,164.95,165.65,164.67,164.96,1979846
12-Apr-17,166.32,166.42,164.60,165.56,2978737
11-Apr-17,164.89,165.84,164.60,165.83,3172925
10-Apr-17,166.19,167.00,165.28,165.48,3234913
7-Apr-17,164.96,166.50,164.62,166.02,2928086
6-Apr-17,165.45,166.02,164.84,165.34,2923993
5-Apr-17,165.76,167.26,165.22,165.37,3541623
4-Apr-17,165.87,166.45,164.79,164.97,2885978
3-Apr-17,164.62,166.14,164.25,165.59,3473710
31-Mar-17,164.64,165.10,163.75,164.01,3496122
30-Mar-17,163.65,165.93,163.46,164.99,2993828
29-Mar-17,164.66,164.97,162.74,163.44,5900387
28-Mar-17,164.58,166.07,163.84,165.35,7327109
27-Mar-17,163.99,165.11,163.31,164.60,4383024
24-Mar-17,166.13,167.40,164.35,165.00,5243877
23-Mar-17,166.23,166.93,164.77,165.29,3947412
22-Mar-17,168.13,168.38,165.63,167.03,2999769
21-Mar-17,168.67,168.82,167.06,167.70,4953057
20-Mar-17,169.93,170.24,167.92,168.00,3928639
17-Mar-17,171.09,171.54,169.59,169.70,5622866
16-Mar-17,172.07,172.14,170.22,171.30,3138566
15-Mar-17,169.36,171.97,169.29,171.78,2807585
14-Mar-17,169.66,170.18,168.50,169.06,2522844
13-Mar-17,169.99,170.93,169.55,170.21,3130164
10-Mar-17,168.42,170.00,168.06,169.98,3716639
9-Mar-17,168.15,169.07,167.74,168.01,3631873
8-Mar-17,167.61,168.46,166.80,167.91,2048154
7-Mar-17,168.45,169.36,167.93,168.30,2702294
6-Mar-17,167.43,169.35,167.13,168.70,2576499
3-Mar-17,167.37,168.45,166.62,168.20,2254393
2-Mar-17,168.32,168.43,166.96,167.31,1889796
1-Mar-17,166.72,168.60,166.35,167.94,3514174
28-Feb-17,165.47,166.76,164.90,165.38,4382055
27-Feb-17,163.16,165.46,162.81,165.38,4071804
24-Feb-17,162.67,163.09,161.74,163.06,2715668
23-Feb-17,161.33,162.60,160.69,162.60,2460188
22-Feb-17,160.91,161.78,159.64,160.57,2725286
21-Feb-17,157.62,160.82,157.52,160.57,5419013
17-Feb-17,159.00,160.16,156.49,157.62,12033638
16-Feb-17,164.78,164.97,162.33,163.65,3191646
15-Feb-17,162.58,164.89,162.58,164.29,4537859
14-Feb-17,161.45,163.50,161.25,163.13,2969704
13-Feb-17,160.69,162.02,160.69,161.99,3275839
10-Feb-17,160.12,161.59,160.10,160.75,1905884
9-Feb-17,160.34,161.30,159.56,160.44,3056783
8-Feb-17,160.00,160.63,159.41,160.31,2339728
7-Feb-17,161.05,161.68,159.54,160.53,2942701
6-Feb-17,161.51,162.53,160.22,160.51,3479420
3-Feb-17,161.13,162.00,160.21,161.87,2762478
2-Feb-17,162.52,163.25,160.26,160.76,4714006
1-Feb-17,162.75,163.90,162.03,162.71,3718557
31-Jan-17,161.62,162.19,160.01,162.10,3036991
30-Jan-17,162.94,163.46,161.31,162.09,2784550
27-Jan-17,163.50,163.80,162.62,162.99,3110360
26-Jan-17,161.86,163.58,161.25,162.75,4202402
25-Jan-17,160.82,161.98,160.35,161.24,3605753
24-Jan-17,159.36,161.31,159.10,160.43,3514096
23-Jan-17,158.62,159.52,156.56,159.07,4062638
20-Jan-17,159.02,159.80,157.81,158.66,3579145
19-Jan-17,157.74,160.55,157.24,158.70,4976871
18-Jan-17,161.06,161.20,156.09,157.74,6591624
17-Jan-17,162.61,162.97,157.51,160.66,5475764
13-Jan-17,162.16,162.74,161.41,161.80,3183274
12-Jan-17,161.69,162.94,160.89,162.36,2555893
11-Jan-17,161.30,162.94,160.61,161.89,3330608
10-Jan-17,161.27,162.98,160.50,161.58,3500741
9-Jan-17,162.00,162.43,160.78,161.95,3041537
6-Jan-17,161.75,162.94,161.11,162.41,3081255
5-Jan-17,161.75,162.63,161.51,162.18,2961074
4-Jan-17,162.35,162.58,159.74,161.91,2695217
3-Jan-17,161.13,162.27,159.15,161.45,3540336
30-Dec-16,161.37,161.48,159.85,160.04,2855637
29-Dec-16,161.92,162.36,160.39,161.04,2476270
28-Dec-16,162.16,163.25,161.32,161.44,1669089
27-Dec-16,163.26,163.96,162.45,162.64,1343985
23-Dec-16,161.56,163.04,160.55,163.03,2044472
22-Dec-16,161.39,161.88,160.27,161.58,2741712
21-Dec-16,161.42,162.29,159.62,161.33,2768116
20-Dec-16,161.71,163.11,161.41,161.59,3131151
19-Dec-16,163.09,163.94,161.22,161.54,4732617
16-Dec-16,161.38,164.00,161.19,163.94,7605257
15-Dec-16,159.87,161.29,159.43,160.62,4422949
14-Dec-16,161.14,161.80,158.72,159.86,3885652
13-Dec-16,160.40,161.71,160.06,160.54,3868877
12-Dec-16,158.83,159.66,157.75,159.49,3471430
9-Dec-16,159.52,160.16,157.71,160.12,4007213
8-Dec-16,159.41,160.24,158.00,159.32,3407518
7-Dec-16,157.89,159.98,156.35,159.40,4552337
6-Dec-16,158.17,158.23,156.26,157.32,3216730
5-Dec-16,160.19,160.67,156.23,157.63,5854226
2-Dec-16,161.00,162.52,160.56,160.73,3480032
1-Dec-16,159.12,161.72,159.12,160.94,5250234
30-Nov-16,157.47,159.76,157.07,158.32,7142369
29-Nov-16,156.94,158.12,155.18,157.59,5827435
28-Nov-16,152.74,152.85,150.00,152.11,5029589
25-Nov-16,153.93,154.50,152.61,152.81,1664542
23-Nov-16,152.01,153.74,150.96,153.54,2838847
22-Nov-16,151.08,152.93,150.56,152.26,4992120
21-Nov-16,149.72,150.66,148.56,150.41,3867791
18-Nov-16,151.05,151.66,149.40,149.45,5664818
17-Nov-16,151.82,151.92,150.19,150.77,4672899
16-Nov-16,151.99,153.00,151.23,151.50,3899008
15-Nov-16,153.51,153.96,151.51,152.23,4910721
14-Nov-16,147.32,152.92,147.04,152.28,5740425
11-Nov-16,146.71,147.50,146.01,146.42,4475449
10-Nov-16,142.34,146.57,142.00,146.13,6075842
9-Nov-16,139.54,144.19,136.22,141.90,8042434
8-Nov-16,141.35,143.61,141.00,142.90,4389253
7-Nov-16,139.60,142.44,139.55,141.93,3896555
4-Nov-16,138.45,138.89,137.69,137.71,3520746
3-Nov-16,139.18,140.34,137.65,137.83,2989689
2-Nov-16,139.02,141.23,138.93,138.98,3149707
1-Nov-16,141.51,141.51,138.82,139.43,3391410
31-Oct-16,140.80,141.54,139.97,141.33,3761070
28-Oct-16,141.66,142.35,139.44,140.35,4033636
27-Oct-16,142.72,143.25,141.58,141.94,3358006
26-Oct-16,143.75,143.78,141.88,142.23,3267632
25-Oct-16,144.88,145.38,143.60,143.78,3095384
24-Oct-16,146.00,146.22,144.02,144.69,2930159
21-Oct-16,144.26,145.44,143.76,145.37,3331766
20-Oct-16,144.49,145.88,143.98,145.07,5203669
19-Oct-16,143.82,146.36,142.82,144.37,5796032
18-Oct-16,139.20,143.95,137.87,143.39,10141914
17-Oct-16,134.06,134.43,133.03,134.13,3602532
14-Oct-16,134.78,135.51,133.89,133.92,3452918
13-Oct-16,134.65,134.65,133.61,134.19,3425680
12-Oct-16,134.98,135.72,133.64,135.10,4287909
11-Oct-16,137.32,137.69,134.37,134.75,3353588
