Date,Open,High,Low,Close,Volume
28-Apr-17,109.00,109.30,107.08,107.46,3111976
27-Apr-17,107.80,109.28,105.58,108.83,4672779
26-Apr-17,107.23,108.59,106.96,107.62,4565640
25-Apr-17,107.09,107.82,107.08,107.36,2626141
24-Apr-17,106.75,107.23,106.28,106.97,2441542
21-Apr-17,105.71,106.13,105.45,105.77,3040578
20-Apr-17,104.75,105.74,104.57,105.53,2424747
19-Apr-17,104.58,105.09,104.33,104.46,2047085
18-Apr-17,104.52,104.74,103.56,104.10,3042310
17-Apr-17,104.06,104.87,103.92,104.87,1723842
13-Apr-17,104.18,104.56,103.70,103.74,2840947
12-Apr-17,105.06,105.34,104.18,104.23,3035960
11-Apr-17,106.15,106.16,105.23,105.75,3029394
10-Apr-17,105.45,106.88,105.37,106.42,3687682
7-Apr-17,106.31,106.60,104.91,104.99,3212232
6-Apr-17,106.77,106.94,106.51,106.67,2824589
5-Apr-17,106.94,107.78,106.54,106.74,2622852
4-Apr-17,106.30,106.70,105.70,106.63,2138746
3-Apr-17,107.66,107.73,106.08,106.40,2645891
31-Mar-17,106.48,107.70,106.48,107.30,2478107
30-Mar-17,105.81,106.84,105.35,106.66,1721627
29-Mar-17,105.65,106.35,105.46,106.03,1889305
28-Mar-17,104.72,106.52,104.50,106.19,3191558
27-Mar-17,104.48,104.98,103.75,104.78,2148455
24-Mar-17,105.69,105.84,104.80,105.05,2526873
23-Mar-17,106.53,106.89,105.37,105.65,2414231
22-Mar-17,106.96,107.17,105.88,106.52,2282185
21-Mar-17,107.50,108.14,106.37,106.51,3088511
20-Mar-17,108.05,108.20,106.93,107.12,2370885
17-Mar-17,107.91,108.97,107.65,108.15,4412150
16-Mar-17,107.80,107.92,107.29,107.80,2409354
15-Mar-17,107.29,108.29,106.85,107.74,3253779
14-Mar-17,107.19,107.42,106.44,106.83,2748905
13-Mar-17,106.53,107.50,106.31,107.49,2644493
10-Mar-17,106.27,106.85,105.75,106.73,2957149
9-Mar-17,106.13,106.24,105.62,105.90,2301041
8-Mar-17,105.64,106.11,105.24,105.73,2269931
7-Mar-17,106.00,106.39,105.51,105.64,2186453
6-Mar-17,105.52,106.37,105.23,106.10,2481871
3-Mar-17,106.13,106.60,105.76,105.93,2732468
2-Mar-17,106.99,106.99,105.86,105.95,2490864
1-Mar-17,106.97,107.38,106.69,106.87,3386203
28-Feb-17,106.68,106.99,105.48,105.76,3794023
27-Feb-17,106.14,106.77,105.75,106.73,2776155
24-Feb-17,104.86,106.19,104.77,106.18,2717389
23-Feb-17,106.00,106.09,104.89,105.09,3976338
22-Feb-17,105.44,106.83,105.24,105.62,5234438
21-Feb-17,106.90,107.87,106.60,107.72,3822504
17-Feb-17,106.96,107.04,106.41,106.90,2918957
16-Feb-17,108.10,108.13,106.66,107.22,5150040
15-Feb-17,108.87,109.17,108.28,109.02,2843007
14-Feb-17,108.68,109.34,107.62,108.99,5878825
13-Feb-17,107.66,108.53,107.53,108.50,3877734
