Date,Open,High,Low,Close,Volume
28-Apr-17,111.94,112.88,109.23,109.66,2562314
27-Apr-17,112.89,113.40,108.01,109.52,2798760
26-Apr-17,113.30,114.86,113.17,113.40,1534379
25-Apr-17,114.35,115.23,112.53,113.30,2021258
24-Apr-17,113.71,114.79,113.11,113.56,2589236
21-Apr-17,112.90,113.25,108.82,111.46,3743439
20-Apr-17,113.74,114.64,110.60,113.24,6931688
19-Apr-17,120.96,122.59,118.98,119.45,2840120
18-Apr-17,119.77,120.50,117.93,119.86,1339190
17-Apr-17,120.01,120.97,119.05,120.95,1302928
13-Apr-17,121.32,123.21,119.25,119.29,1324175
12-Apr-17,125.56,126.06,120.82,121.13,1505961
11-Apr-17,125.99,126.56,124.02,125.93,954204
10-Apr-17,124.37,126.57,123.94,125.96,1442285
7-Apr-17,123.59,125.43,123.08,123.41,1264630
6-Apr-17,121.51,124.96,121.20,124.00,1263309
5-Apr-17,125.00,126.76,120.28,121.06,1657547
4-Apr-17,123.12,124.89,122.73,123.77,831541
3-Apr-17,125.11,125.28,121.62,123.83,1258014
31-Mar-17,123.35,126.19,123.18,125.05,979314
30-Mar-17,123.66,124.55,122.97,124.17,873688
29-Mar-17,123.06,125.03,122.57,123.64,1069554
28-Mar-17,119.59,124.66,119.22,123.24,1636583
27-Mar-17,117.46,120.01,115.10,119.56,1422380
24-Mar-17,121.33,122.75,119.53,120.69,1259849
23-Mar-17,119.70,122.48,119.43,120.82,1058618
22-Mar-17,119.33,121.48,118.14,120.38,1394253
21-Mar-17,125.33,125.75,119.59,120.01,1795441
20-Mar-17,124.47,125.84,123.01,124.99,950029
17-Mar-17,125.72,126.78,125.15,125.19,977990
16-Mar-17,127.00,128.46,124.92,125.28,1369699
15-Mar-17,123.20,127.04,122.76,126.35,2135101
14-Mar-17,122.16,122.18,119.30,122.12,2049695
13-Mar-17,122.98,125.06,122.98,124.20,1362806
10-Mar-17,123.85,124.80,121.34,122.95,1453985
9-Mar-17,124.00,125.22,120.59,121.98,3077047
8-Mar-17,128.84,129.98,124.16,124.30,2010196
7-Mar-17,129.37,130.50,127.46,128.15,1497110
6-Mar-17,127.22,130.16,126.90,129.78,1443563
3-Mar-17,129.01,130.15,126.92,128.72,1470844
2-Mar-17,133.11,133.24,128.65,129.01,1962750
1-Mar-17,130.79,134.28,130.77,133.36,2489110
28-Feb-17,126.81,128.69,126.00,128.03,1539734
27-Feb-17,124.71,128.86,124.21,128.21,1748867
24-Feb-17,119.36,124.70,119.11,124.15,2269350
23-Feb-17,129.06,129.86,120.34,120.90,3065963
22-Feb-17,127.84,128.14,126.35,128.06,1125137
21-Feb-17,126.65,129.52,126.44,128.93,1311905
17-Feb-17,126.95,126.95,125.02,126.03,1120698
16-Feb-17,128.67,129.28,126.43,127.86,989567
15-Feb-17,128.50,129.57,127.18,129.18,1135234
14-Feb-17,127.24,129.00,126.06,128.79,953538
13-Feb-17,127.31,128.91,127.15,127.78,1789809
10-Feb-17,126.15,127.54,125.39,127.12,1313726
9-Feb-17,125.00,126.64,123.77,125.44,1531925
