Date,Open,High,Low,Close,Volume
28-Apr-17,51.81,52.00,51.18,51.28,7707204
27-Apr-17,52.22,52.29,51.50,51.92,5826662
26-Apr-17,52.00,52.62,52.00,52.12,7652629
25-Apr-17,52.13,52.48,51.93,52.13,9010865
24-Apr-17,51.70,52.01,51.42,51.56,8060607
21-Apr-17,50.55,51.01,50.46,50.51,9044727
20-Apr-17,49.79,50.90,49.76,50.68,9535375
19-Apr-17,50.13,50.35,49.55,49.69,7268639
18-Apr-17,50.21,50.41,49.68,49.80,9699136
17-Apr-17,50.12,50.62,49.91,50.54,4943644
13-Apr-17,50.42,50.89,49.96,49.98,5887962
12-Apr-17,50.66,51.08,50.49,50.70,7671478
11-Apr-17,50.65,50.98,50.35,50.89,7344910
10-Apr-17,51.25,51.44,50.73,50.78,6484777
7-Apr-17,51.08,51.36,50.87,51.15,6827545
6-Apr-17,51.02,51.51,50.73,51.35,5855013
5-Apr-17,51.91,52.04,50.96,51.04,6138666
4-Apr-17,51.39,51.57,51.22,51.46,4158470
3-Apr-17,51.62,51.62,50.84,51.55,7447439
31-Mar-17,51.92,52.07,51.48,51.50,8197551
30-Mar-17,51.76,52.39,51.64,52.12,9350080
29-Mar-17,52.38,52.45,51.68,51.75,7380659
28-Mar-17,52.07,53.17,52.00,52.71,7736000
27-Mar-17,51.59,52.41,51.05,52.20,7300803
24-Mar-17,52.75,52.98,52.22,52.57,5948785
23-Mar-17,52.44,53.17,52.23,52.58,9022948
22-Mar-17,52.44,52.89,51.75,52.60,8299552
21-Mar-17,54.55,54.55,52.57,52.69,14211650
20-Mar-17,54.40,54.85,54.19,54.24,7706017
17-Mar-17,55.08,55.12,54.64,54.69,7085800
16-Mar-17,55.07,55.37,54.87,55.03,6326172
15-Mar-17,55.15,55.60,54.85,54.96,8487236
14-Mar-17,54.80,55.05,54.57,55.00,6130471
13-Mar-17,54.88,55.21,54.81,54.92,4690329
10-Mar-17,55.29,55.33,54.62,54.94,6721890
9-Mar-17,55.12,55.28,54.80,54.94,5236239
8-Mar-17,55.51,55.81,54.82,54.87,7809634
7-Mar-17,55.23,55.40,54.95,55.03,6678846
6-Mar-17,55.28,55.45,55.04,55.29,6118701
3-Mar-17,55.46,55.71,55.38,55.55,7278259
2-Mar-17,56.55,56.56,55.39,55.48,6431239
1-Mar-17,55.87,56.61,55.82,56.41,8689717
28-Feb-17,55.04,55.19,54.82,55.00,6846584
27-Feb-17,55.19,55.35,55.01,55.29,6378775
24-Feb-17,55.00,55.36,54.85,55.10,7596136
23-Feb-17,55.30,55.51,55.06,55.40,7267995
22-Feb-17,54.96,55.40,54.89,55.31,4851745
21-Feb-17,55.00,55.30,54.92,55.20,5639353
17-Feb-17,54.78,54.88,54.50,54.88,6011599
16-Feb-17,55.04,55.08,54.55,55.01,6204101
15-Feb-17,54.70,55.36,54.52,55.14,8029414
14-Feb-17,53.90,54.60,53.84,54.55,7728324
13-Feb-17,53.89,54.43,53.89,54.13,5709752
10-Feb-17,53.81,53.85,53.49,53.61,3892386
9-Feb-17,53.06,53.64,52.92,53.54,5054027
8-Feb-17,52.89,53.02,52.53,52.89,6397994
7-Feb-17,53.63,53.67,53.06,53.20,4749034
6-Feb-17,53.37,53.78,53.19,53.40,4904004
3-Feb-17,53.80,54.04,53.45,53.66,9104053
2-Feb-17,52.68,53.22,52.64,53.13,8700602
1-Feb-17,53.16,53.64,52.97,53.03,8413794
31-Jan-17,52.62,52.94,52.36,52.65,6736826
30-Jan-17,52.62,52.90,52.37,52.85,7540843
27-Jan-17,52.84,53.14,52.82,52.99,6893377
26-Jan-17,52.45,52.98,52.44,52.95,6494665
25-Jan-17,52.14,52.64,52.14,52.45,8731515
24-Jan-17,51.10,52.00,51.01,51.77,6531705
23-Jan-17,51.00,51.38,50.79,50.97,4858769
20-Jan-17,50.94,51.64,50.89,51.20,8865722
19-Jan-17,50.63,50.98,50.42,50.73,7151604
18-Jan-17,50.42,50.67,49.99,50.56,6525369
17-Jan-17,51.20,51.21,50.16,50.31,9415106
13-Jan-17,51.61,52.14,51.48,51.69,7876357
12-Jan-17,51.64,51.69,51.02,51.43,4538965
11-Jan-17,51.51,51.80,51.25,51.79,7233075
10-Jan-17,51.03,51.58,50.85,51.22,5231624
9-Jan-17,51.05,51.29,50.85,51.07,4338489
6-Jan-17,51.06,51.50,51.06,51.30,5078235
5-Jan-17,51.64,51.76,50.79,50.97,6574922
4-Jan-17,51.48,51.98,51.41,51.84,6198969
3-Jan-17,51.62,52.24,51.11,51.46,7859031
30-Dec-16,51.50,51.61,51.21,51.37,5184607
29-Dec-16,51.75,51.87,51.04,51.30,4625687
28-Dec-16,52.12,52.26,51.78,51.78,8111918
27-Dec-16,52.33,52.39,52.20,52.31,3135809
23-Dec-16,52.29,52.33,52.07,52.20,3773201
22-Dec-16,51.99,52.28,51.96,52.15,5141730
21-Dec-16,52.47,52.50,52.17,52.17,3872077
20-Dec-16,52.13,52.68,52.06,52.54,6144321
19-Dec-16,51.59,51.98,51.38,51.87,5439360
16-Dec-16,52.23,52.23,51.61,51.74,11033286
15-Dec-16,51.97,52.31,51.48,51.98,7601974
14-Dec-16,51.31,52.30,51.19,51.73,9356781
13-Dec-16,51.73,51.92,51.19,51.70,7358601
12-Dec-16,51.89,52.10,51.45,51.58,6113449
9-Dec-16,51.90,52.08,51.59,52.04,8612883
8-Dec-16,51.56,52.29,51.56,51.90,10423462
7-Dec-16,50.74,51.40,50.49,51.36,9558952
6-Dec-16,50.53,50.77,50.23,50.73,9259103
5-Dec-16,50.41,50.63,50.19,50.36,7209623
2-Dec-16,50.35,50.42,49.84,50.00,5864800
1-Dec-16,49.81,50.62,49.63,50.39,10571287
30-Nov-16,49.57,49.77,49.43,49.62,6887102
29-Nov-16,49.12,49.35,49.01,49.10,5726555
28-Nov-16,49.14,49.45,48.78,48.90,5887308
25-Nov-16,49.36,49.50,49.12,49.42,2631496
23-Nov-16,49.30,49.50,49.08,49.35,7054399
22-Nov-16,49.27,49.57,48.76,49.03,10580088
21-Nov-16,49.32,49.39,49.01,49.28,5184051
18-Nov-16,48.74,49.40,48.66,49.23,9090546
17-Nov-16,48.10,48.77,47.98,48.68,9369781
16-Nov-16,47.59,48.39,47.59,47.87,10900937
15-Nov-16,48.26,48.73,48.04,48.70,13446676
14-Nov-16,48.07,48.75,47.81,48.73,15228080
11-Nov-16,47.57,47.96,47.42,47.90,9661099
10-Nov-16,47.05,48.50,46.98,47.61,17493969
9-Nov-16,45.45,46.93,45.13,46.67,14953341
8-Nov-16,44.78,45.09,44.59,44.98,4516325
7-Nov-16,44.66,44.93,44.65,44.92,6908844
4-Nov-16,44.15,44.40,43.82,43.93,6284059
3-Nov-16,44.01,44.48,43.92,44.05,5532838
2-Nov-16,44.24,44.33,43.92,44.00,7793969
1-Nov-16,44.88,45.00,44.10,44.46,9440337
31-Oct-16,44.82,44.96,44.69,44.76,7262159
28-Oct-16,44.79,44.90,44.39,44.64,8548425
27-Oct-16,44.43,45.14,44.38,44.70,12715565
26-Oct-16,43.72,44.37,43.70,44.23,6012469
25-Oct-16,43.96,44.17,43.78,43.84,5589554
24-Oct-16,44.08,44.15,43.94,44.02,4919544
21-Oct-16,43.59,43.89,43.50,43.85,6422391
20-Oct-16,43.59,44.09,43.52,43.95,8553044
19-Oct-16,44.19,44.19,42.85,43.58,10319343
18-Oct-16,43.14,43.20,42.83,43.01,6297949
17-Oct-16,42.88,43.06,42.52,42.72,6288114
14-Oct-16,43.32,43.44,42.72,42.85,5785382
13-Oct-16,43.01,43.01,42.37,42.88,6522003
12-Oct-16,43.36,43.68,43.28,43.40,4025201
11-Oct-16,43.79,43.84,43.06,43.29,6334699
10-Oct-16,43.92,43.99,43.67,43.80,4797371
7-Oct-16,43.89,43.96,43.39,43.70,6560314
6-Oct-16,43.75,44.00,43.45,43.89,12170205
5-Oct-16,43.06,43.81,43.02,43.65,6858522
4-Oct-16,42.74,43.15,42.50,42.85,8364680
3-Oct-16,42.69,42.82,42.45,42.66,5421920
30-Sep-16,42.70,43.16,42.58,42.89,7613621
29-Sep-16,42.66,43.24,42.35,42.48,7683871
28-Sep-16,42.79,42.97,42.38,42.81,4482646
27-Sep-16,42.32,42.92,42.17,42.90,6747795
26-Sep-16,42.69,42.78,42.40,42.47,8526228
23-Sep-16,42.75,43.27,42.70,42.96,5960313
22-Sep-16,43.37,43.54,43.12,43.17,4788200
21-Sep-16,43.25,43.43,42.97,43.26,7157051
20-Sep-16,43.18,43.25,42.82,43.02,7091991
19-Sep-16,42.74,43.12,42.58,42.86,5492619
16-Sep-16,42.73,42.79,42.41,42.60,9204925
15-Sep-16,42.44,43.11,42.18,43.03,10511072
14-Sep-16,43.16,43.44,42.86,42.92,6161420
13-Sep-16,43.31,43.46,42.96,43.23,7898552
12-Sep-16,43.19,43.91,42.83,43.80,9275984
9-Sep-16,43.84,43.96,43.41,43.41,6671213
8-Sep-16,43.63,43.94,43.58,43.84,6421655
7-Sep-16,43.74,43.88,43.57,43.66,7524192
6-Sep-16,44.12,44.18,43.61,43.86,6601841
2-Sep-16,44.20,44.22,43.93,44.16,4257445
1-Sep-16,44.25,44.26,43.66,44.03,5195535
31-Aug-16,44.10,44.23,43.75,44.15,6994746
30-Aug-16,43.82,44.10,43.78,44.08,5560605
29-Aug-16,43.51,44.11,43.51,43.84,7241274
26-Aug-16,43.45,43.63,43.18,43.40,6590665
25-Aug-16,43.28,43.55,43.25,43.40,5771885
24-Aug-16,43.50,43.66,43.16,43.24,8589783
23-Aug-16,43.45,43.66,43.43,43.44,4160538
22-Aug-16,43.20,43.40,43.16,43.37,3386637
19-Aug-16,43.16,43.41,43.01,43.35,3977552
18-Aug-16,43.11,43.29,43.04,43.22,4652549
17-Aug-16,43.08,43.38,43.02,43.22,6347953
16-Aug-16,42.74,43.13,42.72,43.02,4833035
15-Aug-16,42.77,43.04,42.77,42.98,5279100
12-Aug-16,42.48,42.77,42.39,42.73,4349232
11-Aug-16,42.66,42.92,42.42,42.82,6211571
10-Aug-16,42.94,42.99,42.44,42.50,3746842
9-Aug-16,42.94,43.05,42.73,42.83,3698294
8-Aug-16,42.99,43.15,42.86,42.94,4461190
5-Aug-16,42.63,42.97,42.37,42.97,7568899
4-Aug-16,42.03,42.26,41.96,42.03,4167689
3-Aug-16,41.55,42.25,41.47,42.13,6723229
2-Aug-16,41.51,41.68,41.12,41.43,5858271
1-Aug-16,42.15,42.22,41.61,41.68,5488901
29-Jul-16,41.92,42.34,41.92,42.17,5802687
28-Jul-16,41.88,42.20,41.70,42.08,3934941
27-Jul-16,41.96,42.20,41.87,42.01,5483498
26-Jul-16,41.82,42.14,41.77,41.97,4879463
25-Jul-16,42.10,42.18,41.79,41.97,4752829
22-Jul-16,41.98,42.24,41.83,42.19,5021510
21-Jul-16,41.97,42.18,41.83,41.88,5160261
20-Jul-16,42.10,42.16,41.90,41.97,4924347
19-Jul-16,41.71,42.04,41.60,41.97,6774574
18-Jul-16,41.73,42.09,41.73,41.88,8616154
15-Jul-16,42.40,42.50,41.44,41.89,9964732
14-Jul-16,41.38,41.51,41.17,41.25,12183364
13-Jul-16,40.75,40.90,40.47,40.63,6239897
12-Jul-16,40.56,40.86,40.53,40.67,6378092
11-Jul-16,40.40,40.52,40.24,40.30,4417223
8-Jul-16,39.84,40.26,39.84,40.09,6015163
7-Jul-16,39.16,39.62,39.02,39.23,5510582
6-Jul-16,38.73,39.32,38.63,39.20,6255745
5-Jul-16,39.67,39.78,38.90,39.06,5955852
1-Jul-16,40.15,40.26,39.91,40.06,4684419
30-Jun-16,39.97,40.34,39.59,40.33,8765097
29-Jun-16,39.59,39.75,39.14,39.68,6242185
28-Jun-16,39.09,39.22,38.48,39.08,10100584
27-Jun-16,39.23,39.26,38.49,38.69,13020329
24-Jun-16,40.22,41.12,39.83,39.86,13335733
23-Jun-16,41.92,42.24,41.88,42.23,7393729
22-Jun-16,41.35,41.86,41.32,41.35,4486938
21-Jun-16,41.48,41.51,41.09,41.37,4447771
20-Jun-16,41.75,42.00,41.16,41.22,5766545
17-Jun-16,41.06,41.32,40.79,41.11,8413002
16-Jun-16,40.65,41.08,40.34,41.06,6459216
15-Jun-16,41.25,41.62,40.98,41.02,7863875
14-Jun-16,41.53,41.77,40.94,41.19,8446008
13-Jun-16,41.71,42.12,41.67,41.68,6688722
10-Jun-16,42.03,42.22,41.87,41.96,7329345
9-Jun-16,42.46,42.58,42.03,42.54,5936909
8-Jun-16,42.64,43.01,42.63,42.81,5018131
7-Jun-16,42.94,43.00,42.66,42.66,7263993
6-Jun-16,42.45,43.15,42.31,42.88,7748602
3-Jun-16,42.28,42.51,41.77,42.37,11485567
2-Jun-16,42.88,43.10,42.70,43.06,4216540
1-Jun-16,42.45,43.06,42.33,43.00,5170828
31-May-16,43.16,43.20,42.65,42.82,6605756
27-May-16,42.78,42.95,42.63,42.95,3905024
26-May-16,42.91,43.05,42.59,42.67,4371977
25-May-16,42.58,43.23,42.52,42.96,7807453
24-May-16,42.01,42.48,41.86,42.28,5611225
23-May-16,41.75,41.87,41.42,41.66,6422288
20-May-16,41.74,42.20,41.64,41.74,5781258
19-May-16,41.40,41.70,41.02,41.52,9539800
18-May-16,40.75,41.77,40.70,41.62,12624334
17-May-16,41.38,41.43,40.57,40.72,14330061
16-May-16,41.24,41.96,41.12,41.69,13572296
13-May-16,41.79,42.11,41.23,41.43,6954383
12-May-16,42.12,42.31,41.70,41.94,7285079
11-May-16,41.90,42.38,41.87,41.87,5812625
10-May-16,41.74,42.16,41.66,42.06,6404410
9-May-16,41.61,42.00,41.48,41.54,4297081
6-May-16,41.41,41.81,41.36,41.78,5306419
5-May-16,41.82,42.00,41.54,41.65,5947599
4-May-16,42.04,42.28,41.39,41.72,8812167
3-May-16,42.33,42.56,42.00,42.50,6568217
2-May-16,43.02,43.16,42.62,42.97,8855494
29-Apr-16,42.83,43.08,42.47,42.69,10544522
28-Apr-16,43.04,43.56,42.93,43.13,6641440
27-Apr-16,43.38,43.94,43.26,43.53,9686127
26-Apr-16,43.08,43.49,42.91,43.37,7892055
25-Apr-16,43.03,43.18,42.76,43.05,8604717
22-Apr-16,42.70,43.43,42.61,43.30,9224011
21-Apr-16,42.65,42.80,42.40,42.56,10082306
20-Apr-16,41.96,42.94,41.79,42.73,9568927
19-Apr-16,41.48,41.92,41.39,41.91,11361464
18-Apr-16,41.03,41.30,40.84,41.21,7566170
15-Apr-16,41.45,41.56,40.95,41.10,7041578
14-Apr-16,41.00,41.65,40.92,41.28,9317492
13-Apr-16,40.77,41.42,40.67,41.10,10461020
12-Apr-16,39.74,40.35,39.54,40.26,7653069
11-Apr-16,39.58,40.04,39.41,39.53,7313852
8-Apr-16,39.48,39.85,39.28,39.38,4988667
7-Apr-16,39.75,39.81,38.83,39.10,8338079
6-Apr-16,39.90,40.13,39.57,40.09,5286781
5-Apr-16,40.25,40.41,39.84,40.05,6223931
4-Apr-16,40.68,40.85,40.42,40.68,4683397
1-Apr-16,40.31,40.78,40.00,40.70,5209263
31-Mar-16,40.86,41.03,40.47,40.59,6573958
30-Mar-16,40.61,41.21,40.54,40.99,6293156
29-Mar-16,40.31,40.47,39.79,40.39,5840649
28-Mar-16,40.84,40.96,40.52,40.69,4147041
24-Mar-16,40.73,40.84,40.46,40.78,6330961
23-Mar-16,41.20,41.53,41.06,41.19,6708570
22-Mar-16,41.02,41.54,40.81,41.32,5751536
21-Mar-16,41.23,41.49,41.06,41.38,5201381
18-Mar-16,41.00,41.42,40.86,41.32,10073741
17-Mar-16,40.38,40.78,40.05,40.69,6824025
16-Mar-16,40.64,41.12,40.37,40.54,5932628
15-Mar-16,40.14,40.84,40.07,40.79,7049639
14-Mar-16,40.47,40.59,39.97,40.49,6349508
11-Mar-16,39.93,40.49,39.61,40.46,7754049
10-Mar-16,39.94,40.19,39.08,39.51,7442915
9-Mar-16,40.14,40.14,39.62,39.76,5476190
8-Mar-16,40.22,40.38,39.74,39.85,6069301
7-Mar-16,40.65,40.93,40.49,40.77,4284817
4-Mar-16,40.91,41.21,40.61,41.03,6128022
3-Mar-16,40.48,40.78,40.22,40.77,5694844
2-Mar-16,39.99,40.53,39.84,40.53,7463986
1-Mar-16,38.69,39.90,38.69,39.90,6569144
29-Feb-16,39.25,39.31,38.51,38.52,7391984
26-Feb-16,39.49,39.77,39.08,39.29,7200011
25-Feb-16,38.62,39.14,38.47,39.14,6335553
24-Feb-16,38.27,38.54,37.48,38.44,9219984
23-Feb-16,39.95,40.08,38.82,38.87,9191394
22-Feb-16,40.10,40.39,40.00,40.23,8154947
19-Feb-16,39.28,39.72,39.06,39.46,10909471
18-Feb-16,40.09,40.14,39.31,39.49,7669539
17-Feb-16,40.61,40.71,40.07,40.12,7859463
16-Feb-16,39.65,40.52,39.28,40.19,11161020
12-Feb-16,38.24,39.15,38.00,39.10,12370012
11-Feb-16,38.00,38.08,37.07,37.45,12408138
10-Feb-16,39.94,40.29,39.02,39.04,9328258
9-Feb-16,38.84,39.71,38.52,39.40,12689661
8-Feb-16,39.67,40.04,38.97,39.53,13872707
5-Feb-16,40.20,40.55,39.94,40.09,10179225
4-Feb-16,39.28,40.20,39.17,40.11,9262521
3-Feb-16,38.93,39.34,37.98,39.28,10452411
2-Feb-16,39.27,39.27,38.59,38.75,6971989
1-Feb-16,39.89,40.02,39.55,39.80,6240088
29-Jan-16,39.31,40.08,39.20,40.06,11630565
28-Jan-16,39.51,39.80,39.00,39.22,8983635
27-Jan-16,39.12,39.99,38.83,39.18,7611672
26-Jan-16,38.44,39.27,38.29,39.02,7655436
25-Jan-16,39.29,39.35,38.23,38.29,10228452
22-Jan-16,39.30,39.63,39.03,39.37,8942869
21-Jan-16,38.94,39.45,38.50,38.52,12501605
20-Jan-16,38.30,39.33,38.26,38.87,13473022
19-Jan-16,39.47,39.87,38.75,39.13,11311262
15-Jan-16,38.01,39.44,37.97,39.05,14507244
14-Jan-16,39.60,40.21,39.11,39.93,13484635
13-Jan-16,40.92,41.04,38.95,39.01,11842340
12-Jan-16,40.40,40.66,39.69,40.62,9915545
11-Jan-16,40.01,40.11,39.48,39.86,6668815
8-Jan-16,40.64,40.71,39.62,39.70,8475157
7-Jan-16,40.31,40.68,39.89,40.27,9959782
6-Jan-16,41.04,41.57,40.81,41.05,6779586
5-Jan-16,41.47,41.72,41.19,41.68,7654415
4-Jan-16,41.75,41.82,41.11,41.48,9194051
31-Dec-15,42.79,43.14,42.65,42.67,4483847
30-Dec-15,43.37,43.51,42.97,43.01,4750541
29-Dec-15,43.15,43.61,43.14,43.52,4912032
28-Dec-15,43.24,43.35,42.74,43.05,5828472
24-Dec-15,43.38,43.59,43.35,43.42,2170105
23-Dec-15,43.09,43.49,42.87,43.48,4846404
22-Dec-15,42.91,42.92,42.17,42.70,5041046
21-Dec-15,42.66,42.98,42.16,42.59,5610549
18-Dec-15,43.54,43.58,42.35,42.36,14632813
17-Dec-15,44.52,44.58,43.83,43.83,6896672
16-Dec-15,43.93,44.49,43.41,44.36,10016787
15-Dec-15,42.99,43.84,42.92,43.67,6971214
14-Dec-15,42.30,42.56,41.84,42.43,6952708
11-Dec-15,42.51,42.77,41.94,42.22,6531661
10-Dec-15,43.06,43.59,42.79,43.18,6256658
9-Dec-15,43.24,43.81,42.72,43.01,6713393
8-Dec-15,43.83,44.02,43.36,43.55,6751084
7-Dec-15,44.14,44.37,43.76,44.11,5728899
4-Dec-15,43.46,44.42,43.37,44.34,8421409
3-Dec-15,43.97,43.97,43.05,43.20,5560591
2-Dec-15,44.36,44.45,43.68,43.77,6292276
1-Dec-15,44.14,44.42,43.89,44.31,4905078
30-Nov-15,43.93,44.12,43.74,43.89,6541840
27-Nov-15,43.87,43.99,43.57,43.90,2093464
25-Nov-15,43.90,43.94,43.64,43.77,4284636
24-Nov-15,43.57,43.99,43.39,43.86,5947289
23-Nov-15,44.06,44.18,43.69,43.78,6025152
20-Nov-15,44.39,44.41,43.94,44.04,6971725
19-Nov-15,43.91,44.27,43.74,44.15,6404050
18-Nov-15,43.11,43.98,42.94,43.89,8485908
17-Nov-15,43.18,43.49,42.83,43.02,6458758
16-Nov-15,42.37,43.13,42.26,43.11,6022618
13-Nov-15,42.49,42.81,42.24,42.38,6617923
12-Nov-15,43.04,43.07,42.68,42.72,6699553
11-Nov-15,43.62,43.74,43.20,43.33,4857621
10-Nov-15,43.19,43.53,43.08,43.36,6132924
9-Nov-15,43.74,43.86,43.03,43.34,6775652
6-Nov-15,43.72,44.24,43.50,43.72,12041168
5-Nov-15,42.62,42.82,42.36,42.63,6181698
4-Nov-15,42.73,42.92,42.49,42.62,4050963
3-Nov-15,42.60,42.87,42.23,42.70,3557499
2-Nov-15,42.24,42.84,42.24,42.59,5518198
30-Oct-15,42.98,42.99,42.07,42.18,9098083
29-Oct-15,42.98,43.22,42.81,43.00,5420471
28-Oct-15,42.20,43.23,42.09,43.06,9440225
27-Oct-15,42.26,42.46,41.90,42.10,5795907
26-Oct-15,42.54,42.78,42.23,42.52,5262014
23-Oct-15,42.15,42.68,41.84,42.62,9879035
22-Oct-15,41.36,42.28,41.36,41.84,7961823
21-Oct-15,41.49,41.74,41.07,41.10,8864497
20-Oct-15,40.84,41.51,40.75,41.25,6835936
19-Oct-15,40.64,41.11,40.63,40.73,7747956
16-Oct-15,41.19,41.54,40.68,40.77,12448428
15-Oct-15,41.22,41.64,40.68,41.01,12226476
14-Oct-15,41.33,41.37,40.38,40.50,9981889
13-Oct-15,41.48,41.61,41.33,41.43,4313240
12-Oct-15,41.67,41.81,41.42,41.63,3786596
9-Oct-15,42.03,42.10,41.34,41.58,4281367
8-Oct-15,41.56,41.96,41.39,41.90,5008570
7-Oct-15,41.79,42.08,41.55,41.79,4910812
6-Oct-15,41.45,41.70,41.32,41.49,5308809
5-Oct-15,41.14,41.64,41.07,41.56,6445478
2-Oct-15,39.98,40.75,39.28,40.75,15246340
1-Oct-15,41.02,41.31,40.53,41.13,6243827
30-Sep-15,41.14,41.26,40.76,41.01,8818115
29-Sep-15,40.52,40.72,40.18,40.65,6389846
28-Sep-15,41.15,41.34,40.30,40.42,9168834
25-Sep-15,41.47,42.00,41.30,41.67,8788415
24-Sep-15,40.59,40.85,40.20,40.76,8296956
23-Sep-15,41.06,41.24,40.84,41.06,3917674
22-Sep-15,40.78,41.21,40.70,41.10,8789033
21-Sep-15,41.47,41.66,41.10,41.52,8452277
