Date,Open,High,Low,Close,Volume
28-Apr-17,91.39,91.55,90.98,91.22,6888471
27-Apr-17,91.95,92.00,91.28,91.60,5856781
26-Apr-17,92.02,92.48,91.75,91.82,11295240
25-Apr-17,91.99,92.35,91.58,92.11,7769203
24-Apr-17,92.15,92.50,91.01,91.85,11705374
21-Apr-17,92.77,92.80,91.02,91.15,19442584
20-Apr-17,90.14,91.50,89.90,91.15,12178320
19-Apr-17,90.09,90.62,89.60,89.75,7301338
18-Apr-17,89.64,89.92,89.24,89.73,6823460
17-Apr-17,89.09,89.90,88.75,89.81,6122795
13-Apr-17,88.47,89.78,88.43,88.87,7242743
12-Apr-17,88.70,89.21,88.56,88.68,5912460
11-Apr-17,88.60,88.85,88.13,88.85,7058509
10-Apr-17,88.62,89.25,88.52,88.86,5999394
7-Apr-17,88.97,89.24,88.52,88.74,5439513
6-Apr-17,89.00,89.26,88.78,89.09,8473909
5-Apr-17,89.13,90.20,88.95,89.03,7251617
4-Apr-17,89.01,89.33,88.66,88.78,4859944
3-Apr-17,89.14,89.46,88.40,89.36,9125775
31-Mar-17,88.98,89.35,88.87,88.87,6429764
30-Mar-17,89.08,89.10,88.60,89.01,6227073
29-Mar-17,88.99,89.39,88.56,89.18,4737996
28-Mar-17,89.12,89.42,88.49,89.12,7045509
27-Mar-17,88.31,88.99,88.07,88.95,5230008
24-Mar-17,89.06,89.60,88.97,89.19,7597620
23-Mar-17,88.47,89.39,88.42,88.86,7710654
22-Mar-17,87.85,89.04,87.85,88.52,7828563
21-Mar-17,89.49,89.71,88.00,88.06,11092126
20-Mar-17,90.29,92.05,88.96,89.18,9438042
17-Mar-17,90.25,90.63,90.17,90.24,8613377
16-Mar-17,90.31,90.33,89.47,90.04,9174440
15-Mar-17,89.75,90.10,89.41,89.92,6350706
14-Mar-17,89.93,90.03,89.24,89.55,6009803
13-Mar-17,89.80,90.31,89.61,90.11,8944143
10-Mar-17,89.50,89.86,89.10,89.73,12247187
9-Mar-17,89.02,89.50,88.71,89.11,5953875
8-Mar-17,89.17,89.30,88.87,88.96,5866775
7-Mar-17,88.99,89.30,88.85,89.06,5688364
6-Mar-17,88.53,89.27,88.27,88.94,7347648
3-Mar-17,88.31,88.91,88.18,88.79,5713897
2-Mar-17,89.00,89.13,88.10,88.53,10544171
1-Mar-17,88.74,89.14,88.42,88.99,11131368
28-Feb-17,88.16,88.38,87.76,87.94,8521926
27-Feb-17,88.32,88.38,87.91,88.00,6131649
24-Feb-17,87.36,88.43,87.30,88.43,5151311
23-Feb-17,88.23,88.49,87.87,88.18,6040523
22-Feb-17,87.61,88.15,87.51,87.80,8389934
21-Feb-17,87.51,88.04,87.17,87.92,9301250
17-Feb-17,87.27,87.68,86.98,87.46,5887160
16-Feb-17,87.55,87.68,86.79,87.41,8680571
15-Feb-17,87.02,87.54,86.70,87.54,8049742
14-Feb-17,86.52,86.97,86.26,86.85,5952016
13-Feb-17,86.20,86.70,86.00,86.44,6046310
10-Feb-17,85.80,86.14,85.23,85.90,10431983
9-Feb-17,85.37,85.77,84.88,85.58,6554731
8-Feb-17,85.80,85.84,85.08,85.09,7587713
7-Feb-17,85.96,86.35,85.67,85.78,8600299
6-Feb-17,86.07,86.10,85.51,85.83,9665269
3-Feb-17,85.74,86.82,85.11,86.08,28079568
2-Feb-17,82.14,82.70,81.57,82.30,11142259
1-Feb-17,82.90,83.09,82.05,82.44,7534371
31-Jan-17,82.13,83.28,82.10,82.71,7479425
30-Jan-17,83.47,83.74,82.66,83.70,8792818
27-Jan-17,83.32,83.80,82.92,83.77,5445940
26-Jan-17,83.92,83.92,83.08,83.24,8428212
25-Jan-17,83.79,84.27,83.45,83.90,9360857
24-Jan-17,82.40,83.49,81.85,83.23,8397522
23-Jan-17,81.70,82.30,81.50,82.15,7414232
20-Jan-17,82.09,82.28,81.61,81.84,9048515
19-Jan-17,81.79,81.85,81.41,81.73,6479361
18-Jan-17,81.27,81.83,80.98,81.59,8512272
17-Jan-17,80.76,81.49,80.76,81.26,6326480
13-Jan-17,81.02,81.85,80.79,81.17,7291220
12-Jan-17,81.05,81.47,80.51,81.37,6884016
11-Jan-17,81.25,81.80,80.91,81.80,7499170
10-Jan-17,81.70,81.90,81.13,81.31,6017500
9-Jan-17,82.28,82.45,81.65,81.75,7305302
6-Jan-17,81.30,82.49,80.94,82.21,8898332
5-Jan-17,80.34,81.53,80.22,81.09,7805139
4-Jan-17,79.44,80.26,79.36,80.15,8033051
3-Jan-17,78.76,79.91,78.49,79.50,13785211
30-Dec-16,78.43,78.54,77.94,78.02,7127305
29-Dec-16,78.49,78.84,78.30,78.33,6241083
28-Dec-16,78.40,78.65,77.97,78.30,7587068
27-Dec-16,78.27,78.85,78.23,78.35,3776005
23-Dec-16,78.08,78.48,77.90,78.15,6192947
22-Dec-16,78.02,78.06,77.19,77.90,12074044
21-Dec-16,78.48,78.55,77.98,78.14,9343636
20-Dec-16,78.41,78.58,77.69,78.36,6917426
19-Dec-16,78.04,78.60,78.02,78.10,8699074
16-Dec-16,79.22,79.46,78.17,78.35,19141694
15-Dec-16,79.37,80.39,79.13,79.50,14070899
14-Dec-16,79.28,79.98,79.12,79.13,20146201
13-Dec-16,78.81,79.50,78.25,79.20,12995086
12-Dec-16,78.99,79.03,77.92,78.50,11942252
9-Dec-16,79.15,79.93,78.83,79.14,10728310
8-Dec-16,79.68,79.87,78.97,79.28,13320094
7-Dec-16,77.27,79.49,77.25,79.31,13919763
6-Dec-16,77.94,77.97,76.71,77.11,13896640
5-Dec-16,76.63,77.60,76.55,77.31,12119198
2-Dec-16,75.40,76.25,75.17,75.72,13629619
1-Dec-16,77.57,77.62,75.25,75.43,21052986
30-Nov-16,79.45,79.45,77.28,77.32,15353872
29-Nov-16,79.12,79.58,78.95,79.15,8575239
28-Nov-16,79.66,80.01,79.05,79.08,11793084
25-Nov-16,79.99,80.37,79.74,80.13,6495826
23-Nov-16,79.98,79.99,78.95,79.57,12861961
22-Nov-16,81.69,81.69,79.26,79.93,18133893
21-Nov-16,81.23,81.78,80.90,81.69,8942057
18-Nov-16,81.15,81.50,80.53,80.82,7920808
17-Nov-16,80.32,81.20,80.18,81.07,7863718
16-Nov-16,78.79,80.19,78.76,80.08,9997671
15-Nov-16,78.23,79.54,77.80,78.57,18523447
14-Nov-16,82.02,82.22,77.30,78.38,21773523
11-Nov-16,81.59,82.63,81.52,81.88,7367994
10-Nov-16,83.30,83.96,81.42,81.87,17171681
9-Nov-16,81.81,83.30,81.22,83.24,12158464
8-Nov-16,82.39,83.16,82.15,82.88,7151960
7-Nov-16,81.64,82.53,81.45,82.51,7277898
4-Nov-16,80.65,81.24,80.32,80.36,7588118
3-Nov-16,80.75,81.13,80.54,80.65,7563109
2-Nov-16,80.89,81.38,80.52,80.58,9170944
1-Nov-16,82.64,82.69,81.33,81.62,10881514
31-Oct-16,82.44,82.90,82.36,82.51,10024036
28-Oct-16,82.52,83.36,82.11,82.22,10919564
27-Oct-16,81.96,82.27,81.61,81.92,7039234
26-Oct-16,81.62,82.26,81.41,81.75,8748420
25-Oct-16,82.15,82.99,81.70,82.03,15085850
24-Oct-16,83.27,83.59,82.71,83.17,16266997
21-Oct-16,82.02,82.54,81.58,82.35,8043196
20-Oct-16,83.05,83.10,82.17,82.50,6945209
19-Oct-16,81.65,82.87,81.65,82.81,8440945
18-Oct-16,81.50,82.37,81.35,81.58,11680407
17-Oct-16,82.58,82.69,82.04,82.15,8473733
14-Oct-16,82.04,83.19,82.04,82.45,6698083
13-Oct-16,81.65,82.13,81.11,81.87,6810946
12-Oct-16,81.84,82.54,81.82,82.25,3923636
11-Oct-16,82.68,82.79,81.57,82.04,6227356
10-Oct-16,83.13,83.54,82.94,83.12,7371537
7-Oct-16,83.49,83.70,82.64,82.88,8238129
6-Oct-16,83.12,83.48,82.88,83.36,7687143
5-Oct-16,82.96,83.45,82.90,83.35,6163375
4-Oct-16,83.28,83.53,82.58,82.73,5771983
3-Oct-16,82.42,83.11,82.30,82.86,8155414
30-Sep-16,82.16,83.04,81.68,82.70,9776837
29-Sep-16,82.72,83.06,81.79,81.92,5885376
28-Sep-16,82.38,83.01,81.94,82.97,7974323
27-Sep-16,81.79,82.38,81.50,82.16,7969487
26-Sep-16,82.15,82.26,81.68,81.81,8486752
23-Sep-16,83.33,83.45,82.52,82.54,8283718
22-Sep-16,83.42,83.79,83.20,83.36,6599440
21-Sep-16,82.92,83.25,82.27,83.22,7536200
20-Sep-16,82.97,83.23,82.32,82.48,6473252
19-Sep-16,82.43,83.04,82.23,82.51,8361653
16-Sep-16,81.74,82.26,81.42,82.07,11702036
15-Sep-16,81.42,82.13,81.19,82.01,10636516
14-Sep-16,81.46,82.22,81.45,81.49,10999521
13-Sep-16,82.41,82.44,81.62,81.89,8834328
12-Sep-16,81.34,83.13,81.18,82.97,9882701
9-Sep-16,82.40,82.81,81.33,81.33,11562959
8-Sep-16,83.02,83.63,82.59,82.97,7961076
7-Sep-16,82.48,83.26,82.36,83.24,9304730
6-Sep-16,82.00,82.53,81.81,82.53,8140388
2-Sep-16,81.57,82.14,81.50,82.00,6356885
1-Sep-16,81.14,81.55,80.97,81.30,6240551
31-Aug-16,80.95,81.20,80.71,80.90,7386069
30-Aug-16,81.00,81.19,80.72,81.17,4128693
29-Aug-16,80.54,80.99,80.54,80.87,4766662
26-Aug-16,80.62,81.14,80.17,80.57,7932220
25-Aug-16,80.29,80.52,80.00,80.32,5773650
24-Aug-16,80.80,80.98,80.19,80.29,5027955
23-Aug-16,81.37,81.76,80.80,80.80,10007765
22-Aug-16,80.34,81.08,79.96,81.06,7954481
19-Aug-16,80.01,80.47,79.74,80.47,8480876
18-Aug-16,80.01,80.59,79.91,80.27,7453931
17-Aug-16,80.71,80.86,80.40,80.84,4655396
16-Aug-16,80.42,80.91,80.22,80.81,6182560
15-Aug-16,80.13,81.15,80.02,80.91,6290330
12-Aug-16,79.80,80.08,79.65,80.02,4420370
11-Aug-16,80.00,80.28,79.84,80.12,6577663
10-Aug-16,79.97,80.22,79.51,79.68,5945458
9-Aug-16,79.96,80.48,79.95,80.06,4455661
