Date,Open,High,Low,Close,Volume
28-Apr-17,89.32,91.06,88.83,90.74,1521302
27-Apr-17,90.24,93.31,88.78,89.02,2379354
26-Apr-17,88.74,90.12,88.45,90.06,1630013
25-Apr-17,88.84,89.10,88.35,88.37,1050469
24-Apr-17,88.24,89.00,87.49,88.40,1663585
21-Apr-17,89.21,89.36,88.72,89.00,865231
20-Apr-17,88.70,89.50,88.12,89.32,978786
19-Apr-17,89.19,89.31,88.42,88.65,1041147
18-Apr-17,88.80,89.26,88.27,88.41,1392373
17-Apr-17,88.91,89.48,88.80,89.26,579603
13-Apr-17,89.07,89.36,88.81,88.86,692609
12-Apr-17,90.40,90.42,89.32,89.44,1061281
11-Apr-17,90.12,90.55,88.44,90.04,1741805
10-Apr-17,90.73,90.96,90.18,90.43,748415
7-Apr-17,91.03,91.31,90.62,90.78,973287
6-Apr-17,91.16,91.81,90.80,91.35,881726
5-Apr-17,91.57,92.16,90.94,91.03,715350
4-Apr-17,91.10,91.45,90.30,91.24,954741
3-Apr-17,91.07,91.70,90.84,91.49,1017527
31-Mar-17,90.99,91.38,90.83,91.13,454114
30-Mar-17,91.01,91.47,90.76,91.17,511077
29-Mar-17,91.20,91.31,90.87,91.14,469945
28-Mar-17,91.44,91.70,90.57,91.35,620432
27-Mar-17,90.81,91.71,90.32,91.65,675363
24-Mar-17,91.55,91.78,90.86,91.18,734539
23-Mar-17,91.36,91.99,91.10,91.34,471668
22-Mar-17,90.99,91.44,90.62,91.36,655090
21-Mar-17,91.87,92.57,90.64,90.74,1002614
20-Mar-17,91.43,92.00,91.24,91.51,860589
17-Mar-17,89.95,91.90,89.89,91.52,1318146
16-Mar-17,90.15,90.56,89.71,89.89,732723
15-Mar-17,88.51,90.61,88.33,90.22,992527
14-Mar-17,87.78,88.45,87.68,88.23,822127
13-Mar-17,87.77,88.27,87.67,88.19,821770
10-Mar-17,86.94,87.95,86.93,87.84,762653
9-Mar-17,86.88,87.47,86.66,87.36,524045
8-Mar-17,86.15,86.96,85.97,86.66,807022
7-Mar-17,85.71,86.51,85.47,86.06,650522
6-Mar-17,86.29,86.80,85.94,86.18,1240389
3-Mar-17,85.99,86.97,85.80,86.92,1255390
2-Mar-17,85.43,86.46,85.23,86.03,994395
1-Mar-17,84.62,85.79,84.23,85.53,732391
28-Feb-17,84.03,84.57,83.54,83.89,976856
27-Feb-17,84.47,84.72,84.11,84.26,760424
24-Feb-17,83.56,84.79,83.56,84.72,748990
23-Feb-17,83.59,84.15,83.20,84.03,470501
22-Feb-17,83.43,83.62,82.74,83.54,775201
21-Feb-17,83.98,84.01,83.10,83.54,871149
17-Feb-17,81.89,83.84,81.55,83.61,2131569
16-Feb-17,81.02,81.98,81.02,81.93,940385
15-Feb-17,80.32,81.25,80.32,81.12,633798
14-Feb-17,79.86,80.75,79.86,80.60,552379
13-Feb-17,80.37,80.65,79.64,80.17,769756
10-Feb-17,80.40,80.76,80.19,80.40,556544
9-Feb-17,79.02,80.38,79.02,80.08,632090
8-Feb-17,77.93,79.54,77.73,79.21,838352
7-Feb-17,78.38,79.01,78.14,78.43,822272
6-Feb-17,79.50,79.86,77.82,78.26,875417
3-Feb-17,78.75,79.87,78.45,79.78,866355
2-Feb-17,78.75,78.99,78.15,78.60,1090528
1-Feb-17,77.70,79.16,77.42,79.11,1126898
31-Jan-17,77.68,77.96,77.08,77.65,1318006
30-Jan-17,78.05,78.99,76.94,77.68,2495297
27-Jan-17,86.36,88.81,86.15,88.80,1538713
26-Jan-17,89.88,92.00,86.31,86.47,3579290
25-Jan-17,90.39,92.83,89.94,92.42,2305220
24-Jan-17,90.28,90.59,89.32,90.30,1132867
23-Jan-17,90.00,90.43,89.55,90.00,1232381
20-Jan-17,89.41,90.00,89.35,89.92,733101
19-Jan-17,89.64,89.92,89.07,89.48,924728
18-Jan-17,90.30,90.30,88.89,89.78,801152
17-Jan-17,90.06,90.44,89.73,90.06,1125216
13-Jan-17,90.48,91.13,90.01,90.68,596687
12-Jan-17,89.75,90.22,89.12,90.15,628344
11-Jan-17,90.11,91.56,89.26,90.11,1154095
10-Jan-17,89.54,90.20,89.26,89.99,1181322
9-Jan-17,89.46,89.90,88.81,89.57,619016
6-Jan-17,88.70,89.75,88.70,89.21,691413
5-Jan-17,88.92,89.16,88.42,88.82,710847
4-Jan-17,90.82,90.82,88.12,89.14,985666
3-Jan-17,90.28,90.68,89.47,90.68,868391
30-Dec-16,90.66,90.68,89.45,89.78,554068
29-Dec-16,90.54,91.16,89.96,90.24,482246
28-Dec-16,91.54,91.61,90.59,90.65,315743
27-Dec-16,91.08,91.87,91.08,91.58,327977
23-Dec-16,90.54,91.32,89.95,91.01,252445
22-Dec-16,90.56,90.75,89.94,90.27,415284
21-Dec-16,90.61,90.92,90.11,90.46,489476
20-Dec-16,90.99,91.34,90.44,90.49,388510
19-Dec-16,91.13,91.64,90.95,91.11,569351
16-Dec-16,91.58,91.98,90.90,91.06,1145350
15-Dec-16,90.66,91.42,90.38,91.26,824547
14-Dec-16,92.09,92.27,90.36,90.81,889863
13-Dec-16,91.80,92.57,91.43,92.19,755695
12-Dec-16,91.09,91.72,91.06,91.48,567711
9-Dec-16,90.57,91.38,90.45,91.24,526099
8-Dec-16,90.30,90.73,89.97,90.54,734712
7-Dec-16,89.32,90.54,88.58,90.22,757982
6-Dec-16,90.50,90.70,88.67,89.78,634209
5-Dec-16,90.40,90.54,89.71,90.10,1110999
2-Dec-16,89.27,90.00,88.51,89.78,557818
1-Dec-16,89.95,90.18,88.43,88.67,719253
30-Nov-16,91.30,91.36,89.35,89.83,877115
29-Nov-16,91.09,91.87,91.09,91.36,520549
28-Nov-16,91.66,92.13,91.00,91.08,629746
25-Nov-16,91.89,92.45,91.60,92.14,317563
23-Nov-16,89.76,91.62,89.50,91.62,621019
22-Nov-16,89.33,90.04,88.59,89.99,637667
21-Nov-16,88.35,89.83,88.35,89.66,658576
18-Nov-16,89.28,89.98,87.99,88.25,1659820
17-Nov-16,88.73,89.65,88.73,89.52,579073
16-Nov-16,89.22,89.60,88.44,88.62,714988
15-Nov-16,88.11,89.56,88.03,89.36,608998
14-Nov-16,88.03,88.80,87.52,87.84,993091
11-Nov-16,88.58,89.16,87.85,87.99,666722
10-Nov-16,89.34,89.98,87.53,88.85,1091209
9-Nov-16,89.52,90.00,85.76,88.51,1723280
