Date,Open,High,Low,Close,Volume
28-Apr-17,55.74,56.41,54.50,54.63,7553950
27-Apr-17,57.05,58.01,56.84,57.85,4814180
26-Apr-17,56.33,57.24,56.20,56.84,3279461
25-Apr-17,56.24,56.31,55.57,56.11,3285528
24-Apr-17,56.44,56.50,55.87,55.92,5339051
21-Apr-17,56.40,56.50,55.62,55.85,3363226
20-Apr-17,55.73,56.59,55.68,56.44,3123866
19-Apr-17,55.41,55.87,55.23,55.52,2325412
18-Apr-17,54.82,55.28,54.73,55.16,2312676
17-Apr-17,54.99,55.19,54.82,55.04,2676158
13-Apr-17,55.11,55.50,54.78,54.80,3116954
12-Apr-17,54.86,55.47,54.74,55.04,5206412
11-Apr-17,54.68,55.09,54.57,55.06,2548032
10-Apr-17,54.39,55.16,54.37,54.70,2530212
7-Apr-17,54.13,54.44,53.96,54.20,2874946
6-Apr-17,53.98,55.04,53.84,54.19,3257522
5-Apr-17,54.08,54.33,53.73,53.84,3553556
4-Apr-17,54.45,54.72,53.62,53.94,3082177
3-Apr-17,55.16,55.51,54.59,54.64,3417311
31-Mar-17,54.22,55.10,54.14,54.97,4461281
30-Mar-17,55.79,55.79,53.81,54.13,5991583
29-Mar-17,55.49,56.27,55.36,56.20,3284766
28-Mar-17,54.68,55.69,54.54,55.32,4599310
27-Mar-17,53.64,54.88,53.53,54.69,4221503
24-Mar-17,53.92,54.24,53.70,54.06,4198461
23-Mar-17,53.65,54.26,53.48,53.87,4528029
22-Mar-17,52.75,53.14,52.45,53.09,3457625
21-Mar-17,53.84,53.89,52.28,53.05,5345608
20-Mar-17,54.03,54.31,53.53,53.87,5022947
17-Mar-17,54.32,54.52,53.95,53.95,8198478
16-Mar-17,53.83,54.36,53.72,54.15,3076869
15-Mar-17,52.96,54.05,52.96,53.88,4021963
14-Mar-17,53.06,53.62,53.06,53.26,2994533
13-Mar-17,53.10,53.36,52.68,53.10,3247894
10-Mar-17,52.84,53.11,52.77,52.93,2401326
9-Mar-17,52.74,52.96,52.39,52.66,2177228
8-Mar-17,52.56,53.00,52.20,52.81,2251094
7-Mar-17,52.53,52.94,52.30,52.62,2984949
6-Mar-17,52.62,53.20,52.54,53.01,2930114
3-Mar-17,53.68,53.78,52.49,52.59,4365010
2-Mar-17,53.20,53.38,52.72,53.34,3909529
1-Mar-17,52.68,53.06,52.18,52.83,4175197
28-Feb-17,53.02,53.15,52.14,52.45,3901294
27-Feb-17,53.06,53.50,52.97,53.07,3263674
24-Feb-17,52.84,53.65,52.32,53.06,4573276
23-Feb-17,53.63,53.95,52.48,52.55,4857113
22-Feb-17,52.90,53.94,52.90,53.50,5479808
21-Feb-17,52.84,53.11,52.26,52.42,5527816
17-Feb-17,51.27,52.87,50.34,52.68,8838068
16-Feb-17,50.95,51.24,50.15,50.37,7015040
15-Feb-17,50.58,50.67,50.07,50.52,5715346
14-Feb-17,50.09,50.99,49.93,50.87,3672263
13-Feb-17,50.53,50.91,50.26,50.39,4671296
10-Feb-17,49.75,50.70,49.65,50.32,4266517
9-Feb-17,49.14,49.86,49.06,49.47,3070564
8-Feb-17,48.45,49.24,48.05,49.09,4375181
