Date,Open,High,Low,Close,Volume
28-Apr-17,65.62,65.64,64.41,64.61,4079246
27-Apr-17,64.68,65.49,63.85,65.32,4222496
26-Apr-17,65.41,65.75,64.81,64.90,6540483
25-Apr-17,67.15,67.69,65.01,65.83,7379746
24-Apr-17,65.70,67.21,65.70,66.82,7074976
21-Apr-17,64.59,65.63,64.20,65.23,5113234
20-Apr-17,63.68,64.71,63.56,64.10,2777836
19-Apr-17,64.22,64.37,63.26,63.49,4988347
18-Apr-17,64.93,65.10,63.58,64.15,4606085
17-Apr-17,64.74,65.20,64.65,65.19,2909848
13-Apr-17,65.17,65.63,64.58,64.68,3105204
12-Apr-17,65.90,66.25,65.07,65.13,4156219
11-Apr-17,65.27,65.66,64.78,65.63,3927450
10-Apr-17,65.60,66.24,65.30,65.35,3409388
7-Apr-17,65.07,66.10,65.00,65.57,3854615
6-Apr-17,65.11,65.59,64.71,65.07,3378058
5-Apr-17,66.12,66.70,65.00,65.09,3236739
4-Apr-17,65.75,66.30,65.37,65.81,3101537
3-Apr-17,66.59,66.59,65.66,66.23,3319449
31-Mar-17,66.23,66.67,66.06,66.29,3622057
30-Mar-17,67.28,67.31,66.20,66.23,7512752
29-Mar-17,66.20,67.40,66.11,67.14,3326870
28-Mar-17,66.52,66.64,65.65,66.29,3443381
27-Mar-17,65.54,66.53,65.45,66.23,2799341
24-Mar-17,66.84,67.04,65.70,65.78,4372045
23-Mar-17,67.63,67.94,67.02,67.10,3298752
22-Mar-17,67.16,67.87,66.80,67.57,3123491
21-Mar-17,68.60,68.70,66.73,67.15,4068049
20-Mar-17,68.74,69.12,68.18,68.53,3175135
17-Mar-17,68.75,68.98,68.26,68.90,9529901
16-Mar-17,68.93,69.20,68.47,68.55,3654241
15-Mar-17,67.73,69.00,67.13,68.73,4751235
14-Mar-17,67.32,67.70,66.83,67.44,2955367
13-Mar-17,66.51,67.88,66.51,67.66,4970722
10-Mar-17,66.67,67.37,66.25,66.57,4471559
9-Mar-17,66.76,66.76,65.58,66.48,4720291
8-Mar-17,66.00,67.48,65.83,66.87,7446438
