Date,Open,High,Low,Close,Volume
28-Apr-17,122.63,122.69,120.76,120.88,759330
27-Apr-17,120.85,122.98,119.92,122.80,711738
26-Apr-17,121.51,121.51,120.25,120.73,898516
25-Apr-17,122.75,123.44,121.18,121.45,1128555
24-Apr-17,122.12,122.77,121.45,122.02,974372
21-Apr-17,119.92,121.35,119.28,120.97,1193525
20-Apr-17,117.98,120.52,117.76,119.83,793752
19-Apr-17,117.76,118.90,116.93,117.41,841783
18-Apr-17,117.58,118.34,116.37,116.90,752956
17-Apr-17,117.46,118.62,117.29,118.19,728718
13-Apr-17,117.35,118.10,116.26,117.28,1262961
12-Apr-17,120.92,120.92,117.30,117.94,1217424
11-Apr-17,120.88,121.65,118.89,121.19,893730
10-Apr-17,123.76,123.76,121.00,121.34,1480789
7-Apr-17,120.95,124.29,120.95,123.99,2923925
6-Apr-17,118.50,120.26,118.40,119.35,1012571
5-Apr-17,119.77,121.16,118.00,118.22,1513476
4-Apr-17,119.33,119.95,118.36,119.25,1149126
3-Apr-17,120.13,120.69,117.88,119.36,1268959
31-Mar-17,117.34,121.04,117.25,120.48,1676742
30-Mar-17,120.51,121.60,116.86,117.69,2100540
29-Mar-17,115.30,118.78,114.92,118.16,2030762
28-Mar-17,112.25,115.44,112.14,114.60,1699474
27-Mar-17,110.00,113.05,108.95,112.50,1899746
24-Mar-17,114.95,115.23,111.53,112.74,1661731
23-Mar-17,115.28,116.30,114.37,115.39,1193345
22-Mar-17,114.00,115.57,113.34,115.30,1231943
21-Mar-17,115.85,116.16,113.70,114.10,1298004
20-Mar-17,116.82,116.96,114.59,115.05,1370174
17-Mar-17,116.55,117.62,116.34,116.47,1759783
16-Mar-17,119.51,119.58,115.83,116.39,1955687
15-Mar-17,118.14,119.26,116.90,118.83,2084715
14-Mar-17,118.56,119.54,117.65,117.94,803198
13-Mar-17,118.87,119.73,118.18,119.59,1255746
10-Mar-17,118.17,120.26,116.90,118.75,1656454
9-Mar-17,118.92,119.95,115.48,116.90,1837444
8-Mar-17,118.63,120.33,118.37,119.11,894023
7-Mar-17,120.00,120.24,117.66,118.37,1313853
6-Mar-17,120.55,121.50,119.71,120.22,998683
3-Mar-17,121.55,122.34,120.57,121.47,1441028
2-Mar-17,124.25,124.27,121.00,121.32,1597153
1-Mar-17,123.17,125.30,122.54,124.38,2632213
28-Feb-17,120.97,121.87,119.80,120.61,1589995
27-Feb-17,117.27,122.77,116.82,120.60,1894306
24-Feb-17,114.78,118.42,114.10,117.82,1792304
23-Feb-17,120.33,120.76,114.80,116.35,3562534
22-Feb-17,121.30,122.17,120.00,120.14,1145364
21-Feb-17,119.96,122.42,119.80,121.32,1572431
17-Feb-17,120.25,120.57,118.27,119.33,1471913
16-Feb-17,123.21,123.52,119.80,120.40,1563890
15-Feb-17,122.78,123.97,122.35,123.11,1331624
14-Feb-17,121.99,122.78,120.50,122.74,1607132
13-Feb-17,124.47,129.25,122.37,122.46,2054021
10-Feb-17,121.48,124.41,121.27,122.60,2229470
9-Feb-17,120.75,121.39,119.78,120.50,2188674
8-Feb-17,121.40,122.98,118.57,120.29,2892043
7-Feb-17,120.74,125.00,120.60,121.80,4258974
6-Feb-17,128.73,129.12,126.69,128.08,1271239
3-Feb-17,128.97,129.90,128.11,128.88,841776
2-Feb-17,128.50,130.15,127.56,128.01,1221187
1-Feb-17,128.97,129.77,127.49,128.32,1247165
31-Jan-17,130.77,131.60,126.83,128.33,1485904
30-Jan-17,133.90,133.90,129.73,130.73,1739230
27-Jan-17,135.88,136.00,133.91,134.36,507768
26-Jan-17,135.94,136.82,134.35,135.25,955366
25-Jan-17,134.28,136.24,134.13,135.28,1574210
24-Jan-17,130.35,133.35,129.71,132.35,1146705
23-Jan-17,130.06,130.52,128.12,129.53,1107000
20-Jan-17,126.83,130.32,126.83,129.87,1304247
19-Jan-17,127.53,128.39,125.18,126.30,1315127
18-Jan-17,123.77,127.62,122.81,127.30,1572189
17-Jan-17,124.37,124.37,121.53,123.66,750973
13-Jan-17,122.72,124.50,122.69,124.40,898331
