Date,Open,High,Low,Close,Volume
28-Apr-17,96.39,96.48,95.57,96.24,940453
27-Apr-17,97.70,98.38,96.24,96.51,1209341
26-Apr-17,100.27,100.78,97.57,97.59,1283253
25-Apr-17,100.03,100.81,99.54,100.56,1064677
24-Apr-17,102.22,102.52,99.24,99.78,1067858
21-Apr-17,101.44,101.83,101.18,101.60,723053
20-Apr-17,102.35,102.35,100.97,101.57,1136867
19-Apr-17,102.91,103.21,101.85,102.19,840769
18-Apr-17,102.57,103.35,102.27,102.97,616229
17-Apr-17,101.66,103.07,101.53,103.06,765623
13-Apr-17,102.34,102.43,101.13,101.28,537544
12-Apr-17,102.67,103.21,102.00,102.39,641092
11-Apr-17,102.08,102.96,101.76,102.47,700701
10-Apr-17,101.64,102.24,101.41,102.06,646024
7-Apr-17,101.72,102.60,101.50,101.62,683033
6-Apr-17,100.81,102.09,100.22,101.87,856113
5-Apr-17,101.72,102.33,100.52,100.81,1036836
4-Apr-17,100.95,102.02,100.56,101.67,2245724
3-Apr-17,100.35,101.45,100.01,100.89,1084821
31-Mar-17,100.31,101.04,99.74,100.31,945886
30-Mar-17,99.39,100.43,98.91,100.37,873068
29-Mar-17,99.96,100.33,99.41,99.70,983075
28-Mar-17,100.29,100.40,98.51,100.18,1161731
27-Mar-17,100.76,101.25,99.60,100.24,1266962
24-Mar-17,102.40,102.98,100.74,100.92,905323
23-Mar-17,101.37,103.01,101.37,102.24,1658628
22-Mar-17,102.62,102.62,100.73,101.46,1111563
21-Mar-17,104.68,104.86,102.24,102.38,1244969
20-Mar-17,105.12,105.28,103.80,104.11,656791
17-Mar-17,104.55,105.89,104.19,105.13,1111899
16-Mar-17,104.76,105.38,104.16,104.30,625671
15-Mar-17,102.69,105.35,102.69,104.77,870989
14-Mar-17,102.80,103.29,101.94,102.45,901759
13-Mar-17,103.38,103.56,102.40,102.79,1155265
10-Mar-17,105.06,105.50,102.49,103.20,868075
9-Mar-17,105.90,106.13,103.86,104.16,988886
8-Mar-17,107.45,107.45,105.87,105.89,786711
7-Mar-17,108.32,108.62,107.68,107.85,443743
6-Mar-17,108.36,108.82,107.72,108.26,492801
3-Mar-17,108.25,109.10,107.35,108.77,669303
