Date,Open,High,Low,Close,Volume
28-Apr-17,91.00,91.80,88.18,88.92,1581656
27-Apr-17,88.83,89.10,88.08,88.53,981234
26-Apr-17,89.30,89.71,88.78,88.84,617787
25-Apr-17,88.77,89.49,88.57,89.28,648514
24-Apr-17,89.27,89.35,88.22,88.50,978449
21-Apr-17,88.64,89.07,88.35,88.45,918267
20-Apr-17,89.27,89.30,88.10,88.71,724283
19-Apr-17,88.57,89.89,88.53,88.82,1137291
18-Apr-17,88.71,89.13,88.29,88.42,489692
17-Apr-17,88.03,89.04,88.03,88.84,436273
13-Apr-17,87.91,88.72,87.43,87.68,926891
12-Apr-17,88.93,88.93,87.85,87.94,700334
11-Apr-17,87.02,88.23,87.02,87.91,746265
10-Apr-17,87.61,88.04,87.08,87.11,661433
7-Apr-17,87.24,87.47,87.06,87.26,614539
6-Apr-17,87.98,87.98,87.06,87.26,614515
5-Apr-17,87.58,88.76,87.52,87.67,966423
4-Apr-17,87.57,87.97,87.08,87.30,935205
3-Apr-17,87.49,88.10,87.01,87.63,729994
31-Mar-17,86.87,87.35,86.74,87.11,621714
30-Mar-17,86.99,87.66,86.97,87.19,400248
29-Mar-17,86.64,87.20,86.26,87.18,707259
28-Mar-17,86.88,87.27,86.34,86.87,517469
27-Mar-17,86.39,87.30,86.16,86.97,440569
24-Mar-17,87.45,88.08,86.92,87.19,950930
23-Mar-17,86.79,87.45,86.79,87.39,638945
22-Mar-17,86.66,87.16,86.17,86.94,615678
21-Mar-17,86.94,87.41,86.21,86.44,1037713
20-Mar-17,86.41,86.79,86.20,86.57,507220
17-Mar-17,87.51,87.58,86.23,86.25,1301057
16-Mar-17,87.04,87.58,86.99,87.44,606126
15-Mar-17,86.34,87.17,85.84,86.95,740722
14-Mar-17,85.89,86.49,85.64,86.13,886134
13-Mar-17,85.62,86.47,85.62,86.34,978602
10-Mar-17,85.01,85.53,84.89,85.48,1181794
9-Mar-17,84.95,85.50,84.65,84.85,1086345
8-Mar-17,83.94,85.57,83.64,84.89,1034678
7-Mar-17,83.92,84.36,83.59,83.66,664552
6-Mar-17,83.81,84.52,83.44,84.15,868425
3-Mar-17,83.60,84.13,83.37,84.04,620870
2-Mar-17,83.84,84.25,82.56,83.62,674096
1-Mar-17,83.25,84.64,82.90,84.12,1843405
28-Feb-17,82.78,82.78,81.96,82.47,1572111
27-Feb-17,82.95,83.18,82.38,82.54,572676
24-Feb-17,82.13,83.33,81.91,83.31,521635
23-Feb-17,82.30,82.71,81.76,82.40,588436
22-Feb-17,82.73,83.42,82.08,82.19,687954
21-Feb-17,82.16,83.53,82.16,82.98,1719491
17-Feb-17,81.82,82.59,81.79,82.30,647373
16-Feb-17,83.09,83.68,81.58,81.92,913522
15-Feb-17,82.47,83.55,81.93,82.85,4053797
14-Feb-17,82.76,83.99,82.48,82.68,2435720
13-Feb-17,82.96,83.75,82.75,82.90,1641979
10-Feb-17,83.25,85.52,81.17,83.14,1417064
9-Feb-17,82.67,83.48,82.13,82.52,1036133
8-Feb-17,81.85,83.16,81.68,82.57,875935
7-Feb-17,82.41,82.97,81.98,82.26,784410
6-Feb-17,81.93,82.22,81.48,82.18,532090
3-Feb-17,81.98,82.63,81.42,82.11,613746
2-Feb-17,79.83,81.83,79.21,81.70,910072
1-Feb-17,80.09,81.54,79.58,80.23,1120592
31-Jan-17,81.14,81.23,79.60,80.21,795071
30-Jan-17,80.77,81.05,80.03,80.84,414862
27-Jan-17,81.78,81.83,81.04,81.22,377171
26-Jan-17,81.37,82.00,81.01,81.55,584563
25-Jan-17,81.14,81.55,80.56,81.31,638352
24-Jan-17,80.44,80.83,79.96,80.55,541861
23-Jan-17,80.25,80.66,79.98,80.18,459190
