Date,Open,High,Low,Close,Volume
28-Apr-17,64.14,64.77,62.83,64.01,2503395
27-Apr-17,64.13,64.76,63.94,64.12,1331795
26-Apr-17,64.57,64.63,63.98,64.01,1853828
25-Apr-17,64.75,64.95,64.42,64.68,1897099
24-Apr-17,66.12,66.20,63.67,64.63,2790789
21-Apr-17,65.82,66.29,65.75,65.78,1655488
20-Apr-17,66.37,66.40,65.63,65.95,2695604
19-Apr-17,66.74,66.89,66.09,66.41,2293571
18-Apr-17,65.84,66.95,65.67,66.79,2227171
17-Apr-17,65.32,65.84,65.10,65.84,1274000
13-Apr-17,65.43,65.80,64.99,65.06,1107393
12-Apr-17,65.47,65.79,65.22,65.64,1162904
11-Apr-17,65.21,65.64,64.95,65.47,1228392
10-Apr-17,64.92,65.28,64.70,65.16,1607322
7-Apr-17,64.66,65.38,64.66,64.87,2199220
6-Apr-17,64.56,64.92,64.10,64.71,1602461
5-Apr-17,64.30,65.07,64.10,64.58,1452285
4-Apr-17,65.04,65.23,64.17,64.19,2206712
3-Apr-17,65.07,65.18,64.64,65.10,1530199
31-Mar-17,64.32,65.11,63.89,65.04,2530460
30-Mar-17,64.44,64.60,63.84,64.50,2211359
29-Mar-17,64.56,64.82,64.35,64.66,1737691
28-Mar-17,64.08,64.81,63.84,64.69,2971200
27-Mar-17,63.84,64.61,63.80,64.08,2374971
24-Mar-17,63.30,63.94,63.05,63.83,2825782
23-Mar-17,62.35,63.67,62.24,63.21,3484058
22-Mar-17,61.06,62.68,61.01,62.45,3785664
21-Mar-17,60.69,61.05,60.44,60.77,2513393
20-Mar-17,60.68,61.19,60.45,60.53,1271744
17-Mar-17,60.49,61.21,60.20,60.51,2448026
16-Mar-17,60.13,60.66,59.95,60.46,1337927
15-Mar-17,59.03,60.55,58.96,60.20,2884922
14-Mar-17,59.63,59.77,59.05,59.36,2174032
13-Mar-17,60.63,60.93,59.43,59.73,2374527
10-Mar-17,60.46,60.99,59.88,60.50,1937182
9-Mar-17,61.17,61.36,59.87,60.07,2694151
8-Mar-17,62.35,62.50,61.03,61.11,1658401
7-Mar-17,62.67,62.80,62.23,62.67,1745502
6-Mar-17,63.36,63.49,62.61,62.71,1825363
3-Mar-17,63.80,63.80,62.79,63.66,1571777
2-Mar-17,64.22,64.94,63.54,64.90,2746733
1-Mar-17,64.62,64.90,63.90,64.21,2111529
28-Feb-17,65.41,65.68,64.94,65.05,2108863
27-Feb-17,65.02,65.89,64.95,65.41,1748935
24-Feb-17,63.57,65.00,63.11,64.98,2316472
23-Feb-17,63.17,63.69,62.99,63.50,2186052
22-Feb-17,63.01,63.80,62.48,62.72,1975048
21-Feb-17,62.25,62.99,61.79,62.80,1925947
17-Feb-17,62.70,62.78,61.61,62.16,2153137
16-Feb-17,61.97,63.00,61.83,62.57,1722183
15-Feb-17,61.41,61.87,60.80,61.68,1263503
14-Feb-17,62.80,62.80,61.50,61.64,1668825
13-Feb-17,61.86,62.90,61.66,62.80,1700927
10-Feb-17,61.80,62.05,61.04,61.77,2049891
9-Feb-17,62.20,62.43,61.50,61.80,2206860
8-Feb-17,62.06,62.45,61.81,62.25,1343406
7-Feb-17,61.99,62.27,61.65,61.81,1552630
6-Feb-17,61.64,62.04,61.34,61.99,1093993
3-Feb-17,62.22,62.41,61.42,61.65,2007610
2-Feb-17,60.65,61.94,60.60,61.72,1682017
1-Feb-17,61.61,61.98,60.60,60.64,1316360
31-Jan-17,61.47,62.38,61.44,61.67,2535241
30-Jan-17,61.18,61.67,60.56,61.43,1536157
27-Jan-17,61.25,61.54,60.81,61.08,1371227
26-Jan-17,61.29,61.62,60.91,60.97,1023358
25-Jan-17,61.87,62.39,61.11,61.27,1183374
24-Jan-17,61.93,62.48,61.69,61.99,1765326
23-Jan-17,61.91,62.24,61.61,61.93,1855987
20-Jan-17,61.39,62.11,61.24,61.90,1415505
19-Jan-17,61.91,62.00,61.03,61.30,1310229
18-Jan-17,62.07,62.72,62.05,62.22,1747943
17-Jan-17,61.89,62.57,61.52,62.03,1500560
13-Jan-17,61.36,61.69,61.13,61.60,1391464
12-Jan-17,61.32,61.65,60.50,61.48,1691647
11-Jan-17,61.32,62.06,60.89,61.42,1879413
10-Jan-17,62.78,62.78,60.81,61.16,2859883
9-Jan-17,63.24,63.70,62.80,63.45,1533404
6-Jan-17,63.06,63.37,62.82,63.05,1934261
5-Jan-17,62.37,63.47,61.78,63.17,2516727
4-Jan-17,62.17,62.72,62.15,62.61,2172869
3-Jan-17,62.29,62.33,61.53,62.13,2400008
30-Dec-16,61.87,62.69,61.77,62.52,1741973
29-Dec-16,61.25,61.95,60.93,61.73,1519061
28-Dec-16,61.67,61.67,60.58,61.16,1228463
27-Dec-16,60.96,61.62,60.70,61.53,1347267
23-Dec-16,61.29,61.52,60.41,60.86,1035070
22-Dec-16,61.04,61.30,60.20,61.17,1388820
21-Dec-16,62.02,62.54,61.13,61.15,2606652
20-Dec-16,61.70,62.34,61.35,61.93,2063584
19-Dec-16,61.48,62.27,61.36,61.79,2178985
16-Dec-16,60.32,61.36,59.99,61.13,5641250
15-Dec-16,60.97,61.35,59.89,60.21,3320847
14-Dec-16,63.31,63.50,60.95,61.19,2858962
13-Dec-16,63.38,63.55,62.47,63.22,2742571
12-Dec-16,62.30,63.26,62.02,63.08,3171302
9-Dec-16,62.75,63.90,62.31,62.46,2130767
8-Dec-16,61.98,62.85,61.75,62.61,2103459
7-Dec-16,60.21,62.23,60.19,62.20,2589929
6-Dec-16,59.84,60.30,59.47,60.01,1395117
5-Dec-16,59.37,59.85,58.75,59.71,1676938
2-Dec-16,58.82,60.35,58.57,59.36,2455074
1-Dec-16,59.86,59.92,57.97,58.38,2401061
30-Nov-16,60.43,60.73,59.59,60.42,4407531
29-Nov-16,60.61,61.67,60.36,61.07,1940484
28-Nov-16,60.15,60.89,59.96,60.40,2114836
25-Nov-16,60.19,60.78,60.04,60.24,826974
23-Nov-16,60.28,60.28,59.18,59.95,1687427
22-Nov-16,59.62,60.66,59.35,60.56,1907002
21-Nov-16,59.90,60.28,59.18,59.34,2150646
18-Nov-16,59.81,60.27,59.31,59.90,2096384
17-Nov-16,60.66,61.10,59.20,59.57,1967595
16-Nov-16,60.83,61.37,60.40,60.58,2218822
15-Nov-16,61.29,62.08,60.28,60.79,2495391
14-Nov-16,58.56,61.37,57.95,61.03,4141011
11-Nov-16,58.32,59.60,58.01,58.75,2989426
10-Nov-16,60.38,60.38,56.20,57.86,6090077
9-Nov-16,61.86,62.00,59.00,60.52,4019572
8-Nov-16,62.50,63.32,61.33,63.09,3743446
7-Nov-16,64.08,64.40,63.27,64.33,2166911
4-Nov-16,62.08,63.66,61.66,63.42,3072220
3-Nov-16,63.24,63.24,61.54,61.84,2655904
2-Nov-16,65.11,65.11,63.23,63.24,3593420
1-Nov-16,67.58,67.58,64.93,65.14,3023887
31-Oct-16,67.05,67.97,66.66,67.75,1800686
28-Oct-16,66.92,67.58,66.46,66.80,1215554
27-Oct-16,67.78,68.01,65.95,66.40,1699762
26-Oct-16,68.36,68.52,67.37,68.02,1313226
25-Oct-16,68.84,68.99,68.30,68.80,1145196
24-Oct-16,68.70,69.38,68.06,68.86,1029231
21-Oct-16,68.30,68.59,68.00,68.36,920506
20-Oct-16,68.98,68.98,68.28,68.69,1161550
19-Oct-16,67.68,68.10,67.39,67.95,1200689
18-Oct-16,67.40,67.99,67.18,67.66,1369849
17-Oct-16,66.98,67.48,66.71,66.88,1331478
14-Oct-16,66.45,67.32,65.80,66.71,1652006
13-Oct-16,66.13,67.42,66.01,66.72,3147604
12-Oct-16,66.40,66.81,66.31,66.50,2589453
11-Oct-16,66.65,67.15,66.12,66.31,1590055
10-Oct-16,66.97,67.57,66.64,66.76,1349096
7-Oct-16,67.45,68.36,66.82,66.95,1910441
6-Oct-16,67.43,68.05,66.36,66.99,2117926
5-Oct-16,68.43,68.77,66.85,67.43,3169929
4-Oct-16,69.16,69.16,67.55,68.14,2449154
3-Oct-16,70.17,70.40,68.89,69.19,2157851
30-Sep-16,72.41,72.98,70.59,70.63,2539974
29-Sep-16,72.41,72.61,71.29,71.91,1962820
28-Sep-16,72.25,73.03,71.87,72.93,1943255
27-Sep-16,73.10,73.23,71.86,71.96,2736018
26-Sep-16,71.97,73.20,71.80,72.86,2264755
23-Sep-16,71.41,72.53,70.74,72.22,2726567
22-Sep-16,70.60,71.59,70.60,71.44,1863098
21-Sep-16,69.31,70.29,68.29,70.07,2337048
20-Sep-16,69.03,69.53,68.97,69.24,2312886
19-Sep-16,68.18,68.70,68.11,68.63,1718353
16-Sep-16,67.64,68.12,67.06,68.04,6189641
15-Sep-16,67.45,68.17,67.14,67.96,2762936
14-Sep-16,67.79,68.17,67.35,67.62,2960826
13-Sep-16,68.63,69.04,66.69,67.33,3828285
