Date,Open,High,Low,Close,Volume
28-Apr-17,60.73,60.78,60.38,60.52,2859829
27-Apr-17,60.55,61.12,60.50,60.83,1164721
26-Apr-17,60.71,60.98,60.44,60.54,1580492
25-Apr-17,60.49,60.78,60.30,60.73,1374901
24-Apr-17,60.29,60.77,59.88,60.72,1890497
21-Apr-17,59.81,60.71,59.76,60.30,2712141
20-Apr-17,60.31,60.31,59.61,59.77,3188774
19-Apr-17,60.91,60.99,60.24,60.48,1717217
18-Apr-17,60.95,61.25,60.77,60.96,1621807
17-Apr-17,60.86,60.99,60.62,60.94,1709750
13-Apr-17,61.10,61.13,60.43,60.68,1469052
12-Apr-17,60.50,61.12,60.41,61.10,1431840
11-Apr-17,60.47,60.71,60.05,60.64,1867259
10-Apr-17,60.41,60.62,60.14,60.55,2063259
7-Apr-17,61.05,61.15,60.32,60.36,2516888
6-Apr-17,61.10,61.20,60.70,60.82,2061913
5-Apr-17,60.71,61.34,60.52,61.27,1567587
4-Apr-17,60.51,60.91,60.39,60.61,1227420
3-Apr-17,60.46,60.63,59.89,60.60,1669489
31-Mar-17,60.34,60.93,60.23,60.63,1176562
30-Mar-17,60.68,60.84,60.17,60.43,1374561
29-Mar-17,61.01,61.17,60.59,60.93,1430043
28-Mar-17,60.80,61.22,60.56,61.16,1554481
27-Mar-17,61.37,61.53,60.69,60.98,2440558
24-Mar-17,60.75,61.37,60.64,61.08,1576049
23-Mar-17,60.78,61.31,60.49,60.68,1547900
22-Mar-17,60.96,61.46,60.50,60.86,1888712
21-Mar-17,59.67,60.96,59.67,60.74,1820578
20-Mar-17,60.06,60.34,59.52,59.71,1279926
17-Mar-17,59.96,60.34,59.73,60.01,3682720
16-Mar-17,60.13,60.16,59.48,59.71,1830864
15-Mar-17,59.41,60.64,59.37,60.32,2237783
14-Mar-17,59.18,59.50,58.96,59.17,1681678
13-Mar-17,58.62,59.32,58.57,59.24,2854395
10-Mar-17,58.40,58.74,58.29,58.72,1456238
9-Mar-17,58.38,58.76,58.04,58.11,1541511
8-Mar-17,58.80,58.85,58.25,58.38,1566670
7-Mar-17,59.09,59.59,59.00,59.29,1776845
6-Mar-17,59.17,59.31,58.94,59.14,3073394
3-Mar-17,60.00,60.20,58.74,59.29,2867434
2-Mar-17,59.73,60.69,59.56,60.13,2853953
1-Mar-17,59.56,60.34,59.24,59.92,2915682
28-Feb-17,59.31,60.34,59.31,60.27,3471810
27-Feb-17,59.38,59.63,59.18,59.54,1774154
24-Feb-17,59.53,59.78,59.31,59.49,3412420
23-Feb-17,58.60,59.50,58.50,59.28,2731412
22-Feb-17,57.98,58.47,57.88,58.40,1831552
21-Feb-17,57.40,58.19,57.26,58.07,1268587
17-Feb-17,57.62,57.70,57.00,57.54,1469234
16-Feb-17,57.13,57.50,56.87,57.48,2264469
15-Feb-17,56.91,57.27,56.63,57.03,2095713
14-Feb-17,57.79,57.82,56.91,57.36,1660215
13-Feb-17,57.63,57.90,57.29,57.88,1022701
10-Feb-17,57.18,57.66,57.12,57.54,1974190
9-Feb-17,58.31,58.58,57.88,57.95,1373133
8-Feb-17,57.99,58.63,57.85,58.33,1549874
7-Feb-17,57.66,58.01,57.40,57.90,1647593
6-Feb-17,57.90,57.92,57.34,57.49,1207573
3-Feb-17,57.45,57.90,57.16,57.64,1667993
2-Feb-17,56.92,57.32,56.05,57.32,3431123
1-Feb-17,58.28,58.51,57.21,57.22,3887804
31-Jan-17,58.42,59.06,58.15,59.05,1969688
30-Jan-17,58.49,58.49,57.80,58.21,1103870
27-Jan-17,58.50,58.55,58.09,58.23,734314
26-Jan-17,58.06,58.54,57.88,58.28,1187178
25-Jan-17,58.21,58.46,58.10,58.14,1324374
24-Jan-17,58.39,58.59,58.20,58.43,1066020
23-Jan-17,58.71,58.83,58.30,58.39,1148429
20-Jan-17,58.55,58.80,58.18,58.50,1381495
19-Jan-17,58.88,59.07,58.34,58.56,1229344
18-Jan-17,59.22,59.63,59.13,59.38,936129
17-Jan-17,59.05,59.61,58.75,59.35,1221859
13-Jan-17,58.53,58.91,58.38,58.74,835277
12-Jan-17,58.70,58.88,58.23,58.70,1171427
11-Jan-17,57.95,58.74,57.88,58.65,1290876
10-Jan-17,58.04,58.20,57.63,58.10,1317226
9-Jan-17,58.90,59.12,57.98,57.98,1576224
6-Jan-17,58.75,59.09,58.50,58.78,1505013
5-Jan-17,58.92,59.14,58.23,59.02,2157742
4-Jan-17,58.51,59.16,58.43,58.94,1615602
3-Jan-17,58.65,58.74,57.87,58.49,1678246
30-Dec-16,58.98,59.12,58.42,58.65,1221961
29-Dec-16,58.19,58.90,57.96,58.85,1250542
28-Dec-16,58.56,58.72,57.88,57.90,904262
27-Dec-16,58.72,58.76,58.12,58.57,730498
23-Dec-16,58.82,58.93,58.53,58.73,622404
22-Dec-16,58.38,58.81,58.23,58.71,1085058
21-Dec-16,58.37,58.89,58.37,58.46,1233078
20-Dec-16,58.03,58.51,57.76,58.45,1433261
19-Dec-16,58.38,58.42,57.61,58.16,1082117
