Date,Open,High,Low,Close,Volume
28-Apr-17,54.33,54.58,53.73,53.84,16501919
27-Apr-17,54.54,54.65,53.91,54.44,13978030
26-Apr-17,54.60,55.07,54.36,54.54,15915542
25-Apr-17,54.33,55.09,54.29,54.56,27061299
24-Apr-17,54.15,54.34,53.59,53.65,23856688
21-Apr-17,53.39,53.84,52.95,53.00,26177343
20-Apr-17,52.72,53.59,52.43,53.50,31552904
19-Apr-17,52.88,53.14,52.05,52.15,17414622
18-Apr-17,52.36,52.66,52.09,52.45,22257525
17-Apr-17,51.64,52.76,51.26,52.72,31959061
13-Apr-17,51.80,52.75,51.35,51.35,47981952
12-Apr-17,53.95,54.02,53.05,53.12,25601266
11-Apr-17,54.23,54.26,53.26,54.16,28086812
10-Apr-17,54.99,55.25,54.32,54.54,14607683
7-Apr-17,54.94,55.31,54.61,54.84,15848831
6-Apr-17,54.95,55.65,54.70,55.37,10387536
5-Apr-17,55.79,56.20,54.93,54.98,17411708
4-Apr-17,55.30,55.33,54.98,55.20,11937360
3-Apr-17,55.70,55.82,54.79,55.49,14550739
31-Mar-17,56.02,56.18,55.62,55.66,11864615
30-Mar-17,55.68,56.43,55.61,56.24,12106538
29-Mar-17,55.94,56.09,55.55,55.67,10329113
28-Mar-17,55.35,56.25,55.24,55.96,14878890
27-Mar-17,54.63,55.58,54.24,55.39,16854761
24-Mar-17,55.50,56.05,55.22,55.83,21127464
23-Mar-17,55.23,55.99,54.98,55.25,18999983
22-Mar-17,55.53,55.57,54.85,55.33,27740860
21-Mar-17,57.93,57.96,55.63,55.85,31766385
20-Mar-17,58.47,58.47,57.62,57.63,17663194
17-Mar-17,59.37,59.41,58.52,58.67,20985674
16-Mar-17,58.86,59.41,58.76,59.32,18468200
15-Mar-17,58.90,59.31,58.36,58.71,17777338
14-Mar-17,58.49,58.81,58.24,58.76,10885031
13-Mar-17,58.83,59.03,58.52,58.70,14063472
10-Mar-17,58.98,59.18,58.52,58.85,15120176
9-Mar-17,58.46,58.87,58.20,58.70,15721476
8-Mar-17,58.95,59.13,58.16,58.21,14711295
7-Mar-17,58.43,58.52,58.02,58.30,13099877
6-Mar-17,58.54,58.88,58.18,58.61,13225468
3-Mar-17,58.85,59.24,58.67,58.89,14753743
2-Mar-17,59.78,59.79,58.56,58.71,17578616
1-Mar-17,59.11,59.99,59.09,59.73,25912728
28-Feb-17,57.99,58.32,57.73,57.88,15558884
27-Feb-17,57.81,58.25,57.71,58.06,10101035
24-Feb-17,57.70,57.91,57.32,57.81,16379051
23-Feb-17,58.43,58.59,58.06,58.49,13841369
22-Feb-17,58.00,58.59,58.00,58.36,12344234
