Date,Open,High,Low,Close,Volume
28-Apr-17,185.87,185.94,183.86,185.68,970456
27-Apr-17,185.00,186.62,183.95,185.86,783712
26-Apr-17,181.52,186.29,180.88,185.12,1597398
25-Apr-17,177.73,182.94,177.48,180.94,3659915
24-Apr-17,173.96,176.82,172.90,174.80,1550866
21-Apr-17,171.49,171.84,169.39,171.51,991112
20-Apr-17,170.34,172.52,169.89,171.64,901635
19-Apr-17,168.75,171.08,168.71,170.14,911571
18-Apr-17,168.63,169.05,166.69,168.14,1023200
17-Apr-17,169.63,171.44,167.50,168.95,1273878
13-Apr-17,167.98,170.18,167.44,169.44,712761
12-Apr-17,168.66,169.83,167.27,168.27,683532
11-Apr-17,167.28,168.41,166.75,168.30,385964
10-Apr-17,167.76,169.24,167.53,167.60,629817
7-Apr-17,166.68,167.58,166.25,167.03,399667
6-Apr-17,165.06,169.14,165.06,167.17,710532
5-Apr-17,165.60,167.45,164.97,165.60,1255399
4-Apr-17,170.09,170.90,164.81,165.61,1188856
3-Apr-17,171.83,172.12,169.15,170.72,552305
31-Mar-17,170.29,171.71,169.75,171.33,526916
30-Mar-17,170.76,171.79,169.51,170.15,467541
29-Mar-17,170.01,171.53,169.54,171.08,378834
28-Mar-17,169.80,170.48,168.37,169.85,559415
27-Mar-17,169.00,170.26,168.14,169.86,596781
24-Mar-17,170.65,171.60,169.40,170.00,527792
23-Mar-17,170.14,172.15,169.10,170.22,997960
22-Mar-17,171.87,172.32,169.79,170.32,827055
21-Mar-17,173.91,174.00,171.41,172.01,841387
20-Mar-17,172.55,173.10,171.84,172.80,606196
17-Mar-17,172.83,173.01,171.29,172.71,1191036
16-Mar-17,176.97,177.97,172.07,172.69,1156255
15-Mar-17,179.18,180.11,176.73,177.47,937571
14-Mar-17,177.66,179.26,177.22,178.79,426804
13-Mar-17,178.00,179.55,176.63,178.22,867988
10-Mar-17,177.31,179.69,176.81,177.75,788623
9-Mar-17,175.75,177.12,175.13,176.40,559919
8-Mar-17,175.89,176.77,174.96,176.04,723862
7-Mar-17,175.59,176.88,174.22,175.38,484160
6-Mar-17,176.47,177.77,175.33,175.75,449310
3-Mar-17,178.02,178.99,176.71,177.89,424969
2-Mar-17,178.24,178.67,177.26,177.80,430950
