Date,Open,High,Low,Close,Volume
28-Apr-17,72.78,73.10,72.56,72.78,1501037
27-Apr-17,72.84,73.62,72.61,72.84,1663419
26-Apr-17,74.08,74.27,72.16,72.30,2914740
25-Apr-17,74.20,74.58,74.12,74.23,1616207
24-Apr-17,73.82,74.20,73.72,74.10,1407814
21-Apr-17,72.90,73.57,72.85,73.38,1356143
20-Apr-17,72.87,72.97,72.70,72.84,1138327
19-Apr-17,72.61,72.85,72.49,72.71,1430411
18-Apr-17,72.40,72.55,72.23,72.45,1322130
17-Apr-17,72.22,72.71,72.22,72.50,1241108
13-Apr-17,72.12,72.38,71.91,72.02,1927456
12-Apr-17,72.71,72.82,72.15,72.30,1551509
11-Apr-17,72.88,72.97,72.51,72.87,1212117
10-Apr-17,73.11,73.24,72.76,72.89,1226932
7-Apr-17,73.19,73.52,73.05,73.21,1175032
6-Apr-17,73.15,73.26,72.74,73.09,1257094
5-Apr-17,72.78,73.73,72.78,73.27,1559183
4-Apr-17,72.67,72.92,72.43,72.53,2316324
3-Apr-17,73.08,73.09,72.50,72.59,1528701
31-Mar-17,72.72,73.14,72.68,72.92,1330977
30-Mar-17,72.19,72.94,72.15,72.93,1352056
29-Mar-17,71.85,72.43,71.82,72.15,1768501
28-Mar-17,71.62,72.46,71.53,72.34,1619799
27-Mar-17,72.18,72.18,71.56,71.88,1624514
24-Mar-17,72.60,72.87,72.15,72.32,1577953
23-Mar-17,72.56,72.89,72.46,72.56,1213824
22-Mar-17,72.78,72.95,72.54,72.65,1399219
21-Mar-17,73.35,73.37,72.41,72.52,2194418
20-Mar-17,73.58,73.61,73.06,73.11,1444768
17-Mar-17,73.36,73.79,73.17,73.54,3203339
16-Mar-17,73.65,73.90,72.94,73.11,1462395
15-Mar-17,73.03,73.86,72.86,73.78,1575566
14-Mar-17,73.09,73.22,72.72,72.98,1070110
13-Mar-17,72.87,73.15,72.67,73.10,1359607
10-Mar-17,72.54,73.10,72.51,73.00,1638927
9-Mar-17,72.21,72.40,71.94,72.30,1568252
8-Mar-17,72.21,72.58,72.01,72.19,1517431
7-Mar-17,72.85,73.26,72.68,72.70,1762511
6-Mar-17,72.58,73.08,72.43,73.01,1994603
3-Mar-17,73.27,73.29,72.68,72.83,2133808
2-Mar-17,73.15,73.55,73.06,73.28,1108206
1-Mar-17,73.35,73.65,72.85,73.37,1746832
28-Feb-17,73.21,73.53,73.13,73.32,2115271
27-Feb-17,73.07,73.45,73.00,73.24,1144251
24-Feb-17,72.98,73.15,72.76,73.15,1150636
23-Feb-17,73.14,73.30,72.59,72.91,1490226
22-Feb-17,72.85,73.21,72.57,73.01,1319229
21-Feb-17,72.35,73.20,72.21,72.82,1717039
17-Feb-17,71.17,72.47,71.15,72.45,2436710
16-Feb-17,69.64,71.23,69.55,71.18,2252560
15-Feb-17,70.64,71.44,70.50,71.35,1499012
14-Feb-17,70.79,71.05,70.72,70.86,1230156
13-Feb-17,70.59,70.99,70.51,70.84,1548833
10-Feb-17,70.16,70.83,70.04,70.54,1617277
9-Feb-17,69.89,70.30,69.74,70.25,1512116
8-Feb-17,69.85,70.13,69.75,70.01,1604552
7-Feb-17,69.48,70.09,69.46,69.90,1554793
6-Feb-17,69.81,69.93,69.31,69.42,1006173
3-Feb-17,69.78,69.99,69.58,69.65,1351963
2-Feb-17,69.15,69.70,69.06,69.64,1613202
1-Feb-17,69.32,69.61,69.00,69.18,1718970
31-Jan-17,69.71,69.98,69.34,69.50,1374112
30-Jan-17,69.69,69.69,69.37,69.60,1146193
27-Jan-17,69.85,69.85,69.54,69.64,1134767
26-Jan-17,69.69,69.85,69.60,69.73,1137098
25-Jan-17,69.56,69.98,69.56,69.67,1931793
24-Jan-17,69.35,69.62,69.00,69.56,1090857
23-Jan-17,69.69,69.87,69.23,69.34,1005048
20-Jan-17,69.72,69.83,69.45,69.66,1331271
19-Jan-17,69.37,69.69,69.25,69.57,1162073
18-Jan-17,69.43,69.67,69.43,69.59,1423055
17-Jan-17,69.54,69.72,69.38,69.48,1795012
13-Jan-17,70.11,70.29,69.72,69.79,1611451
12-Jan-17,69.96,70.11,69.39,69.89,1337763
11-Jan-17,69.46,70.27,69.35,70.13,1731907
10-Jan-17,69.58,69.98,69.18,69.49,2089923
9-Jan-17,70.35,70.48,69.66,69.78,2262522
6-Jan-17,70.41,70.80,70.18,70.19,1570683
5-Jan-17,70.37,71.10,70.29,70.59,2464180
4-Jan-17,70.75,71.18,70.32,70.32,1606324
3-Jan-17,71.00,71.28,70.19,70.52,1743978
30-Dec-16,71.27,71.50,70.75,70.91,1231153
29-Dec-16,71.00,71.24,70.93,71.01,871339
28-Dec-16,71.00,71.40,70.90,70.96,1098845
27-Dec-16,70.96,71.11,70.85,70.96,708457
23-Dec-16,70.96,71.11,70.76,70.92,910778
22-Dec-16,70.69,70.93,70.61,70.79,1608774
21-Dec-16,71.10,71.35,70.68,70.69,1440682
20-Dec-16,71.25,71.78,71.10,71.14,1460797
19-Dec-16,70.74,71.36,70.66,71.09,2249702
16-Dec-16,70.33,70.81,70.00,70.08,3669867
15-Dec-16,69.89,70.41,69.87,70.10,3199729
14-Dec-16,71.03,71.10,69.99,70.04,2384243
13-Dec-16,70.76,71.17,70.39,70.83,1787963
12-Dec-16,69.94,70.76,69.87,70.70,1402086
9-Dec-16,70.07,70.23,69.76,70.02,1628119
8-Dec-16,69.91,70.28,69.79,70.06,1385306
7-Dec-16,69.46,69.95,68.97,69.94,2539210
6-Dec-16,68.89,69.53,68.84,69.51,2257416
