Date,Open,High,Low,Close,Volume
28-Apr-17,75.24,75.44,74.93,75.18,7330420
27-Apr-17,75.54,75.70,75.02,75.44,6052219
26-Apr-17,75.27,75.77,75.17,75.43,6948460
25-Apr-17,74.97,75.17,74.86,75.05,5720364
24-Apr-17,75.08,75.40,74.42,74.78,7812524
21-Apr-17,74.74,75.11,74.60,74.94,5755691
20-Apr-17,74.14,75.11,74.11,74.80,7681252
19-Apr-17,74.10,74.38,73.86,74.07,5940609
18-Apr-17,73.54,74.10,73.48,73.89,6627986
17-Apr-17,73.16,73.58,73.15,73.49,5465408
13-Apr-17,73.37,73.66,73.15,73.15,5336428
12-Apr-17,73.55,73.83,73.25,73.44,6627297
11-Apr-17,73.00,73.45,72.93,73.43,5810458
10-Apr-17,72.99,73.48,72.73,73.06,7495948
7-Apr-17,72.10,72.99,71.80,72.90,10768016
6-Apr-17,71.70,72.10,71.38,71.43,5941103
5-Apr-17,71.64,72.31,71.56,71.65,6354492
4-Apr-17,71.74,72.06,71.53,72.01,5567317
3-Apr-17,72.08,72.53,71.78,71.83,8291283
31-Mar-17,71.32,72.56,71.23,72.08,9939780
30-Mar-17,70.69,71.72,70.64,71.59,8141535
29-Mar-17,70.35,71.18,70.31,70.74,6991046
28-Mar-17,69.33,70.37,69.33,70.32,7252189
27-Mar-17,69.52,70.07,69.36,69.66,5792586
24-Mar-17,69.99,70.17,69.53,69.61,5858968
23-Mar-17,70.20,70.31,69.74,69.86,6898774
22-Mar-17,70.03,70.34,69.72,70.25,6455594
21-Mar-17,70.17,70.40,69.69,69.90,8746812
20-Mar-17,70.14,70.45,69.71,69.98,7466226
17-Mar-17,70.58,70.75,69.81,69.89,14078353
16-Mar-17,70.11,70.70,70.07,70.44,7060977
15-Mar-17,70.50,70.70,70.02,70.58,8813794
14-Mar-17,70.82,71.20,70.72,70.72,9958370
13-Mar-17,69.99,70.45,69.71,69.95,6802511
10-Mar-17,70.00,70.36,69.80,70.10,7098829
9-Mar-17,69.75,70.04,69.56,69.86,7564480
8-Mar-17,69.69,70.03,69.54,69.80,7979841
7-Mar-17,69.90,70.21,69.86,69.87,7282861
6-Mar-17,70.00,70.44,69.78,69.88,9182575
3-Mar-17,70.81,71.02,69.88,70.03,9303591
2-Mar-17,70.42,70.90,70.17,70.76,8916264
1-Mar-17,70.97,71.08,70.15,70.45,13522717
28-Feb-17,70.87,71.00,70.00,70.93,15952573
27-Feb-17,72.28,72.42,71.52,71.74,9254685
24-Feb-17,71.34,72.80,71.30,72.39,13889852
23-Feb-17,72.00,72.50,71.16,71.31,12799700
22-Feb-17,72.25,72.37,71.48,71.71,15242674
21-Feb-17,71.21,72.28,70.70,71.45,22412893
17-Feb-17,68.83,69.78,68.70,69.37,12837447
16-Feb-17,68.67,69.24,68.61,68.87,8413787
15-Feb-17,67.80,68.71,67.76,68.69,8563295
14-Feb-17,67.88,68.68,67.71,68.66,8462328
13-Feb-17,68.32,68.65,67.56,67.77,8374307
10-Feb-17,68.25,68.60,67.76,68.02,12445633
9-Feb-17,67.80,69.14,67.75,69.08,11080479
8-Feb-17,66.89,67.82,66.89,67.81,7660755
7-Feb-17,66.56,67.00,66.51,66.89,5805722
6-Feb-17,66.37,66.86,66.37,66.40,9097238
3-Feb-17,66.82,66.93,66.44,66.50,7625330
2-Feb-17,66.34,67.14,66.34,66.70,8998739
1-Feb-17,66.46,66.71,66.04,66.23,9049972
31-Jan-17,66.21,66.89,65.88,66.74,9320880
30-Jan-17,65.63,66.48,65.63,66.42,8641511
27-Jan-17,66.86,66.97,65.28,65.66,13433629
26-Jan-17,67.13,67.22,66.62,66.73,6504073
25-Jan-17,67.52,67.73,66.79,66.89,8722855
24-Jan-17,66.89,67.41,66.66,67.40,10710616
23-Jan-17,67.01,67.18,66.56,66.65,7951427
20-Jan-17,67.74,67.83,67.02,67.18,12054682
19-Jan-17,68.13,68.19,67.48,67.62,6821078
18-Jan-17,67.88,68.11,67.54,68.11,7321456
17-Jan-17,68.09,69.29,68.06,68.42,13167509
13-Jan-17,67.98,68.02,67.08,67.13,10012519
12-Jan-17,68.36,68.56,67.92,67.97,6544856
11-Jan-17,68.20,68.62,68.19,68.53,6697593
