Date,Open,High,Low,Close,Volume
28-Apr-17,35.46,35.50,33.75,33.87,6756499
27-Apr-17,34.39,34.92,34.30,34.67,4670960
26-Apr-17,33.94,34.58,33.94,34.26,8544733
25-Apr-17,34.86,34.86,33.86,34.00,7561593
24-Apr-17,35.00,35.00,34.46,34.89,5779424
21-Apr-17,34.75,34.76,34.42,34.56,4338767
20-Apr-17,34.57,34.86,34.53,34.78,4268843
19-Apr-17,34.88,35.05,34.12,34.49,5359604
18-Apr-17,34.78,35.00,34.66,34.76,2657614
17-Apr-17,34.43,34.98,34.43,34.96,2882907
13-Apr-17,34.62,34.79,34.40,34.43,2780740
12-Apr-17,34.40,34.72,34.31,34.58,3235279
11-Apr-17,34.76,34.76,34.12,34.64,5591817
10-Apr-17,34.87,35.18,34.70,34.73,3853993
7-Apr-17,34.42,34.95,34.32,34.86,4725943
6-Apr-17,33.95,34.52,33.74,34.41,3155806
5-Apr-17,34.05,34.40,33.91,33.97,3024579
4-Apr-17,33.61,33.98,33.50,33.96,2527834
3-Apr-17,34.00,34.20,33.39,33.71,3730377
31-Mar-17,33.75,34.23,33.59,33.98,3408418
30-Mar-17,33.47,33.92,33.37,33.89,2310359
29-Mar-17,33.55,33.62,33.30,33.53,1932534
28-Mar-17,33.33,33.79,33.28,33.63,2449972
27-Mar-17,32.95,33.56,32.83,33.51,4018276
24-Mar-17,33.43,33.59,32.92,33.13,3401463
23-Mar-17,33.15,33.70,33.00,33.47,3467659
22-Mar-17,33.08,33.38,32.74,33.16,3507636
21-Mar-17,33.56,33.62,33.02,33.08,4433108
20-Mar-17,33.26,33.52,32.87,33.38,3719017
17-Mar-17,33.86,33.92,33.18,33.20,5014479
16-Mar-17,33.82,34.00,33.68,33.74,3073242
15-Mar-17,33.50,34.00,33.15,33.88,4321480
14-Mar-17,33.25,33.34,32.95,33.31,2210550
13-Mar-17,33.33,33.54,33.16,33.34,2119123
10-Mar-17,33.48,33.67,33.22,33.28,2767193
9-Mar-17,33.51,33.90,33.16,33.22,3916720
8-Mar-17,33.44,33.82,33.39,33.60,2982207
7-Mar-17,33.60,33.69,33.35,33.47,2418105
6-Mar-17,33.94,34.02,33.47,33.72,3228835
3-Mar-17,34.06,34.20,33.70,34.14,3239199
2-Mar-17,34.02,34.37,33.83,34.19,4477549
1-Mar-17,33.66,34.19,33.49,34.07,4320474
28-Feb-17,33.62,34.06,33.58,33.72,3792522
27-Feb-17,33.63,34.10,33.46,33.94,3649246
24-Feb-17,33.53,33.73,33.26,33.47,4561503
23-Feb-17,33.88,33.94,33.56,33.66,3555112
22-Feb-17,33.95,34.00,33.52,33.76,2360342
21-Feb-17,33.51,34.10,33.44,33.98,3641122
17-Feb-17,33.47,33.62,33.34,33.52,2754674
16-Feb-17,33.71,33.78,33.35,33.52,3402205
15-Feb-17,33.30,33.70,32.98,33.66,4667902
14-Feb-17,33.52,33.57,32.97,33.29,4172587
13-Feb-17,33.23,34.00,33.15,33.79,7372383
10-Feb-17,33.09,33.32,32.86,33.16,4083899
9-Feb-17,32.42,33.17,32.40,33.17,7199103
8-Feb-17,32.14,32.71,32.10,32.41,5467719
7-Feb-17,31.56,32.18,31.30,32.05,5699380
6-Feb-17,31.84,32.05,31.03,31.42,5825104
3-Feb-17,31.07,32.22,30.94,32.11,5458896
2-Feb-17,30.98,31.50,30.79,31.44,5669423
1-Feb-17,31.33,31.49,30.75,31.11,3624554
31-Jan-17,31.20,31.51,31.06,31.33,4425312
30-Jan-17,31.13,31.25,30.86,31.16,3849409
27-Jan-17,31.80,31.85,31.08,31.24,4277937
26-Jan-17,32.08,32.27,31.71,31.80,9357155
25-Jan-17,31.34,32.31,31.34,32.19,6386913
24-Jan-17,30.58,31.14,30.55,31.13,5071852
23-Jan-17,30.24,30.60,30.17,30.43,3615938
20-Jan-17,30.27,30.45,29.88,30.23,6518949
19-Jan-17,30.57,30.72,30.05,30.21,4006536
