Date,Open,High,Low,Close,Volume
28-Apr-17,95.55,96.25,93.91,95.31,3117966
27-Apr-17,100.09,100.43,95.69,95.89,4608173
26-Apr-17,93.69,102.44,91.75,100.54,6686763
25-Apr-17,91.60,92.71,91.60,92.22,2156637
24-Apr-17,90.72,91.98,90.58,91.79,2243044
21-Apr-17,89.69,89.95,89.29,89.72,1142811
20-Apr-17,89.41,89.92,88.59,89.75,728982
19-Apr-17,88.59,89.04,88.43,88.99,1039388
18-Apr-17,87.71,88.62,87.06,88.25,990052
17-Apr-17,87.50,87.98,87.34,87.82,1039097
13-Apr-17,87.07,87.86,86.71,87.35,1596194
12-Apr-17,86.44,87.82,86.05,87.12,2231989
11-Apr-17,85.50,85.84,85.14,85.80,801964
10-Apr-17,84.68,85.62,84.64,85.39,773856
7-Apr-17,84.97,85.21,83.80,84.70,1041784
6-Apr-17,84.30,85.23,84.06,85.17,746536
5-Apr-17,84.87,85.83,84.30,84.35,1119752
4-Apr-17,84.00,84.27,83.42,84.18,759787
3-Apr-17,84.39,84.59,83.40,84.00,959340
31-Mar-17,84.94,85.03,84.16,84.29,1063471
30-Mar-17,84.39,85.22,84.14,85.10,817928
29-Mar-17,84.21,84.69,84.02,84.48,766844
28-Mar-17,84.02,84.68,83.55,84.36,678409
27-Mar-17,83.63,84.18,83.19,83.98,783932
24-Mar-17,84.24,84.76,84.09,84.23,782381
23-Mar-17,83.63,84.85,83.63,84.03,821050
22-Mar-17,82.49,83.77,82.14,83.55,1394921
21-Mar-17,84.52,84.93,82.27,82.39,1055468
20-Mar-17,84.35,84.62,83.70,83.96,811928
17-Mar-17,84.46,84.74,84.13,84.26,1566049
16-Mar-17,83.63,84.46,83.02,84.09,1258380
15-Mar-17,82.18,83.47,81.16,83.22,855261
14-Mar-17,83.23,83.38,82.30,82.35,880875
13-Mar-17,82.63,83.47,82.63,83.39,885780
10-Mar-17,82.32,82.83,82.00,82.65,792953
9-Mar-17,82.34,82.86,82.03,82.09,824557
8-Mar-17,82.20,82.72,82.10,82.49,690567
