Date,Open,High,Low,Close,Volume
28-Apr-17,45.14,45.28,44.98,45.05,2944242
27-Apr-17,44.90,45.44,44.82,45.13,2074265
26-Apr-17,44.95,45.12,44.77,44.84,2135592
25-Apr-17,44.86,45.04,44.73,45.01,2027521
24-Apr-17,44.88,45.07,44.57,45.02,2264849
21-Apr-17,44.61,45.01,44.61,44.83,1937679
20-Apr-17,44.33,44.70,44.25,44.65,2920134
19-Apr-17,45.09,45.19,44.62,44.80,2194785
18-Apr-17,45.10,45.30,44.99,45.10,2284464
17-Apr-17,44.97,45.11,44.86,45.08,1791053
13-Apr-17,44.85,45.03,44.58,44.82,2345868
12-Apr-17,44.43,44.94,44.30,44.90,2450648
11-Apr-17,44.52,44.66,44.17,44.58,1965820
10-Apr-17,44.43,44.61,44.21,44.58,1655447
7-Apr-17,44.70,44.81,44.40,44.40,3309465
6-Apr-17,44.65,44.75,44.46,44.59,2389542
5-Apr-17,44.49,44.86,44.37,44.82,2760068
4-Apr-17,44.33,44.65,44.29,44.51,1777048
3-Apr-17,44.40,44.41,44.00,44.40,2352536
31-Mar-17,44.31,44.64,44.25,44.45,2384701
30-Mar-17,44.33,44.38,44.08,44.31,2131476
29-Mar-17,44.82,44.82,44.38,44.47,2646724
28-Mar-17,44.66,44.96,44.62,44.93,4144455
27-Mar-17,44.87,45.06,44.57,44.77,2433795
24-Mar-17,44.52,44.94,44.48,44.77,2178353
23-Mar-17,44.50,44.94,44.37,44.58,3270527
22-Mar-17,44.56,44.93,44.32,44.51,4052936
21-Mar-17,43.55,44.47,43.55,44.36,3388802
20-Mar-17,43.90,44.05,43.45,43.59,1613437
17-Mar-17,43.73,44.07,43.62,43.85,3230529
16-Mar-17,43.94,43.94,43.45,43.58,2736179
15-Mar-17,43.40,44.30,43.39,44.05,3073473
14-Mar-17,43.17,43.35,43.10,43.25,2243047
13-Mar-17,43.15,43.31,43.03,43.23,2595306
10-Mar-17,43.26,43.51,43.12,43.50,3112163
9-Mar-17,43.09,43.31,42.99,43.07,1845807
8-Mar-17,43.52,43.56,42.93,43.05,2237631
7-Mar-17,43.52,43.98,43.51,43.82,3237893
6-Mar-17,43.65,43.80,43.51,43.62,2126467
3-Mar-17,43.87,43.87,43.36,43.72,2174244
2-Mar-17,43.35,44.10,43.24,43.85,2551219
1-Mar-17,43.05,43.76,43.01,43.50,3383097
28-Feb-17,43.22,43.82,43.19,43.71,2512817
27-Feb-17,43.39,43.50,43.17,43.31,2334698
24-Feb-17,43.34,43.54,42.95,43.34,3090433
23-Feb-17,42.71,42.99,42.52,42.95,3600606
22-Feb-17,42.33,42.65,42.24,42.49,2783253
21-Feb-17,41.95,42.50,41.77,42.43,1813488
17-Feb-17,41.93,42.08,41.70,42.00,2294991
