Date,Open,High,Low,Close,Volume
28-Apr-17,7.14,7.19,7.08,7.19,9092389
27-Apr-17,7.13,7.23,7.07,7.12,7040754
26-Apr-17,6.97,7.19,6.92,7.10,14280310
25-Apr-17,6.95,7.07,6.66,6.99,19777168
24-Apr-17,6.99,7.06,6.96,7.06,8572675
21-Apr-17,6.95,6.99,6.90,6.92,9171448
20-Apr-17,6.97,7.02,6.90,6.97,7642626
19-Apr-17,7.04,7.06,6.93,6.94,6631850
18-Apr-17,7.00,7.03,6.96,7.02,4523450
17-Apr-17,7.02,7.05,6.97,7.02,6453205
13-Apr-17,7.02,7.08,7.01,7.03,5922780
12-Apr-17,7.09,7.11,7.01,7.03,5404038
11-Apr-17,7.08,7.11,7.03,7.08,5576571
10-Apr-17,7.12,7.16,7.05,7.08,8360345
7-Apr-17,7.12,7.16,7.01,7.12,11334932
6-Apr-17,7.17,7.17,7.07,7.13,8056871
5-Apr-17,7.24,7.26,7.12,7.16,7605525
4-Apr-17,7.22,7.27,7.18,7.21,6200675
3-Apr-17,7.36,7.39,7.18,7.25,8493222
31-Mar-17,7.38,7.43,7.34,7.34,8683457
30-Mar-17,7.26,7.41,7.25,7.38,6077550
29-Mar-17,7.27,7.28,7.15,7.27,9255888
28-Mar-17,7.14,7.40,7.13,7.34,12150423
27-Mar-17,7.14,7.20,7.09,7.14,7656028
24-Mar-17,7.23,7.25,7.15,7.19,6717906
23-Mar-17,7.18,7.27,7.16,7.20,5989500
22-Mar-17,7.21,7.21,7.10,7.18,7085306
21-Mar-17,7.43,7.44,7.16,7.20,13412747
20-Mar-17,7.38,7.43,7.33,7.43,8917485
17-Mar-17,7.39,7.40,7.30,7.36,11213330
16-Mar-17,7.31,7.42,7.29,7.41,10543757
15-Mar-17,7.35,7.37,7.26,7.29,11270506
14-Mar-17,7.34,7.36,7.21,7.32,8032042
13-Mar-17,7.37,7.45,7.29,7.31,17957425
10-Mar-17,7.38,7.48,7.33,7.36,6863980
9-Mar-17,7.41,7.50,7.35,7.38,8665415
8-Mar-17,7.38,7.44,7.31,7.44,9623106
7-Mar-17,7.46,7.47,7.30,7.36,15995740
6-Mar-17,7.62,7.62,7.45,7.45,17879550
3-Mar-17,7.32,7.39,7.29,7.36,5791896
2-Mar-17,7.41,7.45,7.28,7.29,13319698
1-Mar-17,7.48,7.48,7.34,7.39,9716045
28-Feb-17,7.44,7.47,7.37,7.44,11850894
27-Feb-17,7.53,7.54,7.37,7.44,12276309
24-Feb-17,7.48,7.69,7.43,7.54,9756523
23-Feb-17,7.47,7.56,7.39,7.53,8334745
22-Feb-17,7.42,7.50,7.41,7.46,6820434
21-Feb-17,7.38,7.47,7.25,7.44,6587194
17-Feb-17,7.38,7.46,7.33,7.44,6461548
16-Feb-17,7.48,7.49,7.38,7.40,6000468
15-Feb-17,7.48,7.49,7.40,7.47,10842209
14-Feb-17,7.25,7.49,7.25,7.48,9653421
13-Feb-17,7.33,7.37,7.26,7.26,10668958
10-Feb-17,7.31,7.43,7.26,7.30,7117595
9-Feb-17,7.40,7.40,7.24,7.26,8524270
8-Feb-17,7.09,7.39,7.08,7.36,17710448
7-Feb-17,7.08,7.14,7.04,7.07,11205812
6-Feb-17,7.10,7.16,7.06,7.07,7316681
3-Feb-17,7.20,7.25,7.14,7.15,8176044
2-Feb-17,7.01,7.27,6.99,7.17,11247485
1-Feb-17,7.03,7.08,6.92,7.07,18378145
31-Jan-17,6.94,7.05,6.62,6.93,37906113
30-Jan-17,6.97,6.97,6.85,6.95,10662781
27-Jan-17,6.97,6.98,6.91,6.98,7658918
26-Jan-17,7.02,7.06,6.89,6.96,9138775
25-Jan-17,6.97,7.03,6.91,7.00,13287220
24-Jan-17,6.91,6.96,6.87,6.94,12150938
23-Jan-17,6.93,6.99,6.86,6.89,9483235
20-Jan-17,6.95,6.98,6.89,6.94,8411962
19-Jan-17,7.01,7.01,6.91,6.94,7885842
18-Jan-17,6.94,7.04,6.93,7.02,11953492
17-Jan-17,7.04,7.05,6.88,6.93,10565752
13-Jan-17,7.00,7.08,6.98,7.05,10081345
12-Jan-17,7.02,7.04,6.83,6.94,14920736
11-Jan-17,7.07,7.08,6.91,7.00,16550644
10-Jan-17,7.11,7.14,7.00,7.03,18189103
9-Jan-17,7.07,7.12,6.96,6.97,15210916
6-Jan-17,7.14,7.15,6.97,7.01,24684457
5-Jan-17,7.16,7.23,6.95,7.12,28241064
4-Jan-17,7.04,7.20,6.95,7.15,30748416
3-Jan-17,6.53,7.00,6.46,6.89,64447557
30-Dec-16,8.72,8.80,8.70,8.73,11250388
29-Dec-16,8.79,8.82,8.69,8.72,7211255
28-Dec-16,8.93,8.96,8.73,8.76,6958968
27-Dec-16,8.95,9.02,8.89,8.94,5072405
23-Dec-16,8.99,9.01,8.92,8.95,5953285
22-Dec-16,9.08,9.14,8.99,9.01,9716468
21-Dec-16,9.07,9.18,9.07,9.09,7374929
20-Dec-16,9.17,9.27,9.15,9.23,14022523
19-Dec-16,9.14,9.20,9.11,9.13,8007130
16-Dec-16,9.04,9.14,9.02,9.13,29351174
15-Dec-16,8.99,9.11,8.95,9.03,14176241
14-Dec-16,9.28,9.40,8.98,9.00,21696419
13-Dec-16,9.24,9.40,9.24,9.30,20495860
12-Dec-16,9.41,9.46,9.21,9.30,10606374
9-Dec-16,9.52,9.53,9.44,9.46,10839298
8-Dec-16,9.48,9.64,9.44,9.52,18910805
7-Dec-16,9.32,9.77,9.32,9.48,27014109
6-Dec-16,9.34,9.39,9.20,9.30,25803383
5-Dec-16,9.55,9.58,9.30,9.32,12412457
2-Dec-16,9.45,9.55,9.44,9.50,10333649
1-Dec-16,9.39,9.47,9.34,9.45,11388870
30-Nov-16,9.50,9.53,9.28,9.35,11754759
29-Nov-16,9.50,9.54,9.38,9.46,6488036
28-Nov-16,9.40,9.54,9.37,9.50,8524836
25-Nov-16,9.31,9.41,9.29,9.38,3714000
23-Nov-16,9.32,9.34,9.22,9.27,9775732
22-Nov-16,9.51,9.52,9.29,9.31,10119128
21-Nov-16,9.54,9.57,9.46,9.52,7328210
18-Nov-16,9.57,9.58,9.43,9.44,6091957
17-Nov-16,9.56,9.61,9.50,9.58,9672721
16-Nov-16,9.58,9.60,9.53,9.55,6660024
15-Nov-16,9.54,9.64,9.47,9.59,6565659
14-Nov-16,9.41,9.57,9.41,9.52,9503025
11-Nov-16,9.56,9.60,9.45,9.50,8854271
10-Nov-16,9.52,9.70,9.51,9.58,8611589
9-Nov-16,9.14,9.53,9.09,9.51,10605089
8-Nov-16,9.30,9.33,9.10,9.28,9878314
7-Nov-16,9.12,9.31,9.11,9.31,9615242
4-Nov-16,9.35,9.37,9.15,9.17,10209930
3-Nov-16,9.51,9.58,9.34,9.35,5299029
2-Nov-16,9.45,9.54,9.42,9.51,7621499
1-Nov-16,9.78,9.78,9.44,9.50,7714459
31-Oct-16,9.81,9.84,9.58,9.77,9021927
28-Oct-16,9.53,9.99,9.52,9.84,13064398
27-Oct-16,9.68,9.68,9.49,9.57,6779664
26-Oct-16,9.59,9.66,9.56,9.65,4594533
25-Oct-16,9.68,9.69,9.48,9.61,7503891
24-Oct-16,9.59,9.70,9.56,9.68,4773330
21-Oct-16,9.58,9.58,9.47,9.50,5325777
20-Oct-16,9.71,9.73,9.59,9.62,4376356
19-Oct-16,9.72,9.79,9.70,9.71,3886632
18-Oct-16,9.67,9.75,9.65,9.71,4495259
17-Oct-16,9.66,9.70,9.57,9.57,4955079
14-Oct-16,9.60,9.71,9.58,9.65,5945037
13-Oct-16,9.73,9.74,9.52,9.55,8542022
12-Oct-16,9.76,9.83,9.67,9.80,5401749
11-Oct-16,9.94,9.96,9.69,9.76,7592839
10-Oct-16,9.94,10.01,9.93,9.96,4764873
7-Oct-16,10.03,10.07,9.90,9.90,5154884
6-Oct-16,9.96,10.04,9.94,10.01,5517602
5-Oct-16,9.89,10.03,9.88,9.97,4342940
4-Oct-16,10.12,10.12,9.81,9.84,6133264
3-Oct-16,10.18,10.18,10.06,10.12,5598639
30-Sep-16,10.18,10.20,10.02,10.13,7677388
29-Sep-16,10.09,10.31,10.03,10.18,13273431
28-Sep-16,9.99,10.09,9.97,10.08,7962607
27-Sep-16,9.92,10.05,9.92,10.03,10406712
26-Sep-16,9.89,10.03,9.85,9.98,9877467
23-Sep-16,9.99,10.02,9.92,9.92,3986330
22-Sep-16,9.96,10.02,9.95,10.01,5226420
21-Sep-16,9.88,9.97,9.85,9.94,6237834
20-Sep-16,9.93,9.93,9.81,9.81,4681887
19-Sep-16,9.86,9.94,9.83,9.85,8572586
16-Sep-16,9.77,9.80,9.64,9.80,24655539
15-Sep-16,9.72,9.83,9.68,9.81,9124940
14-Sep-16,9.79,9.82,9.62,9.73,8403095
13-Sep-16,9.81,9.90,9.73,9.79,9993491
12-Sep-16,9.51,9.83,9.46,9.81,8066604
9-Sep-16,9.83,9.86,9.59,9.59,8307107
8-Sep-16,9.85,9.91,9.81,9.90,8363915
7-Sep-16,9.78,9.88,9.76,9.88,6301941
6-Sep-16,9.87,9.89,9.67,9.80,5700888
2-Sep-16,9.90,9.91,9.83,9.89,6001675
1-Sep-16,9.88,9.91,9.72,9.87,7039904
31-Aug-16,9.79,9.86,9.75,9.85,7390452
30-Aug-16,9.71,9.82,9.68,9.81,5964878
29-Aug-16,9.73,9.77,9.67,9.69,3854468
26-Aug-16,9.74,9.84,9.65,9.73,5171186
25-Aug-16,9.66,9.73,9.61,9.72,6086850
24-Aug-16,9.76,9.78,9.64,9.68,4067762
23-Aug-16,9.78,9.82,9.72,9.76,4522383
22-Aug-16,9.66,9.71,9.59,9.71,4510621
19-Aug-16,9.65,9.71,9.61,9.69,4065497
18-Aug-16,9.72,9.76,9.67,9.70,5518289
17-Aug-16,9.79,9.81,9.64,9.68,5626171
16-Aug-16,9.83,9.86,9.78,9.79,4062620
15-Aug-16,9.78,9.88,9.78,9.84,3578373
12-Aug-16,9.90,9.95,9.76,9.77,4985418
11-Aug-16,9.92,9.96,9.86,9.90,4448403
10-Aug-16,9.97,10.02,9.83,9.87,3654105
9-Aug-16,10.01,10.04,9.93,9.94,3265167
8-Aug-16,10.02,10.06,9.97,9.99,4253685
5-Aug-16,9.90,10.02,9.88,10.00,4108906
4-Aug-16,9.95,10.00,9.80,9.84,4792090
3-Aug-16,9.80,9.94,9.76,9.94,4935552
2-Aug-16,10.11,10.15,9.74,9.81,10893875
1-Aug-16,10.33,10.35,9.97,10.14,14923746
29-Jul-16,10.20,10.32,10.07,10.30,21482385
28-Jul-16,9.98,10.04,9.90,9.91,5649525
27-Jul-16,9.94,10.02,9.88,10.00,4364006
26-Jul-16,9.92,10.00,9.87,9.95,4187142
25-Jul-16,9.79,9.90,9.71,9.89,3842993
22-Jul-16,9.79,9.82,9.70,9.79,2244554
21-Jul-16,9.82,9.89,9.73,9.77,3099172
20-Jul-16,9.64,9.82,9.60,9.81,5118318
19-Jul-16,9.67,9.72,9.55,9.57,3816071
18-Jul-16,9.65,9.74,9.59,9.72,3242459
15-Jul-16,9.71,9.72,9.57,9.65,5866839
14-Jul-16,9.64,9.75,9.53,9.65,5942404
13-Jul-16,9.75,9.75,9.44,9.61,5931898
12-Jul-16,9.66,9.88,9.60,9.67,7571600
11-Jul-16,9.56,9.60,9.49,9.50,5882078
8-Jul-16,9.49,9.60,9.46,9.54,4601401
7-Jul-16,9.32,9.42,9.30,9.38,4702196
6-Jul-16,9.16,9.34,9.03,9.32,4905441
5-Jul-16,9.32,9.32,9.16,9.24,4445339
1-Jul-16,9.46,9.47,9.30,9.35,5186533
30-Jun-16,9.23,9.49,9.17,9.49,5775938
29-Jun-16,9.18,9.25,9.08,9.20,7518568
28-Jun-16,9.07,9.16,8.98,9.07,6525230
27-Jun-16,9.35,9.36,8.93,8.96,6483910
24-Jun-16,9.60,9.74,9.45,9.45,8714010
23-Jun-16,9.91,10.02,9.89,10.02,3238640
22-Jun-16,9.83,9.92,9.77,9.78,3305072
21-Jun-16,9.80,9.84,9.70,9.83,3318130
20-Jun-16,9.92,9.99,9.78,9.79,4111234
17-Jun-16,9.71,9.84,9.68,9.77,5663008
16-Jun-16,9.83,9.85,9.66,9.70,6871962
15-Jun-16,9.75,10.00,9.72,9.91,6364867
14-Jun-16,9.81,9.88,9.64,9.73,5691288
13-Jun-16,9.89,10.00,9.84,9.86,4601476
10-Jun-16,10.04,10.04,9.85,9.93,3674895
9-Jun-16,10.18,10.20,10.06,10.12,3773931
8-Jun-16,10.28,10.29,10.19,10.24,5256226
7-Jun-16,10.33,10.33,10.19,10.28,4145905
6-Jun-16,10.10,10.33,10.10,10.30,5779924
3-Jun-16,10.09,10.12,9.98,10.06,3942793
2-Jun-16,9.98,10.14,9.96,10.14,5267149
1-Jun-16,9.92,10.00,9.82,9.98,6255562
