Date,Open,High,Low,Close,Volume
28-Apr-17,65.82,65.93,65.36,65.75,2318309
27-Apr-17,66.20,66.69,65.94,66.01,2485070
26-Apr-17,66.03,66.28,65.80,65.88,1684286
25-Apr-17,65.80,66.49,65.72,65.98,3411257
24-Apr-17,65.22,66.00,65.17,65.72,2525475
21-Apr-17,65.02,65.12,64.55,64.82,2595679
20-Apr-17,64.70,65.23,64.66,65.04,2448139
19-Apr-17,64.21,64.85,64.13,64.54,3016056
18-Apr-17,63.79,64.11,63.73,63.96,1598366
17-Apr-17,63.90,64.18,63.84,63.89,1617000
13-Apr-17,64.03,64.11,63.75,63.79,1965871
12-Apr-17,64.19,64.25,63.92,64.03,1484987
11-Apr-17,63.87,64.22,63.54,64.15,2116033
10-Apr-17,64.24,64.61,64.09,64.13,2363910
7-Apr-17,64.43,64.79,64.24,64.28,2984234
6-Apr-17,64.17,64.77,64.00,64.55,4245375
5-Apr-17,64.08,64.90,63.85,63.87,4807457
4-Apr-17,63.47,64.10,63.31,63.84,2961847
3-Apr-17,63.74,63.99,63.18,63.55,3206008
31-Mar-17,64.02,64.37,63.90,63.90,2410411
30-Mar-17,63.89,64.27,63.78,64.02,3254381
29-Mar-17,64.40,64.69,63.74,64.05,2714575
28-Mar-17,63.98,64.73,63.51,64.47,3824071
27-Mar-17,63.12,63.60,62.85,63.51,4936602
24-Mar-17,63.32,63.73,63.01,63.58,3271334
23-Mar-17,63.30,63.58,63.08,63.18,2786528
22-Mar-17,63.77,64.00,63.06,63.32,3157707
21-Mar-17,64.37,64.42,63.53,63.73,3258392
20-Mar-17,64.03,64.15,63.84,64.07,2534480
17-Mar-17,63.91,64.26,63.80,63.87,7460699
16-Mar-17,64.12,64.17,63.76,63.82,2593816
15-Mar-17,64.17,64.25,63.25,63.91,2901722
14-Mar-17,64.31,64.49,63.78,63.95,2002505
13-Mar-17,64.31,64.60,64.08,64.38,1656203
10-Mar-17,64.69,64.75,64.05,64.31,2565559
9-Mar-17,63.99,64.17,63.69,63.81,1674301
8-Mar-17,64.07,64.21,63.80,64.08,1844204
7-Mar-17,64.34,64.42,63.99,64.02,2070874
6-Mar-17,64.67,64.72,64.34,64.50,1985426
3-Mar-17,65.16,65.30,64.42,65.03,2177182
2-Mar-17,65.42,65.50,64.92,65.21,2176391
1-Mar-17,65.90,65.95,65.37,65.57,2311463
28-Feb-17,65.47,65.49,65.12,65.32,2681411
27-Feb-17,65.93,66.01,65.27,65.52,1815965
24-Feb-17,65.58,66.01,65.54,65.95,2375198
23-Feb-17,66.40,66.46,65.69,65.75,3952447
22-Feb-17,65.90,66.33,65.81,66.10,5925785
21-Feb-17,67.90,68.58,67.49,67.67,3600924
17-Feb-17,68.35,68.62,67.98,68.40,2233203
16-Feb-17,68.80,68.90,68.08,68.44,1968931
15-Feb-17,68.34,68.94,68.23,68.65,1590335
14-Feb-17,68.25,68.70,68.12,68.58,1946029
13-Feb-17,68.14,68.98,67.79,68.11,4407184
10-Feb-17,67.36,68.27,67.08,68.00,3190622
9-Feb-17,66.29,67.99,66.02,67.39,2985512
