Date,Open,High,Low,Close,Volume
28-Apr-17,117.75,119.90,117.03,119.65,2363715
27-Apr-17,115.50,118.50,115.00,118.10,5906553
26-Apr-17,124.65,125.42,123.97,125.32,1745086
25-Apr-17,123.40,124.76,123.01,124.49,1076841
24-Apr-17,122.47,123.52,121.82,123.27,903206
21-Apr-17,121.66,122.06,120.80,121.19,814241
20-Apr-17,120.33,122.25,119.46,121.85,833455
19-Apr-17,120.20,120.78,119.53,120.26,797483
18-Apr-17,120.58,120.90,119.17,119.57,953037
17-Apr-17,120.02,121.16,119.74,121.16,555660
13-Apr-17,119.03,120.23,118.34,119.53,688388
12-Apr-17,118.91,119.60,118.52,119.17,657459
11-Apr-17,119.81,120.03,119.25,119.58,497787
10-Apr-17,119.98,120.77,119.77,120.03,457851
7-Apr-17,120.12,120.43,119.77,119.88,436757
6-Apr-17,120.42,120.47,119.58,120.20,885907
5-Apr-17,120.76,121.55,120.05,120.18,783901
4-Apr-17,121.64,121.80,119.71,120.77,577002
3-Apr-17,121.98,122.28,120.28,121.35,971768
31-Mar-17,120.79,122.46,120.52,122.11,860921
30-Mar-17,120.97,121.91,120.90,121.36,526504
29-Mar-17,120.84,121.77,120.74,121.37,507427
28-Mar-17,120.89,121.46,119.94,121.19,888909
27-Mar-17,119.51,120.45,118.82,120.29,1450144
24-Mar-17,120.40,121.11,120.31,120.66,716485
23-Mar-17,121.24,121.72,120.11,120.40,999707
22-Mar-17,120.96,122.40,120.60,121.38,1005811
21-Mar-17,122.00,123.15,120.60,120.98,1339068
20-Mar-17,121.60,122.27,121.10,121.65,1342973
17-Mar-17,119.35,122.09,118.84,121.67,2289891
16-Mar-17,120.20,120.20,118.85,119.41,1081384
15-Mar-17,119.10,120.17,118.57,119.65,1016267
14-Mar-17,119.20,119.71,118.46,118.68,961606
13-Mar-17,120.25,120.64,119.21,119.79,1630847
10-Mar-17,119.25,120.40,119.25,120.08,1544366
9-Mar-17,117.84,119.45,116.96,119.18,1116468
8-Mar-17,117.08,117.89,116.64,117.60,904833
7-Mar-17,116.83,117.33,116.21,117.07,887630
6-Mar-17,117.49,117.76,116.93,117.22,851775
3-Mar-17,117.93,118.38,117.30,118.28,708081
2-Mar-17,118.50,118.60,117.52,118.02,772240
1-Mar-17,117.56,119.45,117.35,118.89,1101843
28-Feb-17,116.97,117.48,116.63,117.08,1244188
27-Feb-17,117.10,117.30,116.33,116.96,1578240
24-Feb-17,115.91,117.07,115.64,116.92,990259
23-Feb-17,117.03,117.39,115.49,116.38,1463677
22-Feb-17,116.87,117.25,116.36,116.90,1327892
21-Feb-17,116.94,117.55,116.54,117.17,1495848
17-Feb-17,116.21,116.87,115.33,116.87,1220881
16-Feb-17,117.57,118.00,115.87,116.32,1490726
15-Feb-17,116.76,117.75,116.71,117.31,1160216
14-Feb-17,117.38,117.75,116.68,117.18,1129794
13-Feb-17,117.43,118.12,117.24,117.75,659936
10-Feb-17,117.54,117.81,116.87,117.33,780506
9-Feb-17,117.48,118.10,117.11,117.60,1001989
8-Feb-17,117.87,118.22,116.85,117.15,1010993
7-Feb-17,117.83,118.38,117.11,118.11,800086
6-Feb-17,117.78,118.28,116.73,117.24,1075180
3-Feb-17,118.20,118.96,117.63,118.14,1019068
2-Feb-17,117.75,118.32,117.05,117.62,1685659
1-Feb-17,118.81,119.25,117.35,118.51,1461410
31-Jan-17,115.86,120.41,115.86,118.33,2962984
30-Jan-17,116.84,116.84,114.95,115.39,2850628
27-Jan-17,115.83,117.80,115.52,116.96,1213179
26-Jan-17,115.91,116.26,114.93,115.35,1147575
25-Jan-17,114.56,116.19,114.39,115.94,1485205
24-Jan-17,113.93,115.34,113.50,114.56,1336273
23-Jan-17,113.38,114.47,113.38,114.16,1369725
20-Jan-17,114.80,115.34,113.19,113.65,1401788
19-Jan-17,115.11,115.38,113.92,114.58,934646
18-Jan-17,115.66,116.00,114.72,115.47,902359
17-Jan-17,114.21,115.75,114.05,115.45,1242217
13-Jan-17,114.62,115.41,114.09,115.20,1034388
12-Jan-17,113.71,114.90,111.98,114.43,1546694
11-Jan-17,113.99,116.16,113.42,114.75,2484963
10-Jan-17,110.51,115.94,110.50,113.67,3973411
9-Jan-17,104.77,107.20,104.77,107.00,1163298
6-Jan-17,105.14,105.31,103.62,104.96,1820999
5-Jan-17,104.58,105.28,104.11,104.95,1453888
4-Jan-17,103.88,105.34,103.38,104.28,1502751
3-Jan-17,103.87,103.90,102.59,103.33,1381230
30-Dec-16,103.31,103.93,102.85,103.20,973822
29-Dec-16,103.00,103.74,102.83,103.50,683275
28-Dec-16,102.84,104.20,102.84,103.06,1315584
27-Dec-16,102.53,103.39,101.98,103.14,1146546
23-Dec-16,101.57,102.70,101.43,102.32,664037
22-Dec-16,101.68,101.72,100.87,101.57,854472
21-Dec-16,101.83,102.36,101.37,101.66,1480702
20-Dec-16,102.88,103.50,101.60,101.85,1764590
19-Dec-16,103.46,103.78,102.60,102.86,1145341
16-Dec-16,102.41,103.53,102.35,103.50,2861048
15-Dec-16,102.50,103.84,100.81,102.65,3247635
14-Dec-16,106.09,106.26,104.00,104.87,2068444
13-Dec-16,105.77,106.98,105.39,106.73,1020428
12-Dec-16,105.44,106.45,105.22,105.81,1449411
9-Dec-16,105.16,105.50,104.42,105.22,1324641
8-Dec-16,104.45,104.80,103.78,104.45,1272927
7-Dec-16,104.23,105.22,103.30,104.42,1558797
6-Dec-16,101.18,104.74,100.69,104.61,2005054
5-Dec-16,101.03,101.51,100.16,101.43,1789995
2-Dec-16,100.16,101.56,99.59,100.20,1155051
1-Dec-16,101.79,102.41,99.11,99.79,1547919
30-Nov-16,103.44,103.70,101.64,101.86,1960069
29-Nov-16,103.57,104.34,102.96,103.40,2183053
28-Nov-16,102.24,103.34,101.84,101.98,1587904
25-Nov-16,102.00,102.93,101.59,102.36,708317
23-Nov-16,100.19,101.86,100.09,101.00,1479494
22-Nov-16,100.95,100.95,98.20,100.81,3093687
21-Nov-16,100.64,102.31,100.31,102.09,1709017
18-Nov-16,101.04,101.96,100.56,100.64,2409857
17-Nov-16,100.80,101.51,100.72,100.80,1651999
16-Nov-16,100.90,101.41,100.12,100.88,1589269
15-Nov-16,98.43,102.04,98.37,101.45,3504737
14-Nov-16,98.14,98.17,95.63,97.99,4405932
11-Nov-16,100.18,100.56,97.71,98.03,2873234
10-Nov-16,102.43,103.74,99.05,100.68,2691824
9-Nov-16,104.17,104.17,97.83,101.62,3794116
8-Nov-16,102.67,103.42,99.70,101.83,5193149
7-Nov-16,104.00,105.40,103.70,104.45,2165943
4-Nov-16,103.11,105.93,103.00,103.01,2456157
3-Nov-16,102.03,103.27,101.33,102.54,2234703
2-Nov-16,103.71,104.20,101.92,102.02,2948109
1-Nov-16,106.55,107.00,103.12,103.76,5159771
31-Oct-16,106.63,108.40,103.93,105.40,10077292
28-Oct-16,120.98,124.00,120.32,122.55,2312613
27-Oct-16,121.08,121.62,119.63,120.99,1581724
26-Oct-16,124.78,125.00,120.82,121.08,2060554
25-Oct-16,127.90,127.90,125.47,125.59,964044
24-Oct-16,128.29,128.66,127.71,127.99,788682
21-Oct-16,127.38,127.66,126.00,127.52,699529
20-Oct-16,128.16,128.68,127.48,128.21,896967
19-Oct-16,129.11,129.41,127.61,128.08,772296
18-Oct-16,127.69,129.70,127.60,129.10,1296784
