Date,Open,High,Low,Close,Volume
28-Apr-17,40.74,40.81,39.99,40.03,3811586
27-Apr-17,41.30,41.30,40.25,40.66,2742601
26-Apr-17,40.50,41.64,40.46,41.18,3849578
25-Apr-17,40.91,41.62,40.44,40.49,6950648
24-Apr-17,42.09,42.42,41.56,41.96,4472973
21-Apr-17,40.95,41.19,40.58,40.85,2229658
20-Apr-17,40.30,41.20,40.17,41.08,2966198
19-Apr-17,40.29,40.51,39.76,39.98,2711643
18-Apr-17,39.81,40.29,39.35,39.83,2300718
17-Apr-17,39.51,40.21,39.22,40.18,2241351
13-Apr-17,39.87,40.52,39.43,39.45,2627819
12-Apr-17,40.98,41.02,40.06,40.19,3286569
11-Apr-17,40.72,40.96,40.07,40.94,2931635
10-Apr-17,41.46,41.79,40.74,40.93,1931893
7-Apr-17,41.14,41.79,40.87,41.52,2124547
6-Apr-17,41.10,41.64,40.62,41.50,2290303
5-Apr-17,42.04,42.40,40.98,41.05,2554213
4-Apr-17,41.50,41.90,41.37,41.66,2080527
3-Apr-17,42.00,42.26,41.07,41.77,2539601
31-Mar-17,42.10,42.59,41.83,42.00,2575231
30-Mar-17,41.46,42.59,41.28,42.38,3212227
29-Mar-17,41.66,41.66,40.93,41.32,2055876
28-Mar-17,40.53,41.60,40.31,41.30,2392388
27-Mar-17,39.80,40.90,39.09,40.78,3237524
24-Mar-17,41.04,41.23,40.41,40.91,2824945
23-Mar-17,40.73,41.58,40.31,40.89,2953776
22-Mar-17,40.58,41.13,39.56,40.73,3151593
21-Mar-17,43.47,43.52,40.74,40.84,4855426
20-Mar-17,43.65,43.75,43.18,43.19,2321970
17-Mar-17,44.41,44.57,43.54,43.76,4240048
16-Mar-17,44.37,44.62,44.09,44.36,1802727
15-Mar-17,44.71,45.09,43.99,44.07,2893891
14-Mar-17,44.71,44.72,43.68,44.49,2488190
13-Mar-17,44.88,45.35,44.65,45.03,1631996
10-Mar-17,45.56,45.56,44.29,44.91,2432236
9-Mar-17,45.35,45.76,45.03,45.28,1963227
8-Mar-17,45.84,46.30,45.16,45.26,3154365
7-Mar-17,45.40,45.68,44.97,45.28,1738722
6-Mar-17,45.03,45.43,44.69,45.33,1706120
3-Mar-17,44.95,45.57,44.75,45.36,2686381
2-Mar-17,46.67,46.69,44.96,44.96,2925913
1-Mar-17,48.33,48.33,45.95,46.53,3320662
28-Feb-17,44.93,45.16,44.70,44.90,2485994
27-Feb-17,44.65,45.24,44.51,45.11,2298903
24-Feb-17,44.18,44.55,44.00,44.55,3605293
23-Feb-17,44.84,44.97,44.39,44.82,1960399
22-Feb-17,44.55,45.13,44.48,44.74,2276176
21-Feb-17,44.85,45.21,44.47,44.89,1726311
17-Feb-17,44.48,44.78,44.13,44.65,1185303
16-Feb-17,45.12,45.34,44.48,44.90,1977376
15-Feb-17,45.33,45.52,45.05,45.30,2690844
14-Feb-17,44.03,45.21,43.83,45.08,2456460
13-Feb-17,43.87,44.60,43.75,44.08,2197544
10-Feb-17,43.43,43.67,43.10,43.57,2458778
9-Feb-17,43.06,43.21,42.25,43.15,2011134
8-Feb-17,42.52,42.57,41.81,42.17,1748126
7-Feb-17,43.05,43.26,42.68,42.82,1741482
6-Feb-17,42.90,43.52,42.55,42.97,1410259
3-Feb-17,42.49,43.38,42.13,43.31,3350623
2-Feb-17,41.88,42.34,41.58,41.77,2827504
1-Feb-17,42.69,43.30,42.36,42.46,2501669
31-Jan-17,42.18,42.84,41.82,42.19,2542086
30-Jan-17,42.83,43.04,41.71,42.26,3518197
27-Jan-17,43.34,43.37,42.76,43.12,1972105
26-Jan-17,43.39,43.91,43.07,43.47,2711874
25-Jan-17,43.03,43.66,42.93,43.28,2584589
24-Jan-17,42.42,42.94,41.36,42.56,4064768
23-Jan-17,42.21,42.61,41.95,42.31,2628297
20-Jan-17,42.49,42.90,42.20,42.46,2370981
19-Jan-17,42.59,42.95,42.04,42.31,1778526
18-Jan-17,42.15,42.52,41.42,42.48,2142374
17-Jan-17,43.25,43.27,41.65,41.77,2889759
13-Jan-17,43.29,44.32,43.03,43.85,2732528
12-Jan-17,43.65,43.89,42.44,42.97,2758249
11-Jan-17,43.67,43.92,43.14,43.92,2102743
10-Jan-17,43.12,43.79,42.87,43.56,1839566
9-Jan-17,43.12,43.29,42.32,42.90,2105024
6-Jan-17,43.30,43.73,43.11,43.37,2149119
5-Jan-17,43.92,44.27,42.66,43.09,2106036
4-Jan-17,43.45,43.91,43.35,43.80,1907508
3-Jan-17,43.74,44.33,42.72,43.18,2896301
30-Dec-16,43.07,43.31,42.69,43.04,1938930
29-Dec-16,43.27,43.64,42.63,42.79,1551615
28-Dec-16,44.03,44.03,43.18,43.28,1055176
27-Dec-16,44.10,44.15,43.67,43.93,1096332
23-Dec-16,43.78,43.94,43.59,43.86,1243449
22-Dec-16,43.62,43.95,43.21,43.74,1555955
21-Dec-16,43.93,43.99,43.36,43.64,2647594
20-Dec-16,43.28,44.09,42.96,43.91,3220373
19-Dec-16,42.09,42.72,41.80,42.70,2212274
16-Dec-16,42.79,43.23,41.91,42.03,5517196
15-Dec-16,42.82,43.63,42.48,43.04,3615038
14-Dec-16,41.84,43.01,41.32,42.20,3944094
13-Dec-16,42.54,43.04,41.56,42.23,2902644
12-Dec-16,43.16,43.47,42.40,42.47,2829268
9-Dec-16,43.09,43.25,42.63,43.23,2314647
8-Dec-16,42.39,43.44,42.23,43.09,4654120
7-Dec-16,41.88,42.33,41.44,42.29,2842516
6-Dec-16,40.69,42.01,40.30,41.92,3455948
5-Dec-16,40.61,41.00,40.36,40.55,3211634
2-Dec-16,40.80,40.80,39.67,40.24,2389764
1-Dec-16,39.82,40.64,39.78,40.41,3849678
